{'短评内容': '位置方便，有停车场', '短评打分': 5}
{'短评内容': '地段儿不错！现在那里修地铁', '短评打分': 4}
{'短评内容': '酒店环境非常好，住的很舒适', '短评打分': 5}
{'短评内容': '热水器出来的热水一点不热还特小', '短评打分': 3}
{'短评内容': '交通便利，吃饭方便', '短评打分': 4}
{'短评内容': '电梯比较破，早餐面包又不新鲜的味道。', '短评打分': 3}
{'短评内容': '房间里面一般最近修路很吵', '短评打分': 5}
{'短评内容': '可以可以可以', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店虽然规模不大，但设施很好，不亚于星级酒店，房间宽敞。院内有独立停车场，停车非常方便。周边吃饭的地方很多，很方便', '短评打分': 5}
{'短评内容': '经常订该酒店，一如既往的好评。很方便的酒店，周边吃饭也很方便，院内有独立停车场，停车非常方便和安全，以后还住', '短评打分': 5}
{'短评内容': '经常订该酒店，一如既往的好评。很方便的酒店，周边吃饭也很方便，院内有独立停车场，停车非常方便和安全，以后还住', '短评打分': 5}
{'短评内容': '酒店整体感觉一般。床单、被褥还算干净。但床套有破洞，毛巾也是。淋浴及台盆水龙头出水量太小，且水忽冷忽热。', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '环境赞，服务很贴心！', '短评打分': 5}
{'短评内容': '环境赞，服务很贴心！', '短评打分': 5}
{'短评内容': '环境赞，服务很贴心！', '短评打分': 5}
