{'短评内容': '床还行，酒店位置还可以', '短评打分': 5}
{'短评内容': '环境非常满意！', '短评打分': 5}
{'短评内容': '很不错环境', '短评打分': 5}
{'短评内容': '服务台动作太慢', '短评打分': 5}
{'短评内容': '很舒服很舒服', '短评打分': 5}
{'短评内容': '挺highis路兔兔wwwwww兔兔是hi好是是是是普通', '短评打分': 5}
{'短评内容': '一般，一般', '短评打分': 3}
{'短评内容': '体验一般的酒店', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还行吧，这价位，这标准就不错了，一分价钱一分货。我也懂，总体来说 可以', '短评打分': 4}
{'短评内容': '还可以，一直在这住', '短评打分': 4}
{'短评内容': '出差经常住他家，总的来说还可以，房间装修比较新！环境比较好，楼下有超市，饭店，比较方便！！！', '短评打分': 4}
{'短评内容': '床软硬适中，空间也够。总体来讲不错 但这间房有一套浴巾是脏的，唯一的不好。', '短评打分': 3}
{'短评内容': '健健康康快快乐乐健健康康快快乐乐', '短评打分': 3}
{'短评内容': '酒店还是不错的，附近设备齐全，有商场，有餐厅，适合商务出差。', '短评打分': 3}
{'短评内容': '干净，舒适，房间简单，就是喝水要自己煮', '短评打分': 3}
