{'descr': '位置好，交通方便，早餐不错，酒店内有停车位。', 'star': 5}
{'descr': '床舒适度不怎么好', 'star': 5}
{'descr': '早餐勉强，自助的。环境太差。停车在别的单位。', 'star': 2}
{'descr': '总体还是可以的，我们是晚上直接去的，就是建议厕所能有防滑设备，因为这次入住有年龄较大的，洗澡时很怕在里面滑倒', 'star': 4}
{'descr': '一般', 'star': 3}
{'descr': '符合这个价格的消费，', 'star': 4}
{'descr': '还算可以吧，挺便宜的', 'star': 5}
{'descr': '酒店很便宜，前台很热情。设施一般', 'star': 5}
{'descr': '感觉很差 没有其他城市看着舒服  真理难辨', 'star': 3}
{'descr': '还不错', 'star': 5}
{'descr': '很干净，hen舒适', 'star': 5}
{'descr': '交通方便，还可以。', 'star': 5}
{'descr': '环境很好，交通便利，房间很小。', 'star': 3}
{'descr': '挺好的，床很大，旁边就是地铁站和公交车站，价钱比较合适~', 'star': 5}
{'descr': '环境舒适，可以说货真价实。\n服务态度好。', 'star': 5}
{'descr': ' 比较经济，赶上搞活动更划算，就是发现现在如家房间越来越小', 'star': 5}
{'descr': '设施有点陈旧，性价比不如速8，周围环境还可以，服务一般。', 'star': 1}
{'descr': '干净清爽', 'star': 3}
{'descr': '位置很好距地铁站仅几十米，环境还不错，房间很干净，服务员态度也很好！下次还会再住', 'star': 5}
{'descr': '服務不錯，衛生良好，早餐不錯，但閒雜人擠在廚房內用餐閒聊，影響衛生觀感，大致上物超所值', 'star': 5}
{'descr': '找了半天终于找到了，不过感觉还不错，环境清静，干净舒适~', 'star': 5}
{'descr': '很好，酒店所在地交通很方便，服务也很好,住了好几天', 'star': 5}
{'descr': '对我来讲周围很方便，所以住这里的次数很多', 'star': 5}
{'descr': '还可以提高                                   。', 'star': 1}
{'descr': '服务很好！', 'star': 5}
{'descr': '还不错的！', 'star': 5}
{'descr': '位置不错，可以停车', 'star': 3}
{'descr': '性价比非常高的酒店', 'star': 5}
{'descr': '安全，交通方便！卫生也不错，屋里设施比较简单：电视、空调。\r\n\r\n火柴、打火机都没，服务台也没，要自己下去买！\r\n\r\n房间隔音效果不太好！', 'star': 5}
{'descr': '房间的床比较高，感觉不舒服，被子太厚，睡的不舒服，开空调开到很低，因为被子厚，晚上还要出汗，不开空调是太热，所以容易感冒，在那里住了2天，每天都感冒，可怜', 'star': 1}
{'descr': '附近还是比较的方便的，打车和吃饭的特别的方便，住在那边晚上也比较的安静，以后还会去那边住', 'star': 5}
{'descr': '房间有比较大的霉味。\r\n周边缺少餐厅和超市。\r\n只是一个休息的地方。', 'star': 5}
{'descr': '整体还不错,拖鞋是一次性的,洗澡的时候不方便. ', 'star': 5}
{'descr': '清洁，交通方便，价格合理，服务热情。不足的是酒店附近可供就餐的餐馆太少。', 'star': 5}
{'descr': '酒店位置不错，距离高速路入口较近，最好是可以停车', 'star': 5}
{'descr': '有的人很热情，所以综合评定还好吧。就是简陋了一些。\r\n另外，建议对酒店周围环境多了解，不要比外地人还不熟悉。', 'star': 5}
{'descr': '干净整洁，设施都很新，后面还有停车场可以停车。就是床有点高。\r\n但总体感觉还是让人很满意，性价比非常高，下次还会选择。', 'star': 5}
{'descr': '酒店的设施比较简单，但是离我要办事的地方很近，自己出门的话，价格也比较合适，我觉得如果还到这个附近办事的话，还是可以考虑的。', 'star': 3}
{'descr': '酒店设施比较简单，但干净整洁，价格不错，周围的交通也很方便，去解放碑、朝天门、菜园坝、石桥铺，都很方便。环境也算安静。值得推荐。', 'star': 5}
