{'短评内容': '非常好的农家院，下次来还会到这家，推荐给大家。', '短评打分': 5}
{'短评内容': '非常干净的小农家院，老板也特别热情，而且烧的一手好菜，在这里享受着跟家里一样的感觉，值得推荐。', '短评打分': 5}
{'短评内容': '  房间干净，暖和，老板人也特别热情好像是一家人，强烈推荐', '短评打分': 5}
{'短评内容': '  老板老板娘对我们特别热情，菜烧的也特别棒，不愧是中央电视台味道节目的首选，下次来还来这家，强烈推荐', '短评打分': 5}
{'短评内容': '冰天雪地，很冷，但到了他家有种家的感觉。', '短评打分': 5}
{'短评内容': '在北极村整体停水的时候这家还能做饭、洗澡虽然限时，但很不错了。', '短评打分': 3}
{'短评内容': '老闆娘熱情，最後算錢時零頭還不跟我們收了', '短评打分': 5}
{'短评内容': '朋友推荐的这家店，这次来东北就住这了，果然没失望！很棒！菜做的非常好！地道东北菜！东北火炕就是热！睡的舒服死啦！强烈推荐！', '短评打分': 3}
{'短评内容': '还不错，老板很热情', '短评打分': 3}
{'短评内容': '老板很热情，房间很有家的感觉', '短评打分': 3}
{'短评内容': '北极村景色很美，农家院很有特色，农家菜绿色健康。老板开朗热情，值得推荐', '短评打分': 5}
{'短评内容': '环境还不错，炕睡着挺好，老板一家人都很好，还可以提供餐（当然得另外算钱），就是有时停水比较烦人', '短评打分': 3}
{'短评内容': '六月的漠河还是很冷，幸亏定了火炕，很缓和。老板很热情农家菜也很好吃', '短评打分': 5}
