{'短评内容': '环境很好很舒服', '短评打分': 5}
{'短评内容': '是我住过最宽敞干净的如家了，周围吃喝玩乐也多。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '还行吧，一般般', '短评打分': 2}
{'短评内容': '加班太晚过来住 很不错', '短评打分': 5}
{'短评内容': '还可以，。还可以，。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '卫生一塌糊涂', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '第一次用白条体验住酒店，太方便了！', '短评打分': 5}
{'短评内容': '停车是个大问题。门前没有停车位。必须要听到对面锦江之星，房间标准的快捷酒店。没有什么亮点。也没有什么太多的弱点。', '短评打分': 4}
{'短评内容': '一直住汉庭，很满意！ ', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '不错，帮朋友定的', '短评打分': 4}
{'短评内容': '一次定了10几间、没办法、那么偏远还是选全国连锁的比较放心！', '短评打分': 5}
{'短评内容': '干净，大床。有办公台。', '短评打分': 3}
{'短评内容': '汉庭酒店入住手续是最简单方便快捷的，服务很好入住很愉快', '短评打分': 3}
{'短评内容': '这个位置有点贵了，外面不好坐车', '短评打分': 3}
{'短评内容': '便宜干净，外面有美食街', '短评打分': 3}
