{'短评内容': '位置很好，环境一般，服务一般，酒店老旧，设施齐全', '短评打分': 1}
{'短评内容': '位置很方便，去哪里都不远，房间宽敞明亮，但酒店装修有点旧。', '短评打分': 5}
{'短评内容': '全国连锁店，干净，卫生，很好。。。\n全国连锁店，干净，卫生，很好。。。', '短评打分': 5}
{'短评内容': '除了设施较旧，其他都还不错。关键是在市中心，交通便利，可以停车。\n团队较多，因此显得有些吵闹。要求高的就算了。', '短评打分': 5}
{'短评内容': '设施陈旧，与三星级酒店不符，朝向马路的房间较吵，而且价格若是自己登记还能优惠', '短评打分': 1}
{'短评内容': '整体评价，算是不错，服务水平需要提高。。。', '短评打分': 5}
{'短评内容': ' 市中心，房间很大，很舒服。', '短评打分': 3}
{'短评内容': '比较繁华地段，出行方便同时购物也便利，整体水平挺不错的.', '短评打分': 5}
{'短评内容': '酒店距离包头火车站挺近的，出行很方便，而且周边逛街也不错，条件很好.', '短评打分': 5}
{'短评内容': '酒店的入住率还是蛮高的，而且服务也很好，位置好找，在比较显眼有位置.', '短评打分': 5}
{'短评内容': '位置好，交通便利，而且周边购物逛街都挺方便的，整体印象不错.', '短评打分': 5}
{'短评内容': '空间不大，不过采光很好，室内的装修有点陈旧，不过住着感觉还行.', '短评打分': 5}
{'短评内容': '环境还不错，设施有点陈旧，该重新装修了', '短评打分': 5}
{'短评内容': '最差的3星级吧', '短评打分': 1}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '地理位置非常方便，临近市政府。\r\n购买特色商品可去“铁木真”，价格非常公道\r\n另外去小肥羊总店只需要不到十分钟的路程', '短评打分': 5}
{'短评内容': '设施比较陈旧，卫生条件一般，酒店的价格如果按它的星级定位合适，但如果和设施比的话价格有点高了', '短评打分': 5}
