{'短评内容': '不错，很好', '短评打分': 5}
{'短评内容': '还不错吧！！！', '短评打分': 5}
{'短评内容': '房间宽敝舒服。', '短评打分': 4}
{'短评内容': '位置不错，设施可以，门口21路直接到达高铁赵，方便。附近吃饭地方不少，很多当地特色美食可以吃到。推荐入住。', '短评打分': 4}
{'短评内容': '可以的，早餐和下面洗浴中心共用', '短评打分': 5}
{'短评内容': '酒店服务温馨，中秋节还赠送了月饼水果，停车也很方便，就是早餐不是很好，东西好坏其次，主要都凉了没及时加热，望改进！', '短评打分': 5}
{'短评内容': '房间挺合适，也很赶紧，送的早餐券不错，周边去哪也方便。', '短评打分': 5}
{'短评内容': '京东订的价格比其他便宜，酒店不错，房间挺大的，还有早餐券，只是没窗户。', '短评打分': 5}
{'短评内容': '房间出乎意料的大，这一点很提升第一印象哈，用品在水准线以上，卫生也还可以，总之性价比不错', '短评打分': 5}
{'短评内容': '酒店位置还算不错，就在万博广场附近，酒店房间不大，但还算舒服、安静，早餐也还可以，但是酒店设施有点老旧了，特别是电脑，配置实在太差，基本上用不了。', '短评打分': 4}
{'短评内容': '环境还可以，设施不算新', '短评打分': 4}
{'短评内容': '环境一般，地理位置还行⋯⋯靠近江边', '短评打分': 4}
{'短评内容': '朋友假期出行，代朋友预订酒店，酒店位置出行方便，用餐及娱乐都很便利，酒店服务员态度很好，客户很舒适。下次出行还预订这家酒店。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '特价房无窗户，房间有小强', '短评打分': 4}
{'短评内容': '其他都还行，关键是床头就只有一个插座', '短评打分': 4}
{'短评内容': '酒店环境好服务好', '短评打分': 5}
{'短评内容': '宽敞简洁，服务态度好，免费停车，送一张桑拿门票，有无线网，不错！', '短评打分': 3}
{'短评内容': '房间比较小，卫生间也比较小，早餐很难吃，没什么东西', '短评打分': 5}
{'短评内容': '酒店不错，很好找，服务还可以，早餐很丰富。就是隔音差点。', '短评打分': 5}
{'短评内容': '房间空间小，空调不暖，床褥太软，隔音太差，装修太旧', '短评打分': 1}
{'短评内容': '店面装潢的挺华丽，早餐不错，服务也很好，房间网速也很好，可能是特价房吧，房间比较小，整体还不错经济实惠，下次还会去住。', '短评打分': 5}
{'短评内容': '酒店规格很高，很干净，早餐太丰盛啦!爱!', '短评打分': 3}
{'短评内容': '很舒服，环境不错。', '短评打分': 3}
