{'短评内容': '价格实惠，入住方便', '短评打分': 5}
{'短评内容': '还可以，住的4楼，晚上风声很大。', '短评打分': 4}
{'短评内容': '这个酒店服务周到，房间环境不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还是不错，下次再来', '短评打分': 5}
{'短评内容': 'xhjjjhgffghjjhg', '短评打分': 5}
{'短评内容': 'bhgfhjjfddfgghjh', '短评打分': 5}
{'短评内容': '很棒，因为考试，还给我们延迟一个小时退房', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 4}
{'短评内容': '出差多住中源，性价比高，方便舒适！', '短评打分': 5}
{'短评内容': '很一般，不想再次入住。便宜无好货。', '短评打分': 3}
{'短评内容': '离地铁近方便', '短评打分': 5}
{'短评内容': '洗澡热水温度不够，灯光较暗感觉压抑。', '短评打分': 4}
{'短评内容': '房间有味道，水温不能调', '短评打分': 3}
{'短评内容': '呵呵呵', '短评打分': 3}
{'短评内容': '物有所值，非常好，值得推荐。', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
