{'短评内容': '东升镇比较好付酒店，东升镇中心交通方便。', '短评打分': 5}
{'短评内容': '还可以！！！！', '短评打分': 5}
{'短评内容': '还不错，市中心比较方便', '短评打分': 5}
{'短评内容': '整体还算不错', '短评打分': 4}
{'短评内容': '这酒店不错', '短评打分': 5}
{'短评内容': '代同事订的，工厂附近唯一比较好的酒店，没有其他选择', '短评打分': 4}
{'短评内容': '酒店服务不怎么样，但是在东升没有其他的选择了！', '短评打分': 3}
{'短评内容': '朋友住的，说是还可以', '短评打分': 4}
{'短评内容': '还不错的酒店', '短评打分': 5}
{'短评内容': '环境不错，附近很多东西吃。商务出差不错。', '短评打分': 5}
{'短评内容': '酒店设施和周边环境应该说是不错的，看得出当时装修的档次，一层的餐厅还有平价海鲜吃，有特色，另外早餐值得一提，品种丰富，令人满意。性价比高', '短评打分': 4}
{'短评内容': '酒店设施和周边环境应该说是不错的，看得出当时装修的档次，一层的餐厅还有平价海鲜吃，有特色，另外早餐值得一提，品种丰富，令人满意     ', '短评打分': 4}
{'短评内容': '每次出差都会入住的，老牌子了！酒店有点老旧，早餐也不如以往丰富了！', '短评打分': 4}
{'短评内容': '环境不错，各项设施齐全，服务热情周到。', '短评打分': 5}
{'短评内容': '洗澡水開了15分鐘還是黃色，早餐只有二星級。太差，不會回來!', '短评打分': 3}
{'短评内容': '偏僻 ，性价比不高，房费太贵，房间设施一般，床睡起来不舒服，隔音差。', '短评打分': 1}
{'短评内容': '酒店房间灯光不足，保险箱也没有，四星酒店？', '短评打分': 3}
{'短评内容': '酒店硬件设施还行，服务态度也还好。就是早餐差了点，东西品种很少', '短评打分': 5}
