{'短评内容': '酒店挺好的，我们全家比较满意。房间比较大，卫生也可以。', '短评打分': 5}
{'短评内容': '虽然装修陈旧，但是能符合基本要求。来旅游的一个不错的选择。', '短评打分': 5}
{'短评内容': '感觉还不错，地理位置离步行街还是比较近的，就是房间的灯太暗了', '短评打分': 3}
{'短评内容': '房间挺大的，性价比高，早晨花式少，但可以吃饱。', '短评打分': 5}
{'短评内容': '强烈建议把早餐质量提上去，花样太少，都吃的没食欲了，临走退房服务员态度不好，有种冰冷冷的感觉，感觉就像被扫地出门，下次不会入住了', '短评打分': 1}
{'短评内容': '电视太小而且陈旧，卫生间地板应该与房间隔开洗澡水总是流到房间，期待重新装修', '短评打分': 5}
{'短评内容': '地理位置很好，隔音相对于如家也还好，吃饭很方便，距离步行街很近，但是卫生条件确实有待改善，总体来说还是一般，', '短评打分': 5}
{'短评内容': '楼道清理不及时，总有一股臭脚丫子味道，房间枕头太低，一个枕头根本就没法睡觉', '短评打分': 5}
{'短评内容': '总体感觉还好了，但是早餐种类挺少的，希望多加点种类，再接再厉吧，也祝福本店生意兴隆', '短评打分': 5}
{'短评内容': '第一天住二楼，第二天住三楼，三楼比二楼要好些。房间被单很旧，枕头太矮，睡着不舒服。更让人难以接受的是，308两张床的被单和被套上竟然都有血迹！彻底无语。。', '短评打分': 1}
{'短评内容': '住的商务标，房间确实挺大的，还有落地飘窗，但是房间随处都摆满了付费商品，而且都不标示付费商品。二楼的房间比较差，电视还是老式的大屁股TCL。地段还好，前台服务不错', '短评打分': 1}
{'短评内容': '地理位置很好，环境好，服务也不错，值得信赖！', '短评打分': 5}
{'短评内容': '酒店的位置倒是离苏欣客运站很近，但是内部的设施比较陈旧，毛巾感觉都有些破了，淋雨的水要放十分钟左右才能出热水，好浪费哦，还有那个宽带，住进去当天就不能用了，修了半天才修好，网速也是很慢的，卫生间的淋浴地方没有放小物品的架子，洗个澡得在淋浴和面盆之间来回穿梭（离得有些远）感觉不方便。', '短评打分': 1}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '酒店卫生一般般，地毯有点脏。服务态度还可以，交通挺方便的，以后可以考虑来住。', '短评打分': 5}
{'短评内容': '房间面积比较大，住的是双人间，床是1米2的，不错。唯一的缺点就是卫生间有点小，洗浴设施太陈旧了。期待重新装修后。', '短评打分': 5}
{'短评内容': '房间比较陈旧，卫生不好，洗浴设施也不是很好，不太喜欢', '短评打分': 1}
{'短评内容': '很好啊，服务也很好，就是早餐样式有点少。总体很很满意啊。', '短评打分': 5}
{'短评内容': '还可以，就是房间大小了，如果台大点就好了', '短评打分': 5}
{'短评内容': '＋酒店舒式服务优价格合理非常满意', '短评打分': 3}
{'短评内容': '交通方便   设施较全   服务周到  早餐也不错 值得推荐', '短评打分': 5}
{'短评内容': '房间大，服务好。相对于这个价位是不错的选择。', '短评打分': 5}
{'短评内容': '感觉很好，干净卫生，出行交通方便，服务质量良好，离景区很近。', '短评打分': 5}
{'短评内容': '感觉良好，服务一流。干净卫生，出行方便，离景区近。', '短评打分': 5}
{'短评内容': '房间大，干净，采光好，服务员很贴心。地点交通便利。\n', '短评打分': 5}
{'短评内容': '酒店的管理和服务非常到位，在任何场合遇到服务人员都彬彬有礼，且对提出的要求尽可能满足。一位工号42，胖胖的（加这个形容词绝不是不敬，是怕工号记错了）前台尤其细致周到，在此特意提出赞扬！她自当门童，到房间后，因地毯清洗有味道，主动给调换房间。当晚我提出想要张城市地图，她也很细心的在第二天早上准备好了。\n酒店交通便利，位置好找，到花果山景区不算远，性价比够高！只是硬件设施稍欠，比如淋浴与卫生间地面没有', '短评打分': 5}
{'短评内容': '您好我已到达千岛假日', '短评打分': 3}
{'短评内容': '房间挺大的，还不错，就是早餐忒一般了点。。。\n晚上走廊的电话声音很吵人，希望能改进', '短评打分': 5}
{'短评内容': '酒店房间干净宽敞，还不错。', '短评打分': 3}
{'短评内容': '千岛假日酒店环境很好,服务业很好,入住很舒适', '短评打分': 3}
{'短评内容': '第一次入住，感觉不错，以后出差会经常选择这里,吃饭很方便！', '短评打分': 5}
{'短评内容': '虽然收取押金的理所当然的，但是在半夜2点多敲主客的门，太不人性化了吧。。。希望可以改正！', '短评打分': 1}
{'短评内容': '第一次入住，感觉不错，以后出差会经常选择这里。', '短评打分': 5}
{'短评内容': '很干净，房间很很大，服务也很好。很不错的酒店。', '短评打分': 5}
{'短评内容': '房间很大，但是空调效果好像不是很好，被子很薄，半夜很冷。环境一般', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '房间蛮大的价格也实惠，就是这次去在装修。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '不错，房间比较宽敞，酒店位置很好找，附近很多吃的地方，比较方便', '短评打分': 5}
{'短评内容': ' 我已经入住千岛假日酒店，我改为单人间，房间给我意外惊奇太大。非常满意。谢谢！', '短评打分': 3}
{'短评内容': '总体不错！节日期间这么便宜！总体不错！节日期间这么便宜！', '短评打分': 5}
{'短评内容': ':还可以，不是很干净。', '短评打分': 5}
{'短评内容': '房间真大，意外惊喜。其他都还行。', '短评打分': 5}
