{'短评内容': '还行，一直用京东旅行', '短评打分': 5}
{'短评内容': '酒店位置挺好的，服务态度不错，去景点都很方便，晚上去夜市，去吃饭购物真的很方便，就是现在在修地铁，有些乱。', '短评打分': 5}
{'短评内容': '还可以，挺干净的，就是有点炒', '短评打分': 5}
{'短评内容': '说好的要干净住汉庭的呢，被套破了，里面还有头发，床单上都是黑丝丝，果断放弃续租的可能，当然也可能只是我这一个房间的情况', '短评打分': 3}
{'短评内容': '房间卫生干净整洁', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '门口在修路不好找，周边餐饮多。酒店前台服务态度一般吧。', '短评打分': 4}
{'短评内容': '位置还不错', '短评打分': 4}
{'短评内容': '可以，办事方便，住很多次了', '短评打分': 5}
{'短评内容': '很不错！舒适无比！', '短评打分': 5}
{'短评内容': '位置不错，订房用卷，比携程便宜多了', '短评打分': 5}
{'短评内容': '作为一位入住～～～酒店的顾客，我用亲身经历发自内心的觉得，～～～酒店环境整洁，房间布局堪称完美，优雅又不失情调，服务周到，让人无比舒心。给我营造了一种家的感觉，无论大处到小处都是那么无懈可击，价格也很合理。', '短评打分': 5}
{'短评内容': '楼下吃饭的地方比较多', '短评打分': 4}
{'短评内容': '房间真的好小好吗，房间真的好闷。洗风扇真的没有用好吗，还要这么贵，门口都是摆地摊的，环境真的好差，不满意', '短评打分': 5}
{'短评内容': '隔音效果不好，大早上有点吵', '短评打分': 4}
{'短评内容': '赞', '短评打分': 5}
{'短评内容': '房间很小，商务大床其实就一米五，楼道有异味，疑似装修味，周边环境不错，距离商务中心 小吃街近', '短评打分': 4}
{'短评内容': '方便，就是没烟灰缸～', '短评打分': 4}
{'短评内容': 'hen yi ban', '短评打分': 4}
{'短评内容': '地理位置确实不错，交通方便，去火车站，机场都很方便。服务员服务挺热情，但房间实在太小，订的是高级大床房 写字台都差不多跟床连在一起了 放一张凳子进去都费劲！太奇葩', '短评打分': 4}
{'短评内容': '住过多次了，购物看电影比较方便，唯一不足就是房间不隔音。', '短评打分': 3}
{'短评内容': '跟会员价差不多', '短评打分': 4}
{'短评内容': '酒店不错，下次还会住这里。酒店不错，下次还会住这里。酒店不错，下次还会住这里。酒店不错，下次还会住这里。酒店不错，下次还会住这里。酒店不错，下次还会住这里。', '短评打分': 5}
{'短评内容': '酒店位置在商业区，离火车站也近，楼下有好吃的烧烤，不错！', '短评打分': 3}
{'短评内容': '价格有点高，可以团购别的酒店 ，价格比这实惠多啦。', '短评打分': 1}
{'短评内容': '这个酒店还不错！位置很好！就是房间有点小！', '短评打分': 5}
{'短评内容': '酒店位置比较方便，但是味道比较大，尤其是拖鞋', '短评打分': 5}
{'短评内容': '价格在郑州所有店是最高的   虽然在市中心  但周围确实没什么值得逛得地方 而且房间实在是太小了', '短评打分': 1}
{'短评内容': '地理位置方便，看个电影购个物啥的都很方便，这几天旁边不知道在弄什么白天有施工的声音。。', '短评打分': 5}
{'短评内容': '房间比较干净，适合出差短住。就是酒店不太好找，花了好长时间找。', '短评打分': 5}
{'短评内容': '位置很好，价钱也很实惠，只是100的特价房，房间里只有一盏灯是好的，其他都不亮，呵呵', '短评打分': 5}
{'短评内容': '郑州天气全部都是霾的。这家都是无窗房，非常闷。', '短评打分': 1}
{'短评内容': '酒店位置还不错，附近吃喝玩乐都方便，适合出差和旅游的人士入住；就是有一点，碰到星期五入住时房价会很高，所有房型比平常高出100（我没有会员卡），所以建议各位避开周五入住了；另外工作人员服务也很不错，感觉是连锁酒店中最好的快捷酒店了。房间的上网速度也挺快的，隔音效果也不错，早餐没去吃，不清楚，退房结账时前台服务很周到。我入住的是商务大床房，房间偏小了，价格偏高。', '短评打分': 5}
{'短评内容': '这个店整体不错，就是地址说的不太清楚，误导我们走了冤枉路。', '短评打分': 3}
{'短评内容': '＋房间挺好的，卫生间与洗澡间隔开很喜欢。', '短评打分': 3}
{'短评内容': '一直住着汉庭。床很舒服。可是马桶坏了。', '短评打分': 3}
{'短评内容': '环境挺好', '短评打分': 3}
{'短评内容': '环境还可以交通也很便利。我住的是百元房。但是也有窗户。真的很实惠。', '短评打分': 3}
{'短评内容': '酒店不错，环境，地点都还行\n服务很好，专业，房间干净，人性化，我个人很喜欢不间断电源，还有床头的插座和网线', '短评打分': 5}
{'短评内容': '酒店位置很好，服务也不错。就是无窗房，稍微有些闷。总体不错', '短评打分': 5}
{'短评内容': '定了两间百元房很划算的，地段也好。在闹市区，到车站也方便', '短评打分': 5}
{'短评内容': '紧邻郑州最繁华的地段，很方便，客房也还干净，不错', '短评打分': 3}
