{'短评内容': '酒店干净，旁边就是汽车站，方便出行！', '短评打分': 5}
{'短评内容': '不好，酒店半夜没电，热死了。住在豪华套房里，外面的窗户不关有点危险', '短评打分': 3}
{'短评内容': '总体感觉不错,服务也很周到,房间干净，早餐也不错。地理位置好，交通便捷 ,乘车去固东镇、去热海都很方便。', '短评打分': 5}
{'短评内容': '环境一般，卫生较差，价格略贵', '短评打分': 3}
{'短评内容': '白天热水靠太阳能，热水不稳定，晚上七点之后才有稳定热水，房间挺大，卫生间不怎么干净，早餐比较简单，去晚了没东西吃了，前台态度一般，不冷不热，就在汽车站旁边，地理位置不错', '短评打分': 3}
{'短评内容': '房间摆了个电脑显示器又没主机，网上只能担保付款没有预付，热水温度不够', '短评打分': 4}
{'短评内容': '酒店还不错，很大。但是办理入住时闹点不愉快，登在携程的价格，我购买后。酒店反悔了，说这个价格他们不做了。希望我在前台按照现价支付。如果真的不做特价，为何不提前撤掉携程价格，顾客买了你才反悔。算是欺诈消费者么。其他酒店设施还好', '短评打分': 5}
{'短评内容': '只能在路边停车，周边环境、酒店条件非常一般', '短评打分': 3}
{'短评内容': '设施太差，名不符实。', '短评打分': 2}
{'短评内容': '很不错的。', '短评打分': 5}
{'短评内容': '不错哦', '短评打分': 5}
{'短评内容': '第一次定这个酒店，同事去住的，回来非常不满意，酒店服务不满意，卫生条件不满意。', '短评打分': 1}
