{'短评内容': '挺好的一次体验', '短评打分': 4}
{'短评内容': '环境还好、交通方便、下次还会住。', '短评打分': 5}
{'短评内容': '服务还行，比较偏。', '短评打分': 3}
{'短评内容': '一般般 地理位置不好', '短评打分': 4}
{'短评内容': '酒店里面的空调都是坏的，一连换了好几次房，这么冷的天，只能靠空调取暖', '短评打分': 2}
{'短评内容': '出差可选 ！！！！还可以吧！！！！！！！！', '短评打分': 4}
{'短评内容': '环境幽静，交通便利，设施有些老了', '短评打分': 5}
{'短评内容': '酒店位置不错', '短评打分': 5}
{'短评内容': '酒店位置不错', '短评打分': 5}
{'短评内容': '还不错。。。。。。。。', '短评打分': 3}
{'短评内容': '房间太老！灯光也不亮。设施太沉旧', '短评打分': 3}
{'短评内容': '环境还不错 也很安静 设施还需要改善 早餐一般', '短评打分': 3}
{'短评内容': '总体来说是还可以的。总体来说是还可以的。', '短评打分': 4}
{'短评内容': '位置很偏僻，门前是一条主干道，但周围很脏乱，酒店还行吧，附近也没啥好的选择', '短评打分': 5}
{'短评内容': '位置比较偏僻，打车不大方便。房间内部有些陈旧，电视机信号不稳定，卫生还有继续改进的空间。但该酒店的早餐还是不错的，整体环境比较安静。', '短评打分': 5}
{'短评内容': '地方很偏远，打了车司机都找不到。酒店内卫生一般，装修也很旧了。早餐种类少，餐具上都一层油。', '短评打分': 1}
{'短评内容': '老公住了3天，说酒店蛮干净的，服务好，周围有很多饭店，离飞机场近。', '短评打分': 5}
{'短评内容': '位置不好，交通不便，如果不是附近的如家没房了，也不会到这里住宿。半夜入住，开车找了半天才找到。不过小环境还很安静！！！！！！', '短评打分': 1}
{'短评内容': '办理入住迅速，卫生不错，早餐很好吃，虽然位置偏僻，可是价格合理', '短评打分': 5}
{'短评内容': '非常好，接机方便，院内停车方便', '短评打分': 3}
{'短评内容': '听我家人说早餐还可以，环境比如家要清净些', '短评打分': 5}
{'短评内容': '环境还行，就是不能刷卡', '短评打分': 3}
{'短评内容': '还可以，住的时候赶上酒店局部房间装修改造，呵呵！', '短评打分': 5}
{'短评内容': '住过酒店里最脏最差的，价格也不实惠。从客房到饭店服务态度都不好', '短评打分': 5}
{'短评内容': '很不错 酒店干净 卫生 服务态度好 总体感觉不错 温馨 希望下次还住！', '短评打分': 5}
{'短评内容': '性价比很高，环境不错，而且床特别舒服！就是交通不是很方便，其余的都还很好', '短评打分': 5}
{'短评内容': '卫生间洗澡会积水，外观看起来还是很大的一家酒店。', '短评打分': 1}
{'短评内容': '房间内设施一般，感觉比较陈旧，周边饭店很少！', '短评打分': 1}
{'短评内容': '地方感觉很偏僻，房间内设施陈旧，好想好久都没有人住过一样！', '短评打分': 1}
{'短评内容': '酒店太冷.室温九度!没热水.', '短评打分': 3}
{'短评内容': '还不错.', '短评打分': 3}
{'短评内容': '性价比很好，交通方便，只是早餐很差，希望今后改进。', '短评打分': 5}
{'短评内容': '洗手间下水道严重堵水，洗完澡之后整个洗手间都可以养鱼了。\n一进入房间，扑鼻而来的是房间里的酶味，房间布局不合理，显得空旷。窗子不错，隔音很好。但房门的隔音就不敢恭维了，走廊的声音清晰可听。半夜还有人敲门，不知道是搞什么的。\n卫生打扫的不彻底，床头有烟头，看来是很久以前的。卫生间地上的长头发洗澡之后都飘起来了。床单上也有污渍……\n但是酒店在外边看还可以，就是里边不好，而且我入住时并未要求客人出示身份', '短评打分': 1}
{'短评内容': '酒店不错，有个小花园，可以遛弯，就是位置偏远，如果不是自驾车，不是很方便', '短评打分': 3}
{'短评内容': '性价比挺好，适合一般出差人士住，前台服务挺好。', '短评打分': 5}
{'短评内容': '总体感觉在东丽区，性价比还不错，就是早餐太差了，我早八点，正时间去的，都是冷饭冷菜，而且服务员态度极差，想要个勺子，问了两遍，服务员连话都懒得说，只是摇摇头！！！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '外观还不错可惜洗手间不理想，洗澡时洗手间里面积水房间里则淹水，排水方面有待改进。', '短评打分': 5}
{'短评内容': '卫生环境不佳，厕所有异味，可能是排污系统不好。厕所容易积水。', '短评打分': 1}
{'短评内容': '酒店各方面感觉都还好,就是一点,实在是太远了,说是离机场15公里,到酒店打车就差不多60大元,另外位置有些偏,吃饭购物不太方便', '短评打分': 5}
{'短评内容': '非常差，距离机场十四公里多也能算机场商圈？给我的感觉是脏乱差的代表。', '短评打分': 5}
{'短评内容': '卫生条件一般,竟然床单没有换,后来告知前台后全部换掉,换床单的服务员态度很好,赞一个。地理位置不错,高架线车站就在旁边,不错。', '短评打分': 5}
{'短评内容': '位置比较好找，酒店里面很大一片绿地，还有果树林，饭后可以散步，感觉不错 ，就是房间里有股味道，让人感觉不舒服', '短评打分': 5}
{'短评内容': '刚入住，第一感觉不错，环境也不错，离机场很近，就是酒店服务员服务态度不是很好，希望能多加改进', '短评打分': 5}
{'短评内容': '酒店硬件设施一般，接机服务不错，工作人员会提前电话咨询航班信息，值得推荐。', '短评打分': 3}
{'短评内容': '酒店总体还满意', '短评打分': 5}
{'短评内容': '去机场很方便。。打的只要30块就到了', '短评打分': 5}
{'短评内容': '卫生条件不是很好，前台办事效率也不高.而且价格略高感觉不达标.位置还好就近轻轨.酒店更适合接待内宾.', '短评打分': 1}
{'短评内容': '酒店设施还行&#183;&#183;&#183;住的很舒适&#183;&#183;也很安静&#183;&#183;就是前台的服务员态度太差&#183;&#183;并且酒店位置不是很好找&#183;&#183;', '短评打分': 5}
{'短评内容': '感觉一般，但价格很实惠。', '短评打分': 5}
{'短评内容': '离机场很近大概30块就到了,服务员的态度很好,早上主动给我找出租车,房屋的设备有点老', '短评打分': 5}
{'短评内容': '酒店的卫生还可以，也比较安静，就是浴室里没有洗发精，其它都有，价格方面还是比较实惠的，总的来讲还是可以接受的。', '短评打分': 5}
{'短评内容': '卫生间没有洗发精', '短评打分': 5}
{'短评内容': '酒店設施一般,最不滿意,一進入房間充滿厠所臭味,要開窗及抽氣机很久,氣味才沒有.\r\n不是一次.', '短评打分': 3}
{'短评内容': '&lt;font color=&quot;White&quot;&gt;Sample Text&lt;/font&gt;&lt;font face=&quot;宋体&quot;&gt;Sample Text&lt;/font&gt;&lt;font face=&quot;黑体&quot;&gt;Sample Text&lt;/font&gt;', '短评打分': 3}
{'短评内容': '&lt;font face=&quot;宋体&quot;&gt;Sample Text&lt;/font&gt;&lt;font size=&quot;2&quot;&gt;Sample Text&lt;/font&gt;&lt;font color=&quot;Red&quot;&gt;Sample Text&lt;/font&gt;酒店新开业、距离机场行车15——20分钟，很干净、环境也很好，', '短评打分': 3}
{'短评内容': '新开业的酒店设施不错,这里离机场非常近,适合赶早飞机的.', '短评打分': 3}
