{'短评内容': '不错、干净整洁、舒适', '短评打分': 5}
{'短评内容': '干净、服务员态度好。', '短评打分': 5}
{'短评内容': '住宿还是不错的，前台服务也很好，有水和热毛巾，细节做得不错。房间比我预想的小了点，但是总体还是满意的。', '短评打分': 5}
{'短评内容': '给爸妈定的酒店，很满意！酒店位置方便', '短评打分': 5}
{'短评内容': '很喜欢，很安静。交通很方便，房间很好', '短评打分': 5}
{'短评内容': '棒棒哒，感觉不错', '短评打分': 5}
{'短评内容': '不错的酒店，安静', '短评打分': 5}
{'短评内容': '不错的酒店，安静', '短评打分': 5}
{'短评内容': '服务热情设施好', '短评打分': 5}
{'短评内容': '因为好，再住一夜，好评！', '短评打分': 5}
{'短评内容': '很好，很干净、清洁、还安静，好评！', '短评打分': 5}
{'短评内容': '出差首选的，闹中取静的好酒店！', '短评打分': 5}
{'短评内容': '一如既往的好，值得信赖！', '短评打分': 5}
{'短评内容': '干净整洁。服务好。交通便利！值得分享！', '短评打分': 5}
{'短评内容': '很好很不错，环境优雅，价格适中，住得很舒服', '短评打分': 3}
{'短评内容': '环境不错，但居然房间里还有tt在角落没清理', '短评打分': 3}
{'短评内容': '出入方便，周围环境也不错，比较安静，房间还算整洁。可是房间绝对没有介绍上面标的34平米，房间很小，卫生间也小，布局紧凑，靠窗的床几乎直接挨着沙发', '短评打分': 1}
{'短评内容': '挺舒服的', '短评打分': 5}
{'短评内容': '环境还可以的', '短评打分': 5}
{'短评内容': '还是不错的 。。', '短评打分': 5}
{'短评内容': '非常不错，环境优雅，卫生，服务一流', '短评打分': 5}
{'短评内容': '还好吧', '短评打分': 5}
{'短评内容': '环境优雅', '短评打分': 5}
{'短评内容': '还好还好的', '短评打分': 4}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '服务不错，环境还好，地理位置不错。最好的一点就是安静！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': 'check in灰房间后发现服务员忘了归还我们的银行卡，致电前台告知原因后搞笑的是竟然让客人到前台拿而非送上来！自己的失误不先道歉及修补反而还让客人亲自去取！check out时间过久，住店客人停车还需收费，不推荐', '短评打分': 3}
{'短评内容': '商务出差不错的选择', '短评打分': 4}
{'短评内容': '还不错，希望能保持', '短评打分': 4}
{'短评内容': '环境挺好 坐公交车方便 去朝阳和火车东站都不算远 旁边吃东西也方便', '短评打分': 5}
{'短评内容': '和同类型酒店相比，价格偏高；客房隔音差，能清晰听到隔壁谈话声；客房服务员在走廊谈话也很大声，影响客人休息；收到美女服务卡多，住一个晚上就收到三张！酒店周围环境不错', '短评打分': 3}
