{'短评内容': '离姐告口岸非常近便于旅游，酒店设施很好，可能是淡季人少得很。姐告这边缅甸人多得很，感觉已经在缅甸了', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还可以环境不错', '短评打分': 5}
{'短评内容': '酒店干净 服务好 周围环境不是很好', '短评打分': 5}
{'短评内容': '总体来说还不错总体来说还不错总体来说还不错总体来说还不错总体来说还不错总体来说还不错总体来说还不错总体来说还不错', '短评打分': 5}
{'短评内容': '酒店房间挺大，设施稍微有点旧，不过品质不错，就是酒店离市区有点远，稍微有点偏僻，不过离姐告玉城很近', '短评打分': 4}
{'短评内容': '酒店性价比很高，设施环境都不错！', '短评打分': 5}
{'短评内容': '还可以，还不错，就是能接受', '短评打分': 4}
{'短评内容': '房间还行，价格合理、离国门近。', '短评打分': 5}
{'短评内容': '位置不错，可在中缅边境线上散步购物，民风和好。', '短评打分': 3}
{'短评内容': '酒店简单的自助餐尚可，去姐告的各种市场步行都挺方便的。', '短评打分': 5}
{'短评内容': '服务挺好，工作人员客气，停车方便。中间出了点差错携程客服也给耐心解决了。满意', '短评打分': 5}
{'短评内容': '各方面设施都可以，很滿意，下次还会去入住的。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 2}
