{'短评内容': '还不错，挺方便', '短评打分': 5}
{'短评内容': '还不错，挺方便。', '短评打分': 5}
{'短评内容': '还不错，挺方便，距离大学很近。', '短评打分': 5}
{'短评内容': '还不错的～～', '短评打分': 4}
{'短评内容': '有朋友过来基本上会推荐这里，比较经济实惠，设施服务都还不错～朋友住了也说还行～当然是针对商务酒店而言滴～总得来说还行吧～', '短评打分': 4}
{'短评内容': '房间很大，新店所以内部很新很干净，热水也很好。', '短评打分': 5}
{'短评内容': '酒店位置不错，很好找。服务也好，就是早餐不算太好，不过能吃饱！', '短评打分': 5}
{'短评内容': '干净整洁，且地处核心地段。总的来说很不错，就是价格有点小贵，考虑是在旅游旺季，可以理解。卫生间的设计有点差，尤其是壁挂马桶，坐在上面真担心掉下来……', '短评打分': 5}
{'短评内容': '房间太小 特别是早餐太差', '短评打分': 3}
{'短评内容': '在黄岛区 周边交通不大方便 但是购物旅游环境不错。 商业设施比较多，风景挺好。', '短评打分': 5}
{'短评内容': '干净舒适，而且性价比非常高，值得推荐的一个酒店，下次来青岛还要住这个', '短评打分': 5}
{'短评内容': '一如既往的好，很干净很舒适，美中不足就是各地宜必思不是很多！', '短评打分': 3}
{'短评内容': 'Very good.', '短评打分': 3}
{'短评内容': '整体环境不错，房间舒适，很适合年轻人。\n如果能给房间配上电熨斗就好了，或者前台多备几个，应对多个客人同时借用', '短评打分': 5}
{'短评内容': '挺好的，位置也很好，离长途汽车站很近，唯一感觉不怎么好的是卫生间，空间有点小。', '短评打分': 5}
{'短评内容': '酒店很好，很满意，比较干净，热水充足，服务员都很有礼貌，环境也不错', '短评打分': 3}
{'短评内容': '便宜干净，在区政府对面，旁边是公园。不足的是感觉整个楼空空荡荡有点恐怖的！', '短评打分': 5}
{'短评内容': '保持了宜必思一贯的水平，干净，安静，设施刚刚好够用，网速快。但有一个严重的问题，我住的二层，房间非常冷，开了一夜最高温度的空调，早晨依然冻醒。另外早餐太简陋了，简陋到不能再简陋了，比在欧洲住过的宜必思的全冷餐早餐还要简陋。不过瑕不掩瑜，经济型酒店绝对的首选。', '短评打分': 5}
{'短评内容': '没有暖气 空调太干就一晚上嘴角上火起疮，悲剧了。不太适合冬天住。', '短评打分': 3}
{'短评内容': '宾馆外观气派，房间整洁，服务热情，符合ibis的一贯标准。在区政府旁边，交通也方便。房间电视落后了一点，而且只能收十几个节目，应该更新了。24小时能提供的简餐仅是方便面和八宝粥，最好能扩展一些，如能供应包子、饺子和三明治之类的就好了。', '短评打分': 5}
{'短评内容': '一般出差都是住宜必思，一如既往地支持宜必思。', '短评打分': 5}
{'短评内容': '卫生好 房间精致 唯一美中不足是马桶用水量太大 望节约环保 青岛是一个缺淡水的城市', '短评打分': 5}
{'短评内容': '房间面积虽小,但是干净整洁.从青岛坐船到薛家岛,到这里乘坐2路公交非常方便.推荐', '短评打分': 5}
{'短评内容': '特别满意，已经第二次入住了。就在区政府对面，附近有多路公交车直达金沙滩，银沙滩和海底隧道交通枢纽站，出行非常方便。', '短评打分': 5}
{'短评内容': '床太小了', '短评打分': 3}
{'短评内容': '十已入住，服务很好', '短评打分': 3}
{'短评内容': '与国内的快捷酒店思路是不同的，更加标准化，', '短评打分': 5}
{'短评内容': '服务态度很好。酒店入驻挺高的。性价比很好', '短评打分': 5}
{'短评内容': '装修很有风格，个人很喜欢这样的感觉，房间不是很大，但是干净，紧凑，别致。', '短评打分': 5}
{'短评内容': '环境安静 性价比高 如果是自驾车的朋友们可以考虑 因为那个位置离城区还是有些距离的', '短评打分': 5}
{'短评内容': '酒店位置很好，房间也很干净，可是服务员的服务不及时，我住的房间里的热水壶不管用了，给前台打电话说送个来，等了半个小时也没有人来。。', '短评打分': 5}
{'短评内容': '从入住办理到房间都太差了,以后不会选择', '短评打分': 3}
{'短评内容': '酒店位置不错,也挺干净的,停车场很棒,下次还来..\r\n谷昭军', '短评打分': 3}
{'短评内容': '九店服务设施都很好。', '短评打分': 3}
{'短评内容': '酒店位置不错，外观看漂亮，房间内部还行，建议电视换成液晶屏吧', '短评打分': 5}
{'短评内容': '不错,就是房间比较小,其他都还好.地理位置不错                                                                                                                                      ', '短评打分': 5}
{'短评内容': '干净、环境好、服务好，是我出差的首选旅馆', '短评打分': 3}
{'短评内容': '酒店电视小点，洗漱间也不大，而且床单什么的也不和网上发的照片一样，别的还行，。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '地点很好 卫生也很干净 服务员的服务很好 但房间有点小 不过整体来看还是很不错的 值得入住！！！！！！', '短评打分': 5}
{'短评内容': '房间不大，很干净，挺好。', '短评打分': 3}
{'短评内容': '还好啦，房间挺干净，就是大厅不是那么气派，服务人员不是那么热情', '短评打分': 5}
{'短评内容': '毕竟是连锁酒店，各方面管理不错，位置也还可以，对于这个季节，在该区域能在这个价格住到一个卫生舒适的酒店算可以了！', '短评打分': 5}
{'短评内容': '房间很干净，服务不错。\n就是没有午餐，这需要改进一下', '短评打分': 5}
{'短评内容': '房间有点小，酒店附近吃饭的地方不多，不过交通比较方便，去景区和去超市都有直达车，车站也不远。参加了牡丹卡的活动还是比较值的。', '短评打分': 5}
{'短评内容': '地理位置，酒店整体环境，卫生，服务还算好，有24小时餐厅就好了。比青岛的好很多。', '短评打分': 5}
{'短评内容': '周边环境非常漂亮，两个外国朋友很喜欢，而且酒店很洁净，很漂亮。', '短评打分': 5}
{'短评内容': '酒店位置非常好,还有大大的停车场,附近不远就有大型超市,购物餐饮都方便,只是希望酒店温馨服务可以提高,服务员不要脾气太大', '短评打分': 5}
{'短评内容': '温馨，精致，服务好！！！交通非常方便，就是有一点，对老顾客不怎么优惠，郁闷了点。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '隧道通了 真方便！！\n从火车站直接就到！', '短评打分': 5}
{'短评内容': '很好，我们一家还要住几天。', '短评打分': 3}
{'短评内容': ' 位置不错 房间还好', '短评打分': 3}
{'短评内容': '标准间的床好小……其他还行。地理位置不错，但是周围吃的东西不错。', '短评打分': 5}
{'短评内容': '环境舒适,服务到位,下次还住^^', '短评打分': 3}
{'短评内容': '很不错，就是酒店卖的东西太贵了，和4星酒店差不多价钱了', '短评打分': 5}
{'短评内容': '比较安静的地方，还可以，卫生间装修不错，热水很好，只是一次性用品为啥没有梳子呢？', '短评打分': 5}
{'短评内容': '酒店卫生非常好，装修也非常好，房间设施齐全，上网很方便，卫生间挺别致，交通很方便。OK!', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 3}
{'短评内容': '酒店布置干净，服务也不错，“性价比”好，我们满意。\r\n谢霓', '短评打分': 3}
{'短评内容': '酒店环境很优雅，前台服务非常热情（住过北京首都机场的宜必思，服务态度非常的恶劣），房间大小适宜，干净温馨，但是不隔音，太不隔音，非常的不隔音。还有就是早餐卖22元，性价比差一大截，没什么东西可吃，我吃的炒粉都酸了。酒店旁边就是商圈，建议用餐还是出门走两步。', '短评打分': 5}
{'短评内容': '还不错，隔音有点不好，前台的服务态度不怎么样，其它的还不错，挺干净', '短评打分': 5}
