{'短评内容': '服务很好，很贴心', '短评打分': 5}
{'短评内容': '还可以！！', '短评打分': 5}
{'短评内容': '服务态度很好', '短评打分': 5}
{'短评内容': '还可以基本上', '短评打分': 5}
{'短评内容': '很不错，继续住着。', '短评打分': 5}
{'短评内容': '566855685566', '短评打分': 5}
{'短评内容': '服务态度好，卫生搞得不错，周边餐饮也多。', '短评打分': 5}
{'短评内容': '服务态度不错，卫生条件好，交通方便。', '短评打分': 5}
{'短评内容': '环境可以，交通便利，不错', '短评打分': 5}
{'短评内容': '离高铁近', '短评打分': 4}
{'短评内容': '出门一直住如家，德州的如家也不错', '短评打分': 5}
{'短评内容': '不错，挺好找的。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '一贯整洁干净的如家，周围吃饭地也多，挺方便。', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '房间挺干净的', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '还不错，一直喜欢住如家，经济实惠', '短评打分': 4}
{'短评内容': '干净，还不错！', '短评打分': 5}
{'短评内容': '酒店很干净卫生，个人比较喜欢，推荐大家入住！', '短评打分': 5}
{'短评内容': '挺干净挺好，已经住过两次，帮了很大的忙，，，，，，，，，', '短评打分': 5}
{'短评内容': '房间很干净，一如之前的风格，很温馨，有机会 还住这里', '短评打分': 5}
{'短评内容': '温馨如家，服务周到，停车位紧张，没有看车服务，希望能尽早改进。', '短评打分': 1}
{'短评内容': '干净、整洁，服务优质，房间大，地板有点不平，需改进。', '短评打分': 5}
{'短评内容': '还不错，环境挺好，比较干净。', '短评打分': 3}
