{'短评内容': '朋友推荐哒，离高速很近，老酒店，太老了，都脏脏的', '短评打分': 3}
{'短评内容': '很不错的前台姐姐，帮忙换了硬币坐公交，交通方便，离市中心不远。', '短评打分': 5}
{'短评内容': '前台业务不熟练，发票和实际房费不相符，早餐的时间有点晚，最好能提前半小时，早上7时开始，请考虑一下。', '短评打分': 5}
{'短评内容': '周边正在市政修路，很大扬尘。有地方停车，但不算宽裕。如果不修路的话，位置倒是挺方便的，离高速路口最近，已经属于市区内。', '短评打分': 4}
{'短评内容': '还可以，', '短评打分': 5}
{'短评内容': '挺好的 好停车', '短评打分': 5}
{'短评内容': '小容量的电热水器 设备陈旧 早餐真没有比这更差的了', '短评打分': 1}
{'短评内容': '干净整洁，设施好，离高速近。', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '价格合理，开车适应入住。离高速近，是个不错的选择住这里。房间大部分装修过，各种服务达到三星标准，下次入住。', '短评打分': 5}
{'短评内容': '订的早，价格比较实惠。早餐略显不足。', '短评打分': 4}
{'短评内容': '订的早，价格比较实惠。早餐略显不足。', '短评打分': 4}
