{'短评内容': '喜欢大一点窗户的房子', '短评打分': 5}
{'短评内容': '很一般，就是酒店的位置还不错，出差图便宜来的，整体来说这个价位不能要求的太多，高清吧。', '短评打分': 4}
{'短评内容': '特价房好凄惨……', '短评打分': 4}
{'短评内容': '心情不愉快，网上订的房间，到了说没有开了间什么商务单间，还加钱。', '短评打分': 4}
{'短评内容': '差劲', '短评打分': 2}
{'短评内容': '房间环境一般，地理位置很便利，房间隔音不好', '短评打分': 3}
{'短评内容': '方便快捷，离地铁口、长江边都很近。值得选择。', '短评打分': 5}
{'短评内容': '床单有污垢', '短评打分': 4}
{'短评内容': '只能说：重庆的物价真的有点高～', '短评打分': 3}
{'短评内容': '还不错的酒店，周边交通方便，房间稍微小了点', '短评打分': 5}
{'短评内容': '因为携程订单原因，入住时要跟携程客服确认才入住得了，不过给我免费升级了豪华单间，空气还不错。厕所也是不错的。房间也挺大，前台人员服务业很好。WIF给力！', '短评打分': 4}
