{'短评内容': '交通很方便', '短评打分': 5}
{'短评内容': '不错的酒店，休息安静', '短评打分': 5}
{'短评内容': '没有网其他的还可以。', '短评打分': 3}
{'短评内容': '房型很好，有落地大窗和阳台，住起来挺舒服。灰尘有点。', '短评打分': 4}
{'短评内容': '不错，免费停车，停车场大爷热情。', '短评打分': 4}
{'短评内容': '酒店式公寓，位置还不错，交通也比较方便，环境比较清静，出差旅游都可以考虑，最大的缺点就是没有无线网。', '短评打分': 5}
{'短评内容': '环境不错 房间干净整洁', '短评打分': 5}
{'短评内容': '干净整洁，不错', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '还是不错的', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '前台服务差', '短评打分': 5}
{'短评内容': '非常好不错', '短评打分': 5}
{'短评内容': '虽然设施有点陈旧，但是还算可以吧，三环边上，交通便利', '短评打分': 5}
{'短评内容': '因为在公司旁边，步行50米、朋友说还不错！', '短评打分': 5}
{'短评内容': '6月22日晚间值班的男服务员态度很不好！！！！！！！！！！！！！！！！', '短评打分': 1}
{'短评内容': '位置不好找，很多人不知道。。。。。。.。。。。', '短评打分': 1}
{'短评内容': '提前预订了房间，但是该房间的空调是坏的，难道预留的房间都是差的吗？', '短评打分': 1}
{'短评内容': '很不错，一层是御园堂中医药房，很方便。', '短评打分': 3}
{'短评内容': '酒店服务不错。房间也大。卫生间设施略显过时，但还好用。有吹风机。地点偏背，但据说有定时到地铁口的车可以送客人，没坐。', '短评打分': 5}
{'短评内容': '入住时，空调不能用，这点不好！而且，整体来说，价格有些高了，没有感觉到物有所值。', '短评打分': 1}
{'短评内容': '就不错，有时候不容易订，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '方便，办理入住及结帐快。。。。。。烦死了要输入那么多字', '短评打分': 5}
{'短评内容': '酒店很老了，但服务很好', '短评打分': 3}
{'短评内容': '位置较为偏僻，距离公交站和地铁都很远，酒店还说的过去', '短评打分': 5}
{'短评内容': '价格可以，如果再包早餐就好了，卫生不错，希望坚持', '短评打分': 5}
{'短评内容': '酒店不错，性价比也可以，就是距离公交车站太远，不方便', '短评打分': 5}
{'短评内容': '酒店即将面临倒闭，今天结账的时候居然他们公司员工群体跑来闹罢工，场面何其壮观。。。', '短评打分': 1}
{'短评内容': '地点，交通，性价比管理都不错，前台服务改善的比较好了，服务员日语讲得还不错，呵呵，推荐', '短评打分': 5}
{'短评内容': '地点，交通，周边饮食，性价比都不错，就是服务态度，综合素质有待提高！尤其周边外国人还比较多！更需要注意', '短评打分': 5}
{'短评内容': '酒店位置较好，交通方便，卫生干净整洁，距主干道不便', '短评打分': 5}
{'短评内容': ' 前台办理快，简单不复杂，像日本的风格', '短评打分': 3}
{'短评内容': '地理位置不错，交通方便，卫生整洁，希望保持下去', '短评打分': 5}
{'短评内容': '价适中，环境不错，包早餐就好了，价格再低一些就好了。', '短评打分': 5}
{'短评内容': '附近交通很便利,地铁10号线延长就更好了，周围吃饭出行方便', '短评打分': 5}
{'短评内容': '房间大，办理手续快，附近交通很便利，性价比不错', '短评打分': 5}
{'短评内容': '房间大，地点也不错，----------------------------------------------------谢谢！', '短评打分': 5}
{'短评内容': '很安静，附近交通很便利，需要升级的就是床铺，被子有点薄，晚上不打空调就冷。\n空调噪音有点大，是否可以换成每个房间独立空调就好了。', '短评打分': 5}
{'短评内容': '酒店还可以，设施较旧，不过挺便宜的，周边环境也很安静', '短评打分': 5}
{'短评内容': '人不多，干净，办理手续快，周围吃饭出行方便。', '短评打分': 5}
{'短评内容': '很干净，舒适，性价比不错，位置选择很好，避开了嘈杂的公路。酒店布置很有日式氛围。电视信号似乎不太好，是不是要卡一下。', '短评打分': 5}
{'短评内容': '位置不错，清静，房间宽大，尤其日式榻榻米很舒服。', '短评打分': 5}
{'短评内容': '日式风格很显著，定了好几回了，都很好。目前感觉有的房间空调差点。\n日式风格很显著，定了好几回了，都很好。目前感觉有的房间空调差点。\n', '短评打分': 5}
{'短评内容': '真的不错，日式酒店风格.很喜欢。辨不出20个字怎么办', '短评打分': 5}
{'短评内容': '还行吧，就是有点偏僻了，不是很好找！卫生环境还好！', '短评打分': 5}
{'短评内容': '环境与卫生还挺不错。服务也可以。在古玩城附近办事，这还是首选的性价比较好的饭店。\n不足之处：卫星电视的视觉效果稍差。', '短评打分': 5}
{'短评内容': '环境佳，地理位置好，装潢比较新，总体感觉不错', '短评打分': 5}
