{'短评内容': '垃圾', '短评打分': 1}
{'短评内容': '酒店位置真的非常优，对面就是华润超市，吃飯前后左右都有，前台这次好像是新人，服務态度非常專业和客气，房間硬件还可以，停车有点緊張，还有晚上如果有婚宴就很雜乱了。不过整体还行', '短评打分': 5}
{'短评内容': '酒店从装修上可以看出有些年头了，但由于住的是新装修的商务房所以整体感觉还好。酒店位置不错，三楼中餐厅的早茶很好。', '短评打分': 5}
{'短评内容': '酒店周边很便利，酒店也很不错，早餐超赞，值得推荐', '短评打分': 5}
{'短评内容': '环境好，设施齐全，地理位置优越，方便去周围办公地点，下次公司开会可以推荐这里，安静优雅，床很软，空调也可以自己控制', '短评打分': 5}
{'短评内容': '搞', '短评打分': 5}
{'短评内容': '挺优惠的，环境也不错。', '短评打分': 5}
{'短评内容': '挺优惠的，环境也不错。', '短评打分': 5}
{'短评内容': '性价比相当高不错哦⊙&forall;⊙！', '短评打分': 5}
{'短评内容': '性价比高，早餐丰富。房间年代较久，有点异味，其他还好。', '短评打分': 4}
{'短评内容': '性价比相当高不错很好啊', '短评打分': 5}
{'短评内容': '楼高，在惠州还算是不错的酒店。', '短评打分': 5}
{'短评内容': '酒店设施比较齐全完善，老式装饰：', '短评打分': 5}
{'短评内容': '双床房没有无烟房，只能做无烟处理，另外可能是旅游团的人多，一大早就吵，房间隔音一般。其他还不错，价格实惠的五星', '短评打分': 5}
{'短评内容': '蠻好的', '短评打分': 5}
{'短评内容': '在市中心，环境很好，睡得很舒服，安静。', '短评打分': 5}
{'短评内容': '环境不错，舒适干净。在市中心，很好。', '短评打分': 5}
{'短评内容': '环境不错，服务到位。', '短评打分': 5}
{'短评内容': 'The price is reasonable, but the reception has improved.Hotel location is good', '短评打分': 4}
{'短评内容': '很好的酒店，性价比超高，下次来还住这里。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '环境很好，下次还会入住。大堂服务非常热情，入住很快。房间设施很新，装修很好，尤其是浴室非常好。隔音效果也很好。早餐不错，', '短评打分': 5}
{'短评内容': '地点绝佳，就是酒店旧了一点', '短评打分': 5}
{'短评内容': '여름에 다녀온 호텔. 혜주 시내에 위치하고 있고 홍콩에서 영동버스로 이동할 수 있는 위치가 좋은 호텔입니다.', '短评打分': 4}
{'短评内容': '不错。环境可以，服务良好', '短评打分': 5}
{'短评内容': '公司出差住的，还可以，以后订基本都这里了！', '短评打分': 4}
{'短评内容': '好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '很好的酒店夏天更適合來因為游泳時早餐也非常好，值得推薦性價比非常好。', '短评打分': 5}
{'短评内容': '商务首选。', '短评打分': 5}
{'短评内容': '續住了二天  還是不錯的  到哪兒都很便利  倒是出租車會繞路走不合理  其他都好', '短评打分': 5}
{'短评内容': '很好  很方便  只是房間有點舊了  但很乾淨  整体來說不錯', '短评打分': 5}
{'短评内容': '就在市中心  出行都很方便  酒店配套豐富  房間乾淨  內部裝修若能再整修更新就更高檔了', '短评打分': 5}
{'短评内容': '各方面都还算满意，就房间和洗手间的隔音有点差。', '短评打分': 3}
{'短评内容': '以前住过，感觉不错。到底是四星酒店，各方面都挺好的，推荐！在这里住的韩国人很多，呵呵。', '短评打分': 5}
{'短评内容': '服务很好，双人房床有点小。整体很好，下次还会住', '短评打分': 5}
{'短评内容': '服务很好，位置也不错。就是装修有点老........', '短评打分': 5}
{'短评内容': '酒店地理位置不错，购物方面，对面就是华润万家。 酒店外观气派，大堂宽敞明亮，就是里面设施旧了点。自助早餐种类不够多 ', '短评打分': 5}
{'短评内容': '酒店服务不错，就是设施有点老。', '短评打分': 3}
{'短评内容': '惠州这个酒店比较老了，服务还是不错的，但是设施有点旧，总体来说还是值得一住，下次还会这家', '短评打分': 5}
{'短评内容': '酒店环境比较好，还能免费游泳，挺好；餐饮也比较好。', '短评打分': 5}
{'短评内容': '第二次住了，因为第一次住的时候感觉很好，这次依然很棒！', '短评打分': 5}
{'短评内容': '每次出差都会入住，这次房间重新装修了，很好。\n', '短评打分': 5}
{'短评内容': '惠州天悦(嘉柏)大酒店，安静，枕头很舒服。', '短评打分': 3}
{'短评内容': '除了装修有点老，其他都不错，而且酒店的日本料理绝对值得一试。', '短评打分': 5}
{'短评内容': '\n很安静,位置也不错,早餐可以,就是里面有点旧,总体还ok!', '短评打分': 5}
{'短评内容': '还不错哦，物超所值，下次继续光顾哦！！！', '短评打分': 5}
{'短评内容': '虽说是老酒店,但是服务还是很好,结账,查房速度都比较快.', '短评打分': 5}
{'短评内容': '酒店位置好，早餐种类多，房间很干净，房价不算高。', '短评打分': 5}
{'短评内容': '服务总是很热情,一点建议,就是早餐的菜式可以再多点...', '短评打分': 5}
{'短评内容': '天悦酒店 已经入住多次，以后一如既往支持～～～', '短评打分': 5}
{'短评内容': ' 这是间非常好酒店，虽然外面看着不新但房间非常干净，服务非常好，有健身房，中国少有的高质量酒店（在这个价格内）。', '短评打分': 3}
{'短评内容': '老牌大酒店，但是装修陈旧，现正在做翻新工程，有点味道。', '短评打分': 1}
{'短评内容': ' 房间、床、用品不错。', '短评打分': 3}
{'短评内容': '服务贴心～～～安静～～～～虽然比较旧.....但乾净..', '短评打分': 5}
{'短评内容': '交通便捷，地理位置优越，紧临购物中心，酒店服务很好！', '短评打分': 5}
{'短评内容': '装修有点老，早饭和其他都不错，不到400的价钱也合适的', '短评打分': 5}
{'短评内容': '酒店靠近南湖，但是我的房间看不到湖。老的4星的装修和服务，虽然房间都靠马路，不过还算安静，早饭中规中矩，其他设施没体验，总体来说还不错', '短评打分': 5}
{'短评内容': '地理位置比较好，隔壁就有大型超市。房间里面的用料不错。住得比较舒服。', '短评打分': 5}
{'短评内容': '还好 就是那天去的不巧 楼上正在装修油漆味儿比较难闻', '短评打分': 5}
{'短评内容': '房间很大，没有干扰，餐厅不错，服务不错。', '短评打分': 5}
{'短评内容': '不错，翻新房还是很好的~~~酒店服务也很不错', '短评打分': 5}
{'短评内容': '房间比较大，就地阿里的潮州菜也不错。早餐一般', '短评打分': 5}
{'短评内容': '酒店性价比很高，设施服务等各方面都很不错，二楼的爵士廊自助餐品种很多，味道好。唯一的不足就是：隔音效果有点差，走廊的声音以及隔壁房间的声音都能听见。', '短评打分': 5}
{'短评内容': '蛮好的地方，离商业区也很近，服务很到位，下次还会考虑', '短评打分': 5}
{'短评内容': '很好的酒店，听同事说以前有明星到惠州来时就住这里，下次还会来', '短评打分': 5}
{'短评内容': '在惠州住过的最好的酒店了，非常好，服务好，环境好', '短评打分': 5}
{'短评内容': '酒店服务一般，但房间设施较陈旧。上网较慢，最好有WIFI。', '短评打分': 5}
{'短评内容': '酒店很不错，早餐很丰盛，酒店里面的灯光很亮，暖气很足', '短评打分': 5}
{'短评内容': '天悦酒店不错，还包早餐，房间干净舒适，交通便利，', '短评打分': 3}
{'短评内容': '酒店位置好，服务员热情体贴素质高，干净卫生。', '短评打分': 3}
{'短评内容': '这次要求安排无烟房，很不错！\n这次要求安排无烟房，很不错！', '短评打分': 5}
{'短评内容': '经常住这家酒店,服务周到,房间里面插座都是多功能的,省得带转换插头了.', '短评打分': 5}
{'短评内容': '惠州的老酒店,服务很好,早餐有点偏韩式的,可能韩国客人多的缘故吧.', '短评打分': 5}
{'短评内容': '便宜，干净，很好，值得信赖的好酒店，还是四星呢', '短评打分': 5}
{'短评内容': '酒店性价比可以，交通方便，不过就是太旧了', '短评打分': 5}
{'短评内容': '环境还可以。', '短评打分': 3}
{'短评内容': '酒店硬件太差了', '短评打分': 3}
{'短评内容': '很好的酒店，早餐也好，服务也好，交通也好，还用了健身房，虽然不算大吧，担器械都很全，泳池网球场都有！', '短评打分': 5}
{'短评内容': '朋友反馈还可以，主要是离车站近，还比较方便', '短评打分': 5}
{'短评内容': '很方便的酒店，服务很到位，周边也方便，早饭很不错', '短评打分': 5}
{'短评内容': '确实是个有历史的酒店了，临街的房间会有些吵，即便住在了16楼；服务\\早餐都不错，很满意，离西湖很近，出门购物\\吃饭都很方便', '短评打分': 5}
