{'短评内容': '还行吧！...... 202020202002020202020202020', '短评打分': 5}
{'短评内容': '酒店这么冷的天没有空调，白天打电话说是空调在清新管道说晚上会有。结果晚上还是没有，总之非常烂，值得一提网络速度超级慢。', '短评打分': 2}
{'短评内容': '很好的，很安静，环境挺好的，前台热情态度好！', '短评打分': 5}
{'短评内容': '酒店服务较好', '短评打分': 5}
{'短评内容': '位置还可以，空调不给力。', '短评打分': 4}
{'短评内容': '都还可以，只是房间旧了点', '短评打分': 5}
{'短评内容': '酒店设施很好，房间很大，', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '这是我住过的性比价最差的酒店。以后倒贴钱都不会再住这个酒店了。房间很旧而且很脏，没有热水，不提供洗梳用品。', '短评打分': 1}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '干净卫生', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '定的午夜房，艺龙上不但没写明23：00入住，还写一经确认马上有房无需等待，去了酒店说需23：00才能入住。结果只能客服艺龙给调解，最终补差价完善，以后还是请艺龙完善订房信息。', '短评打分': 3}
{'短评内容': '很不错这两天以后经常住这里。', '短评打分': 3}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '性价比高，环境舒适，推荐入住', '短评打分': 3}
{'短评内容': '娄底常住酒店了，在娄底知名度不错打的什么的都很方便。。。', '短评打分': 5}
{'短评内容': '除了价格不贵，实在没有优点。晚上11点想洗个脸，开了水龙头想把水槽注满，离开去听会音乐，居然听到水槽下面出水管断裂，晕啊！难怪酒店的拖鞋是塑料的，这时候就有用了。想洗澡了，开了半天热水，还是没有热，晕！\n这是3月初啊，居然洗澡的热水都没有，还是头一次碰到。', '短评打分': 1}
{'短评内容': '房间较大，拖鞋竟然不是一次性的，毛巾不好，早餐种类不多，服务人员的服务不专业，不过在娄底这个地方也不能要求太高，毕竟价格不高。', '短评打分': 5}
{'短评内容': '怎么说呢，在娄底这样的城市，酒店本来就不多，只能将就住了。不过早餐实在是太差了，没办法啊。\n怎么说呢，在娄底这样的城市，酒店本来就不多，只能将就住了。不过早餐实在是太差了，没办法啊。', '短评打分': 5}
{'短评内容': '酒店房间很大，很舒适，服务很好！适合商旅。', '短评打分': 5}
{'短评内容': '酒店房间很大。设施还可以。去市里各处比较方便。', '短评打分': 5}
{'短评内容': '房间布置还可以，大小也很合适，住着蛮温馨的，房间里可以上网，很方便，总体觉得住着还', '短评打分': 5}
{'短评内容': '房间很大，价格也很合理，服务很不错，总体感觉住着还算舒服的，还会入住。\n\n', '短评打分': 5}
{'短评内容': '房间够大。干净舒适，早餐不好，太素，一点肉都没有。', '短评打分': 5}
{'短评内容': '不是说酒店不好，管理的不好，感觉这公司好像要干不下去了。感觉到处都缺人手，尤其是结账的时候，慢，乱。晚饭只能送房间吃，种类就少了。', '短评打分': 1}
{'短评内容': '房间还可以，酒店的位置不是太难找，态度还可以但是感觉服务员的培训不是太到位，价格还是不错。', '短评打分': 5}
{'短评内容': '在娄底来说算不错的酒店了，由于底商租给了出去，从酒店外观和大堂看起来比较山寨，但是房间内的水准却还不错，只是浴巾看起来有点旧。', '短评打分': 5}
{'短评内容': '酒店房间很大，有50平米左右，床很大，睡得很舒服，房间里可以上网，很方便，硬件设施配备齐全，感觉还不错', '短评打分': 5}
{'短评内容': '房间卫生条件不错，蛮干净的，另外服务很周到，当时我房间上网有点问题，她们立刻派人过来给我处理，很耐心的', '短评打分': 5}
{'短评内容': '房间面积比较大，硬件设施很齐全也很新，卫生不错，没有卫生死角，打扫的很干净，地下有停车场，自驾过来也很方便', '短评打分': 5}
{'短评内容': '酒店隔音很好，旁边就是酒吧一条街，房间硬件设施比较齐全，住宿环境还可以', '短评打分': 5}
{'短评内容': '房间比较干净，住着很温馨舒服，卫生间很干净，服务员态度亲切，感觉像在家一样', '短评打分': 5}
{'短评内容': '酒店位置还可以，距离火车站不太远，附近购物也很方便，服务还是不错的，服务员都很周到热情，下次还会住的', '短评打分': 5}
{'短评内容': '房间很大，价格也很合理，服务很不错，总体感觉住着还算舒服的', '短评打分': 5}
{'短评内容': '房间布置还可以，大小也很合适，住着蛮温馨的，房间里可以上网，很方便，总体觉得住着还成', '短评打分': 5}
