{'短评内容': '到成都一直住的这个酒店，觉得比较方便', '短评打分': 5}
{'短评内容': '前台服务好。房间也比以前好多了。', '短评打分': 5}
{'短评内容': '前台服务很好。       ', '短评打分': 5}
{'短评内容': '非常满意。前台服务很好  房间环境不错。', '短评打分': 5}
{'短评内容': '自助早餐可以 米线挺好吃的 就是分量有点少了 入住时酒店热水不是很稳定 前台小妹妹说赶上满房了 晚一点十一二点就可以了', '短评打分': 5}
{'短评内容': '酒店有停车场', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环境不错，位置也好！很方便！', '短评打分': 5}
{'短评内容': '酒店离地铁口10分钟路程。价格便宜，但用品偏旧。', '短评打分': 5}
{'短评内容': '酒店地点还可以，交通也算方便。就是周边吃的较少，房间不错，但毛巾都破了也不换新的。', '短评打分': 5}
{'短评内容': '经常住这家酒店，位置很好，周围是一号线万达火车北站都很方便不临街，很安静', '短评打分': 5}
{'短评内容': '很舒适！是一次不错的选择！', '短评打分': 5}
{'短评内容': '没订上，退款了，没有体验上', '短评打分': 3}
{'短评内容': '还可以，酒店很安静，其他都不错。早餐一般。', '短评打分': 4}
{'短评内容': '还可以，酒店很安静，其他都不错。早餐一般。', '短评打分': 5}
{'短评内容': '房间设施、早餐都很不错，下次来必选之！', '短评打分': 5}
{'短评内容': '非常棒非常经典', '短评打分': 5}
{'短评内容': '非常棒非常经典', '短评打分': 5}
{'短评内容': '早餐都还不错，有点辣', '短评打分': 5}
{'短评内容': '服务人员很热情很贴心', '短评打分': 5}
{'短评内容': '挺好，就是早餐不太理想，房间整洁干净，服务一流', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '已经住了第四天，感觉一切都挺好', '短评打分': 4}
{'短评内容': '单人间都在高楼层、一进门阳光铺地、瞬间感觉心情大好、房间设施也比什么商务酒店好多了、衣柜里面还有保险柜、总之很不错、', '短评打分': 5}
{'短评内容': '经常住，很好。', '短评打分': 5}
{'短评内容': '酒店位置，出行方便，当初主要考虑距机场巴士的停靠点不远。入住的房间宽敞、安静，干净没异味。服务员态度热情，早餐还算可以。因此续订了一天，下次出差或旅游还会选这里。', '短评打分': 5}
{'短评内容': '早餐特别好吃！必须给你个赞', '短评打分': 4}
{'短评内容': '酒店位置，出行方便，距地铁，公交车站近，另外看重离机场大巴停靠点近，酒店服务员态度好，房间宽敞、干净，比较满意，又续订了一天。', '短评打分': 5}
{'短评内容': '这家酒店交通挺方便的，地段比较好，房间也干净，下次来办事还会考虑入住 \n', '短评打分': 5}
{'短评内容': '酒店整体感觉还不错，价位较为合理，房间也还可以的，离要去的成都规划局挺近的，办事方便。', '短评打分': 5}
{'短评内容': '酒店交通方便，地段优越，房间卫生干净，下次会入住', '短评打分': 5}
{'短评内容': '首先酒店属于开业不久的，无论外部和内部环境都是很幽静。适合旅行居住。给予好评。下次还会考虑此酒店的。', '短评打分': 5}
{'短评内容': '硬件条件很好，住得很舒服。下次來还会住这里', '短评打分': 3}
{'短评内容': '这个酒店设施很新，而且晚上很安静，难得的性价比很高的酒店', '短评打分': 5}
{'短评内容': '价钱比较合理，房间也干净，就是离市中心稍微有些远', '短评打分': 5}
{'短评内容': '房间还可以，床挺舒服，就是单间窗户太小，采光不好。', '短评打分': 3}
{'短评内容': '不错不错，性价比很高的一家酒店。我不是托儿，經常出差人士。哈哈', '短评打分': 5}
{'短评内容': '干净，周围方便。但是隔音稍差。如果是窗户朝内的房间就看不到街景了，推开窗帘看到的就是墙。', '短评打分': 5}
{'短评内容': '这家酒店在成都位置不是很好但是房间比较新。前台服务比较好值得推荐', '短评打分': 5}
{'短评内容': '嘉好很好很超值，来就会有惊喜！', '短评打分': 3}
{'短评内容': '不知道是因为成都天气潮湿还是别的什么，总之在入住一晚之后，我的身上被跳蚤类的虫子咬的尽是大包。第二天给前台要求换房，居然是在被告知要到房间看一看，发火后才同意调换，但我先生在换房之后也被咬了几个包。觉得卫生不好吧。\n上午就请礼宾帮叫车到机场，中午下来后被告知车要晚些才到，退完房，又等了一会仍然没有见到车，而且前台男士的态度极为傲慢。最后在毒辣的太阳之下，自己跑到街对面才叫到车，没有误机。\n总之不会', '短评打分': 1}
{'短评内容': '该酒店位置很好，交通方便，客房很新，相当舒适。服务也令客人很满意。', '短评打分': 5}
{'短评内容': '酒店接待大厅很大，房间感觉也不错，是值得推动入住。', '短评打分': 3}
{'短评内容': '很不错的一家酒店，房间很大，很干净。性价比非常高，离文殊院很近，步行20分钟就能到~值得入住~', '短评打分': 5}
{'短评内容': '住的是最便宜的大床房，但是房间很大很干净，性价比非常高。非常推荐大家入住', '短评打分': 3}
{'短评内容': '感觉不错，整个房间非常干净、施完善、服务态度好，早餐品种比较丰富，在房间上网很方便', '短评打分': 5}
{'短评内容': '这次是住的商务双从间，整个房间非常干净、施完善、服务态度好，早餐品种比较丰富，在房间上网很方便，网速也比较快。这是一所值得一住的酒店。', '短评打分': 5}
{'短评内容': '酒店环境非常的不错，早餐也挺好，离高考场地很近', '短评打分': 3}
{'短评内容': '酒店环境非常的不错，早餐很好，主要是离高考场地很近', '短评打分': 3}
{'短评内容': '酒店内的设施完善，服务员的服务态度好，早餐品种很丰富。但电视信号不是很好，好像不是数字电视信号。总之，是一家值得一住的酒店。', '短评打分': 5}
{'短评内容': '酒店地理位置及环境都很好,房间及早餐是相当理想,入住后很满意', '短评打分': 3}
{'短评内容': '酒店硬件设置很好，就是地方第一次找不好找', '短评打分': 3}
{'短评内容': '不错，物美价廉，交通也很方便O(∩_∩)O~', '短评打分': 5}
{'短评内容': '酒店装修很新，就是某些房间窗户不够通风，紧挨相邻建筑物。', '短评打分': 5}
{'短评内容': '非常愉快的一次入住！到成都不熟悉路打好多次酒店电话问路，她们都非常有耐心。因为这次没带本本，询问酒店销售部酒店有带电脑的房间，但不是很多，销售部也积极帮我安排了。很感谢。\n办理入住也快。前台人员也亲切，还向我们推荐好吃好玩的地方，房间很干净整洁，床很舒服，设施设备蛮好的，物超所值。热水不错。早餐不错，就是早餐区域比较小，人多了座位比较紧张。结账时有点慢，主要是好多人，但前台好好解释了，也没关系。下', '短评打分': 5}
{'短评内容': '位置太偏,早餐樣式太少,服務態度需加強!', '短评打分': 1}
{'短评内容': '酒店很新 床单毛巾都很干净 交通很方便 离火车站 地铁站都很近 服务态度也非常好 近文书院 吃饭也很方便', '短评打分': 5}
{'短评内容': '酒店地段不算太差，店内环境舒适，设施如酒店介绍，稍有缺陷的是热水太小，住了四天顶楼的房间，换住6楼的房间仍然如此。不过在成都能达到四星部分硬件的酒店里个人觉得还是具备一定的性价比的。', '短评打分': 5}
{'短评内容': '很不错的酒店，装修比较新，服务也不错，但房内没有食品，也无送餐业务，早餐也一般！', '短评打分': 5}
{'短评内容': '弗斯达酒店入住手续快，保洁员很耐心，套房环境也很不错，下次再选择贵店！', '短评打分': 3}
{'短评内容': '空調效果差，早餐太悲催了，許多都凉了也無人加熱。', '短评打分': 1}
{'短评内容': '服务水平需要提高，酒店比较新，但是配套设施和管理水平还有差距，房间没有餐单，送餐后，2天才有人来收餐具。', '短评打分': 5}
{'短评内容': '隔音太差，服务一般', '短评打分': 3}
