{'短评内容': '不行，较差！', '短评打分': 4}
{'短评内容': '房间不错，楼下周边吃饭休闲都有，挺不错的。但是现在关门了', '短评打分': 4}
{'短评内容': '差的不能再差了，冷冷的天不给开空调', '短评打分': 1}
{'短评内容': '朋友来嘉善玩，帮朋友订的，酒店房间用的是中央空调，那几天很冷但空调不能用！服务态度一般！以后不会再订了。', '短评打分': 3}
{'短评内容': '酒店还可以，性价比不错，下次会光临', '短评打分': 4}
{'短评内容': '适合朋友，出游，嘉善首选。', '短评打分': 5}
{'短评内容': '房间很大，设施有点老！早餐一般', '短评打分': 5}
{'短评内容': '绝对值得入住', '短评打分': 5}
{'短评内容': '环境设备都还可以，服务人员态度不是很好', '短评打分': 4}
{'短评内容': '房间的味道太大，老酒店的地毯味道。', '短评打分': 4}
{'短评内容': '前台接待热情，下次还会来', '短评打分': 5}
{'短评内容': '酒店设施有点老，地处繁华街道，周围晚上有很多吃的，酒店早饭很好。中餐西餐都有，前台服务员也很认真负责，', '短评打分': 5}
{'短评内容': '还不错，方便。zzzz条件一般.....', '短评打分': 5}
{'短评内容': '总的来说太老了 最便宜的房间都是低层的', '短评打分': 4}
{'短评内容': '挺好不错', '短评打分': 5}
{'短评内容': '排风很吵，隔音效果一般，半夜被走廊经过的人吵醒', '短评打分': 4}
{'短评内容': '酒店有点老', '短评打分': 5}
{'短评内容': '好方便打车也可以在嘉善地段也好!!就是酒店有点旧了啊', '短评打分': 5}
{'短评内容': '性价比挺高，服务还算周到，唯一遗憾的是前台接待当天正好带着情绪上班，一脸哀苦的样子。既然工作希望还是不要带着情绪，毕竟前台是入住的第一道关卡\n', '短评打分': 5}
{'短评内容': '极其糟糕的经历，前台小姐忙着聊天，居然连我的房间区域都写错了，害得我在一个人都没有的黑黑长走廊来回走了好几趟都没找到，然后好不容易找到了，门卡居然打不开房门！！！门卡都做错了！然后终于进去，门锁坏的，不能够反锁，请人来修，前台接了电话十几二十分钟都没有反应，九点到的酒店，到十点才终于能睡觉，太恶心了，以后再也不住这家酒店了', '短评打分': 1}
{'短评内容': 'Very spacious and to my taste', '短评打分': 5}
{'短评内容': '很好，设施不错，价格也便宜，下次来还会住', '短评打分': 5}
{'短评内容': '房间设施等还不错，只是从酒店大堂到电梯需要走很长一段，不方便。有停车库，房间卧具舒适，地处嘉善中心，交通没有问题。酒店服务人员的水平急需提高', '短评打分': 5}
{'短评内容': '去嘉善就住这个酒店，性价比比较高的酒店，，，，', '短评打分': 5}
{'短评内容': '去嘉善的话，基本上都朱这儿酒店，早餐和位置都可以，，，', '短评打分': 5}
{'短评内容': '房间宽敞，采光好，服务也很棒，性价比很高，满意。', '短评打分': 5}
{'短评内容': '酒店对面有一个公园风景不错\n早餐一般 服务可以的\n床不怎么舒服.', '短评打分': 1}
{'短评内容': '入住的休閒房沒熱水,又因為樓下有KTV根本無法休息,前台同意換房間,但客房服務員態度極差,像在催魂一樣,失望透了!', '短评打分': 1}
{'短评内容': '干净、舒服。特别是国庆期间到西塘路过的人，住此比住西塘景区要干净、舒服、性价比值！', '短评打分': 5}
{'短评内容': '总体感觉不错，即使是靠马路的房间晚上睡觉也很安静。', '短评打分': 5}
{'短评内容': '不错 性价比也可以 房间很大 服务很好 早餐也挺丰富 有地下停车库挺方便', '短评打分': 5}
{'短评内容': '还行，就是感觉不如四年前了，早餐不行，难吃；浴室不行，洗澡就跟喷雾，整个地板都湿完了，', '短评打分': 3}
{'短评内容': '一周来了两次这家酒店，确实不错，房间大，卫生间大，就是网速慢了一点，希望能加以改善，前台服务热情，工作效率高，早餐也不错，下次来嘉善还会选择。', '短评打分': 5}
{'短评内容': '酒店房间很大，卫生很好，前台服务热情，就是餐厅有最低消费', '短评打分': 5}
{'短评内容': '这间酒店各方面都不错，房间也比较大，早餐也还算可以。只是酒店有的房间网速超慢。', '短评打分': 5}
{'短评内容': '沙发上都是烟头烫的洞，设施陈旧， 风景不好，很失望', '短评打分': 1}
{'短评内容': '嘉善华都国际大酒店挺不错的酒店，各方面做的都很好，房间舒适度不错，床品和卫生间打扫的很干净。', '短评打分': 5}
{'短评内容': '嘉善华都国际大酒店的设施服务都是比较好的。酒店附近也是蛮热闹，但价格还是稍微偏高。', '短评打分': 5}
{'短评内容': '入住嘉善华都国际大酒店期间有部分客房正在装修，比较吵.晚饭也不太正常。', '短评打分': 5}
{'短评内容': '嘉善华都国际大酒店的客房比较大的，总体感觉很舒服，但上网速度比较慢。 \n', '短评打分': 5}
{'短评内容': '嘉善华都国际大酒店地理位置优越，店面气势磅礴，一看就是大饭店的模样。', '短评打分': 5}
{'短评内容': '环境不错 房间比较宽敞 交通方便 旁边就是一个娱乐城 下午很便宜 晚上很贵', '短评打分': 5}
{'短评内容': '嘉善华都国际大酒店的客房相对于其他宾馆是比较大的，它的床大，卫生间大，感觉很舒服。\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '很不错的酒店，下次还会入住。谢谢。。。。。。。。。', '短评打分': 5}
{'短评内容': '嘉善华都国际大酒店的门面比较豪华，客房比较宽敞,它的床大，卫生间大，感觉很舒服', '短评打分': 5}
{'短评内容': '嘉善华都国际大酒店的早餐不错， 既干净又可口，品种也多，比较满意。', '短评打分': 5}
{'短评内容': '嘉善华都国际大酒店客房比其他宾馆都大，服务业比较到位，只是相比较有点贵。', '短评打分': 5}
{'短评内容': '嘉善华都国际大酒店的门面比较豪华，客房比较宽敞，就是晚餐结束的比较早，有时过了晚上8点餐厅就没有吃的了。', '短评打分': 5}
{'短评内容': '就是网络的问题，太慢了，其他可以，，，前台的服务好，', '短评打分': 5}
{'短评内容': '网络太慢了， 作为三星的宾馆是不应该的，其他都可以的，早饭地段都好，', '短评打分': 5}
{'短评内容': '酒店的服务和位置都是可以的，就是网速太慢了，打游戏很卡。', '短评打分': 3}
{'短评内容': '还可以的酒店，在嘉善算是性价比高的，早饭也可以，', '短评打分': 5}
{'短评内容': '可以的，吃饭和住宿都好，性价比高，，，，，，，，，，', '短评打分': 5}
{'短评内容': '嘉善华都国际大酒店的客房相对于其他宾馆是比较大的，它的床大，卫生间大，感觉很舒服。', '短评打分': 5}
{'短评内容': '嘉善华都国际大酒店在泗洲公园旁边，环境优雅，交通方便，有大酒店的气派。', '短评打分': 5}
{'短评内容': '房间舒适，服务热情，性价比高，值得推荐！', '短评打分': 3}
{'短评内容': '酒店的设施和服务还是挺不错滴，就是早餐做好能多多改善一下，品种太少了', '短评打分': 5}
{'短评内容': '设施服务都是比较好的。酒店附近也是蛮热闹，价格还是稍微偏高。不过现在酒店的环境还是很好的。', '短评打分': 5}
{'短评内容': '入住期间有部分客房正在装修，比较吵休息不好.位置稍有点偏不过交通还算便利.', '短评打分': 3}
{'短评内容': '位置比较不错.出行很方便，房间条件也可以主要还是家具比较新一些，而且配置很齐备.', '短评打分': 5}
{'短评内容': '挺不错的酒店，各方面做的都很好，房间舒适度不错，床品和卫生间打扫的很干净，服务也很到位，下次还会住', '短评打分': 5}
{'短评内容': '房间很大 ，早餐不错， 干净。 相比嘉善宾馆， 梅园， 我更喜欢这里。 ', '短评打分': 5}
{'短评内容': '早餐不错，可以推荐入住，房间很大，前台反应比较慢', '短评打分': 5}
{'短评内容': '物有所值  不错的酒店  下次去还住这里', '短评打分': 5}
{'短评内容': '…入住嘉善華都酒店，被安排632房，房間寬敞，住的舒適，很好…黃華生', '短评打分': 3}
{'短评内容': '酒店的外观装修还好，但是房间的床太小了，价格也是很贵，不过酒店出行还是挺方便的。', '短评打分': 3}
{'短评内容': '不错，房间大，干净清爽，下次还会住在这里', '短评打分': 5}
{'短评内容': '还不错，就是早餐差了些，如果早餐质量提高的话，下次还会来住', '短评打分': 5}
{'短评内容': '非常好，地方很好，离西塘比较远，如果在西塘没有地方的话，可以将此处作为首选', '短评打分': 5}
{'短评内容': '酒店服务卫生方面还是不错的,设施条件一般了点,周边环境也一般了,价格方面还是比较合适的.', '短评打分': 3}
{'短评内容': '房间大，很舒服', '短评打分': 5}
{'短评内容': '很舒服', '短评打分': 5}
{'短评内容': '房间面积大,床也很大很舒服,就是被子薄了点,总体来说很不错了~', '短评打分': 5}
{'短评内容': '环境不错，出行方便，服务也很好，就是停车不太方便', '短评打分': 5}
