{'短评内容': '空调是坏的第二天起来都感冒了，被子是夏天的', '短评打分': 1}
{'短评内容': '出差去南站方便', '短评打分': 5}
{'短评内容': '酒店设施太简单了，而且门卡还要收押金，真是醉了', '短评打分': 5}
{'短评内容': '楼层挺高看夜景不错 对面就是南站 交通很便利 ', '短评打分': 5}
{'短评内容': '地理位置优越，出行方便，经济实惠。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '感觉还不错', '短评打分': 4}
{'短评内容': '环境挺好的，唯一的就是床头没有插头', '短评打分': 5}
{'短评内容': '房间比较干净，服务也不错，值得信赖', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '没有牙刷牙膏', '短评打分': 4}
{'短评内容': '房间没牙刷，没拖鞋，没吹风机，连毛巾都没有！', '短评打分': 3}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '服务很到位，卫生也不错', '短评打分': 5}
{'短评内容': '床大，干净，不错', '短评打分': 5}
{'短评内容': '条件很差，洗漱月品都没有', '短评打分': 3}
{'短评内容': '条件很差，洗漱月品都没有', '短评打分': 3}
{'短评内容': '来杭州旅游 位置很方便对面就是汽车南站 离开地铁站也近 因为有会员卡退房很方便 不过因为价格所限 空调不够暖 睡觉有点冷 也许是房间大的关系 显得空旷 但是性价比还可以', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '位置方便，设施差', '短评打分': 5}
{'短评内容': '干净，实惠，舒服', '短评打分': 5}
{'短评内容': '价格实惠，房间还可以', '短评打分': 5}
{'短评内容': '很温馨很舒适，房间虽小，五脏俱全。虽然洗漱用品要自带。边上就是汽车南站，出行也很方便。', '短评打分': 5}
{'短评内容': '4545还不错~还不错~还不错~还不错~还不错~还不错~还不错~还不错~还不错~还不错~还不错~还不错~还不错~还不错~还不错~还不错~', '短评打分': 5}
{'短评内容': '环境非常,下次还会入住', '短评打分': 3}
{'短评内容': '地方挺好,挺大,汽车南对面,没有洗浴的', '短评打分': 3}
{'短评内容': '真的很小的一间房，但是麻雀虽小，五脏俱全。去汽车南站上车很方便的。', '短评打分': 5}
{'短评内容': '就在汽车南站对面，要在南站坐车的很方便，至于房间就一般了，这价位这地段，对付对付吧', '短评打分': 5}
{'短评内容': '交通方便，就在汽车南站对面，房间虽小但还干净。', '短评打分': 5}
{'短评内容': '＋环境很好，简洁干净', '短评打分': 3}
{'短评内容': '这家店环境挺不错的。不过房间有点小，但是床很大很舒服。房间里有个红红的一闪一闪，不知道是什么东西。晚上看着有点恐怖，就把它反面了。还有我们是半夜到的，跟出租车师傅说云顶之星，他们都不知道，后来到了才发现连出租车师傅都不知道99我的客栈是什么时候改名成云顶之星的。还有就是办理入住手续和退房手续太慢了，我们等了好久呢。', '短评打分': 5}
{'短评内容': '房间小巧温馨，热水给力，需要说明，虽然没有一次性牙刷拖鞋，但楼下超市可以购买。', '短评打分': 5}
{'短评内容': '就是小了点 其他还好  地理位置太好了  房间大也浪费资源', '短评打分': 5}
{'短评内容': '密码箱被人划开,现金被盗,监控显示隔壁房间一名男子涉案。酒店主管看了监控先声称没发现异常,后又颠倒黑白信口雌黄说此人玩“躲猫猫”。酒店拒绝承担责任', '短评打分': 3}
{'短评内容': '白天酒店竟然不开空调,房间又小又闷', '短评打分': 3}
{'短评内容': '还可以，马马虎虎，蛮有情调', '短评打分': 3}
{'短评内容': '99元很经济实惠，热水真的很给力，房间真的很小，床也小，如果你身高一米八以上，那睡觉时脚可能就要放在床外了。', '短评打分': 5}
{'短评内容': '床短到可以，没有牙膏牙刷拖鞋就算了，既然连烧水的都没有，大热天的室温29.5°，空调还不好使，给我的印象真心不好，不会再来了', '短评打分': 1}
{'短评内容': '离城站四公里，公交三十分钟2元，打车十分钟，13元。不过房间不干净。99的值得住，其他价格的就算了。', '短评打分': 3}
{'短评内容': '不错，交通很方便，价格也合适，虽然简单，但干净，下次去还要住', '短评打分': 5}
{'短评内容': '挺不错的虽然小一点，很满意了', '短评打分': 3}
{'短评内容': '看个人的需求了，酒店的规模挺大的，服务也挺好的，就这个价位来说，性价比很高', '短评打分': 5}
{'短评内容': '酒店很干净，也很安静，环境很好，很优雅', '短评打分': 3}
{'短评内容': '交通比较方便，但房间设施简单，特别是里面洗簌用品等什么都没有，这个如果能改进，会更好一点，房间还算干净的', '短评打分': 5}
{'短评内容': '厕所门坏的', '短评打分': 3}
{'短评内容': '这个家酒店，只能说这个价位差不多！位置有点偏！房间很简单！', '短评打分': 5}
{'短评内容': ' 还可以吧 就是一进屋有股腥味儿。。卫生也有死角 不过毕竟价格便宜 位置也不错 酒店门口就是公交站 离杭州城站就几站地的距离离河坊街也很近', '短评打分': 3}
{'短评内容': '不错 性价比高不错 性价比高不错 性价比高不错 性价比高不错 性价比高不错 性价比高不错 性价比高不错 性价比高', '短评打分': 5}
{'短评内容': '网络竟然坏了一晚，搞的我只能找网吧发邮件，汗', '短评打分': 5}
{'短评内容': '第二次住了，简单实用，经济。前台服务很好，中央空调，风力柔和。', '短评打分': 5}
{'短评内容': '隔音有点差、没有洗漱用品、总体来说还不错', '短评打分': 3}
{'短评内容': '空调竟然是酒店系统自己控制的！还有温度还行', '短评打分': 3}
{'短评内容': '电视大床房，浴室有点不给力，其他的蛮ok', '短评打分': 3}
{'短评内容': '房间不大,价格还可以', '短评打分': 3}
{'短评内容': '性价比高的经济酒店，前台服务生很好，可以上网不用另加20元，地理位置虽不在市中心，但交通很方便。', '短评打分': 5}
{'短评内容': '很好、、我顶的房间有点小、、服务态度还是不错的、我觉的就是前台服务的熟练度还不够', '短评打分': 5}
{'短评内容': '房间有点小,其它还可以', '短评打分': 3}
{'短评内容': '性价比高，很经济的酒店，卫生间果然很小但够用了，热水很给力。设施有点旧，但也说的过去。\n', '短评打分': 5}
{'短评内容': '房间有点小,有时白天没空调', '短评打分': 3}
{'短评内容': '还挺干净的，房间有点矮，在汽车南站对面，挺好找的。', '短评打分': 5}
{'短评内容': '比在网上看了点评后预料的要好，很经济的酒店，房间虽小但够用了，也就睡个觉而已。卫生算干净，设施有点旧，但也说的过去。', '短评打分': 5}
{'短评内容': '价格还可以', '短评打分': 3}
{'短评内容': '很好，就是距离不是太好，赞一个，另外他没有浴巾和牙刷，遗憾！！！！\n', '短评打分': 5}
{'短评内容': '一般很小', '短评打分': 3}
{'短评内容': '房间不大,但总体还不错,服务热情周到', '短评打分': 3}
{'短评内容': '房间有点小，空调不太给力…不过蛮干净的，性价比比较高！蛮喜欢的，下次还会在来！', '短评打分': 3}
{'短评内容': '比较便宜 如果是旅游的话 还可以  但设施不是很好', '短评打分': 5}
{'短评内容': '房间里面没有洗具拖鞋，得自带，太郁闷了。', '短评打分': 3}
{'短评内容': '宾馆正在装修，便利店的商品有待提高', '短评打分': 3}
{'短评内容': '之前以为房间会很小，或者是无窗房。但考虑到离汽车南站很近，交通方便，价钱也便宜，所以就订了这家。住进去之后觉得非常不错。不仅有窗，房间也不算小。有放行李的行李架。挺实用的。热水也不错。前台服务也很好。', '短评打分': 5}
{'短评内容': '房间和床都有点小，不过其他都还可以的。。。。', '短评打分': 5}
{'短评内容': '对于这件酒店我只能用四个字形容：“什么玩意”，说可以宽带上网居然还要交20元钱，并且不提供网线，要网线还要10元押金，房间巨小不说还矮，只有2米多一点高，站在床上可以顶到头，洗手间的风格可以让人想到火车上的卫生间，手盆还有台面居然都是塑料的……彻底无语，好吧吃亏上当就这一次吧，再也不会来这了！！', '短评打分': 1}
{'短评内容': '性价比不错，房间舒适，就是小纸条太多，夏天蚊子有点多', '短评打分': 5}
{'短评内容': '住的是双人电脑大房，房里只有两条小毛巾，楼下装修灰尘好大，159入住，性价比越来越一般了', '短评打分': 3}
{'短评内容': '好酒店，不错，很好很干净，没洗漱用品，略吵', '短评打分': 5}
{'短评内容': '＋很不错的酒店，第N次住了，给力的', '短评打分': 3}
