{'短评内容': '还可以吧，一般', '短评打分': 5}
{'短评内容': '房间干净整洁，服务态度很好', '短评打分': 5}
{'短评内容': '这个价钱的房间真的很不错。下次出差改去。', '短评打分': 5}
{'短评内容': '一分价钱一分货。', '短评打分': 5}
{'短评内容': '差', '短评打分': 2}
{'短评内容': '挺好的     就是前台服务不太好', '短评打分': 5}
{'短评内容': '便宜', '短评打分': 2}
{'短评内容': '感觉不是很满意。', '短评打分': 3}
{'短评内容': '住宿环境还可以吧，毕竟价格在这里放着！交通便利是一个很大优势，如果你想住好的，对面就是高级酒店！但是价格也要可以接受，别人都说问声问题，还没有感受到。晚上用了在说！', '短评打分': 5}
{'短评内容': '很不错 很满意 床好舒服 就是卫生间太普通 其他都很好 地段也很完美 总之就是很棒', '短评打分': 5}
{'短评内容': '位置很好，七里河公交站下站就在宾馆门口，前台态度很好，距离万达广场步行十五分钟，周边有很多胡辣汤，鸡蛋灌饼，肉夹馍，牛肉汤等等小吃。是商务出行和居家旅游的不二选择', '短评打分': 5}
{'短评内容': '位置很好，七里河公交站下站就在宾馆门口，前台态度很好，距离万达广场步行十五分钟，周边有很多胡辣汤，鸡蛋灌饼，肉夹馍，牛肉汤等等小吃。是商务出行和居家旅游的不二选择', '短评打分': 5}
{'短评内容': '为别人订的，据说还不错，离公交车站，王城公园近。', '短评打分': 3}
{'短评内容': '很顺利地入住 房间不错 干净 热水等啥都有 服务员特热情还会来住.', '短评打分': 3}
{'短评内容': '交通方便，性价比不错，附近牛门肉汤不错哟。', '短评打分': 3}
