{'短评内容': '嗯嗯，性价比非常好，环境也可以', '短评打分': 5}
{'短评内容': '很好。', '短评打分': 5}
{'短评内容': '房间卫生干净，服务态度很好', '短评打分': 5}
{'短评内容': '无早餐，不适合带孩子，位置方便有停车场但位子不多。吃饭比较方便', '短评打分': 4}
{'短评内容': '连锁酒店这么脏第一次', '短评打分': 3}
{'短评内容': '环境服务很好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '很好，下次还会去', '短评打分': 5}
{'短评内容': '商务酒店的格局，卫生还过得去，门口有停车位，楼下有早餐店，只是安排我在最后一间房，有点怕怕，可能因为之前受到商务酒店女客人被强拉进房的新闻的惊吓。早上退了房，突然想要一点热水，问前台，没有，，我说你们也要喝水的吧，她们说，不喝。', '短评打分': 4}
{'短评内容': '不错！', '短评打分': 5}
{'短评内容': '酒店很容易找，一出地铁几分钟就可以找到！设施设备都不错，以后会经常入住', '短评打分': 5}
{'短评内容': '经济型酒店，还不错！简单，舒服~~~', '短评打分': 5}
{'短评内容': '已结入住很多次了，都觉得很不错！各方面都很齐全，所以挺满意的！', '短评打分': 5}
{'短评内容': '酒店设施还算齐全，地铁也方便！周边吃饭的地方也很多~都挺方便的', '短评打分': 5}
{'短评内容': '性价比很高，地铁公车都很方便，去佛山也很方便！', '短评打分': 5}
{'短评内容': '酒店里面就是装修的有旧，还有服务有点不够好呢！', '短评打分': 5}
{'短评内容': '非常差，床板竟然是少了一块的，设施都很陈旧。空调噪音大，排气扇声音更大。不会再有第二次了。非常不满意', '短评打分': 1}
{'短评内容': '房间很干净，装修也不错，附近吃的地方也很多，主要是网上订很便宜。', '短评打分': 5}
{'短评内容': '还OK，就是如其他人说的水压有点低，厕所不好冲。', '短评打分': 5}
{'短评内容': '  还算干净，服务还可以；洗浴用品没有，水压很小', '短评打分': 3}
{'短评内容': '說真的，不會想去第二次的感覺，荒涼，這裡荒涼啊，進去就是第一感覺了，如果不是因為近，絕不想入住咯。', '短评打分': 1}
{'短评内容': '酒店很不错，环境也不错。价钱也行。推荐一个！！！', '短评打分': 3}
{'短评内容': '不是很好，设施一般。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '装修很旧，房间和床单都不是很干净，如果不是因为太累了，肯定要换房间', '短评打分': 1}
{'短评内容': '总体上该酒店尚算满意。房间内的马桶冲水压力不够。', '短评打分': 5}
{'短评内容': '服务态度相当好，真的，交通也很方便，地铁一号线西郎站A出口处就可以看到...', '短评打分': 5}
{'短评内容': '设施比较简陋，而且没有牙刷牙膏沐浴露等产品', '短评打分': 1}
{'短评内容': '空调整晚噪音，居然还会漏水，而且水是黑的..\n上一次去的房间居然墙面剥落..浴室玻璃门破裂..\n', '短评打分': 1}
