{'短评内容': '环境可以方便。', '短评打分': 5}
{'短评内容': '方便', '短评打分': 5}
{'短评内容': '环境特别好', '短评打分': 5}
{'短评内容': '卫生方便房间不错', '短评打分': 5}
{'短评内容': '早餐没吃过带孩子没问题，位置不错有停车位置', '短评打分': 5}
{'短评内容': '静谧，浪漫，远离尘世', '短评打分': 5}
{'短评内容': '空调不好用，好冷{{(&gt;_&lt;)}}，晚上不好过', '短评打分': 4}
{'短评内容': '服务差的要命，', '短评打分': 3}
{'短评内容': '小旅馆 设施太烂 房间全部都是发霉的味道 浴巾是烂的 颜色发黑！', '短评打分': 1}
{'短评内容': '备用枕头都没有 三个人睡俩枕头？？？', '短评打分': 5}
{'短评内容': '出去方便，吃方便，干净利索，很方便的', '短评打分': 5}
{'短评内容': '挺好的，下车来还住在这里，基本上满意', '短评打分': 4}
{'短评内容': '挺好的，下次来还住在这里，满意', '短评打分': 4}
{'短评内容': '环境安静，卫生也挺干净的', '短评打分': 5}
{'短评内容': '房间条件一般，设施还挺齐全的，有免费wifi还是比较人性化的。位置在市场里面，这个就太方便了，总体来说，还可以吧，服务员很好，很热情。', '短评打分': 4}
{'短评内容': '下坡噢灭灯噢', '短评打分': 3}
