{'短评内容': '风景不错', '短评打分': 4}
{'短评内容': '紧靠玉河，小桥流水人家，意境不错，二楼还有个观景阳台，聊天看风景很暇意！，老板娘小时候还是上海的邻居，真是太巧了，酒店闹中取静，适合在丽江多住几天发呆的生活。', '短评打分': 5}
{'短评内容': '老板人非常好各方面非常满意', '短评打分': 5}
{'短评内容': '客栈的设计风格，给人印象很深。房间的每一处地方都很有特色，卫生干净整洁，设施齐全，洗漱用品也都有。院内有很多的休闲区，让人沉浸在这悠然自得的氛围中。周边交通出行方便，来这，让我们重新了解了旅途的意义，真的很赞。', '短评打分': 5}
{'短评内容': '特别满意的一次旅行，住宿环境特别棒，格局特别好，老板和服务员太热情了，人美心美的，是朋友介绍来的，看来真的不枉此行，一定要介绍朋友过来！', '短评打分': 5}
{'短评内容': '客栈很好，老板特别热情，特别是客房布置得很温馨，开门进去那一秒感觉特别舒服，房间很大，而且，卫生也打扫得很干净，设备齐全，强烈推荐！', '短评打分': 5}
{'短评内容': '房间真的是太漂亮了，装饰得很温馨，住得特别舒心，而且老板很大方，环境卫生各方面都很好，服务也很周到，各种设施都还不错，外观设计很独特，极力推荐！', '短评打分': 5}
{'短评内容': '位置很好，没有在闹区，交通也方便，适合居住，价格也比较实惠，客栈的风格别有风味，房间设备很齐全，谢谢老板给了很多旅游线路和建议！', '短评打分': 5}
{'短评内容': '很好的一家客栈，装饰很有风格，房间内的设备很好很新，他们家还有小院子，环境特别的好，性价比高，老板特别的热情、亲切，服务也周到！', '短评打分': 5}
{'短评内容': '房间布置得好温馨啊，床也是蛮有个性的，房间里的设备很齐全，窗帘、被单都是新的，质量也很好，住着很舒服，老板前台服务周到，很热情！', '短评打分': 5}
{'短评内容': '房间很干净，设备齐全，性价比高，客栈很安静，客栈老板特别亲切，说实话老板太热情了，我都有点儿不好意思的感觉，在此谢谢老板了，还是蛮不错的，等下次有机会还会来的！', '短评打分': 5}
{'短评内容': '地方好难找，并且房间好压抑，蚊子多，也没空调', '短评打分': 3}
