{'descr': '价格比较实惠，房间偏小，同类价格最便宜', 'star': 5}
{'descr': '环境不错干净', 'star': 5}
{'descr': '还不错 早餐自己外面吃的 周围很方便 有停车场 共用的 可以停车 带孩子就订双床就好啦', 'star': 5}
{'descr': '酒店还是很不错，很温馨的，价格也是很公道的。酒店前台很热情，我本来订的房间不是太好，前台直接帮我升级了家庭房。房间又大又宽敞，真是喜欢。酒店房间也是很干净的，床单被套都还比较新，洗澡热水特别大，电视是网络电视随便看什么都可以。不需要付费。看电影也很好。酒店还有无线。真不错。早晨去吃早饭。去晚了。都要收摊了，但是餐厅阿姨还专门给我煎了个鸡蛋。真好啊', 'star': 5}
{'descr': '很不错！便宜干净！！', 'star': 5}
{'descr': '不错，性价比高', 'star': 4}
{'descr': '前台服务挺好的，就是房间有点拥挤，价格还可以', 'star': 4}
{'descr': '以前出差经常住这边，这次带小孩出来玩，住宿这里成了首选！环境，卫生，前台服务都不错，地理位置也很方便，离火车站也近', 'star': 5}
{'descr': '还行', 'star': 4}
{'descr': '酒店位置很好，我经常去，休息的很好，非常不错！', 'star': 4}
{'descr': '酒店位置很好，我经常去，休息的很好，非常不错！', 'star': 4}
{'descr': '不错', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '还可以，服务上还有提升的空间。', 'star': 4}
{'descr': '不错的酒店', 'star': 5}
{'descr': '位置不错，交通比较方便，价格比较合理，客房打扫得非常干净，服务态度也很好！', 'star': 5}
{'descr': '还行的，如果返还了现金还比较合算。不过房卡坏的，害我跑了几趟，烦死了。', 'star': 5}
{'descr': '住过几次一直感觉很好！这次碰到意外了，房间跳闸，半夜换房间，保安态度不错，但实在把我折腾的够呛！', 'star': 1}
{'descr': '环境不错 服务态度也好 办理流程也较快 就是电视节目较少 总体不错！以后还会入住', 'star': 5}
{'descr': '环境还不错，地理位置比较好，公务出差入住的话很方便的，服务态度也比较好！', 'star': 5}
{'descr': '干净舒适,地理环境很好,公交方便,适合出差居住', 'star': 5}
{'descr': '地段还不错，位于市中心，离火车站很近，旅游的人可以考虑，也比较幽静，服务态度也可以。', 'star': 5}
{'descr': '很干净，住着很舒服，服务态度也很好。以后还会去住的', 'star': 5}
{'descr': '一如既往的舒适，环境和服务都很好，以后会继续选择如家', 'star': 5}
{'descr': '我住的房间在楼道里。让我觉得很没安全感。一到晚上，楼道安全门就关起来。弄得我住的是保安房。多别扭。', 'star': 3}
{'descr': '一直住的这家酒店，很好，服务态度也很好，以后还会选择这家', 'star': 5}
{'descr': '很清爽  不错  要是房间里面多个衣橱就更好了  下次出行还选如家  性价比不错', 'star': 5}
{'descr': '酒店的位置很好，距离火车站很近，而且交通便利，晚上很安静，酒店很干净，喜欢，下次还会再来', 'star': 5}
{'descr': '环境很好，很有家的感觉，住的很舒服，不错哦~', 'star': 5}
{'descr': '酒店位置还不错，房间挺大的，工作人员态度也不错，就是不喜欢如家的厕所。。。', 'star': 5}
{'descr': '离火车站有点小远，房间环境很不错，服务态度也还好', 'star': 5}
{'descr': '我住的是房间是638，特价房有窗。卫生条件不错。服务也好。不错。', 'star': 3}
{'descr': '干净 方便 空调有点滴水哦 交通便捷。。。。。。。。。', 'star': 5}
{'descr': '整体酒店不错。服务也好。', 'star': 3}
{'descr': '酒店干净，整洁，下次还会再住的。酒店干净，整洁，下次还会再住的。', 'star': 5}
{'descr': '房间不错，就是房间没有窗户，感觉郁闷。。。', 'star': 5}
{'descr': '如家的服务于硬件是有保障的，每到一地第一选择总是如家，好好好', 'star': 5}
{'descr': '房间很不错，算是比较大的，价钱也合适，离市区步行就可以，入住后因为有旅游团入住同楼层很吵，还换了房间，服务态度都很好很耐心，出去玩问路线也都能提供，值得入住，下次来常州还住这家', 'star': 5}
{'descr': '很好，房间很大很干净。。', 'star': 3}
{'descr': '好,房间大，服务好，就是部是很安静。还有隔音不好；', 'star': 5}
{'descr': '还可以的,这个地段这个价格,已经不易,前台客服很亲切,这不 我第二次入主了!', 'star': 5}
{'descr': '太差了,房间太吵,隔壁打电话,看电视,声音太清楚了.', 'star': 1}
{'descr': '强烈不推荐，隔音效果太差。', 'star': 3}
{'descr': '服务好，房间干净', 'star': 3}
{'descr': '环境不错！各方面都还行！出行也方便！就是我才走就降价啊！', 'star': 5}
{'descr': '免费帮我们升级到了商务大床，除了房间地理位置差了些外，其他挺好的，卫生间也有电吹风，1米8的床很宽很舒服，唯一有些惊吓的是有蟑螂。。。', 'star': 5}
{'descr': '酒店环境很好，很喜欢，前台服务也很好，这已经是第二次入住了，以后还是会选这里\n', 'star': 5}
{'descr': '    房间很小，窗子在床头上方。但是干净。', 'star': 3}
{'descr': '酒店不错，离火车站很近。', 'star': 3}
{'descr': '风格与其他如家类似，就是这个位置比较市中心，方便——吃饭，休闲，，，，，', 'star': 5}
{'descr': '环境很好，比较干净一贯的如家风格，条件和服务态度都不错，下次还会选择入住。', 'star': 5}
{'descr': '很棒的酒店，很温馨，也很干净，各方面都很不错呢。进到房间感觉很惊喜，本以为没那么好的', 'star': 5}
{'descr': '酒店的位置很方便，环境也还可以，顶一下！很不错！', 'star': 5}
{'descr': '  感觉隔音效果有待改进～', 'star': 3}
{'descr': '多次入住，条件和环境都不错，闹中取静，在市中心也方便，个人感觉适合居住。', 'star': 5}
{'descr': '经常住,总体感觉在这个价位还是不错的.就是这次安排个紧挨马路的房间搞的我很晚才睡着郁闷.', 'star': 5}
{'descr': '交通方便 很干净 就是声音有点吵 其他的很优秀  服务态度很好 有机会还会光临', 'star': 5}
{'descr': '除了地理位置离北大街南大街稍微一点点距离之外,其它方面都是如家一贯的', 'star': 5}
{'descr': '住的房间靠路边,有点吵,其他都不错', 'star': 3}
{'descr': '交通比较方便，也很清静，房间挺干净整洁的，不错', 'star': 5}
{'descr': '酒店位置很好 在繁华地带 出去购物很方便 房间卫生还好', 'star': 5}
{'descr': '可以入住，处在市中心，旁边很多商场走走就到了，另外还比较安静，蛮好的', 'star': 5}
