{'短评内容': '房间非常大，特别宽敞，书桌躺椅都有。卫生间淋浴间也比较宽敞，洗澡水很快就热了，也很大，比较喜欢。餐厅都是包厢，菜品味道尚可', '短评打分': 5}
{'短评内容': '干净卫生，早餐丰富！非常不错', '短评打分': 5}
{'短评内容': '早餐丰富，很好', '短评打分': 5}
{'短评内容': '很干净，不错，环境也好服务也不错', '短评打分': 5}
{'短评内容': '酒店环境一般，位置好交通便利，早餐还算丰富', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '政府定点旅馆，性价比高。', '短评打分': 5}
{'短评内容': '不错不错，出差都住这', '短评打分': 5}
{'短评内容': '方便干净。早餐也不错', '短评打分': 5}
{'短评内容': '酒店设施有些老旧了。床睡的很舒服。', '短评打分': 3}
{'短评内容': '还不错，性价比高。可开专票，距离火车站比较近，做汽车也能到，很方便。有的房间网速不行，5楼网速高点。。。', '短评打分': 4}
{'短评内容': '房间小了点。', '短评打分': 5}
{'短评内容': '地理位置好，离火车站近', '短评打分': 5}
{'短评内容': '不错，环境挺好，房间干净', '短评打分': 5}
{'短评内容': '位置不错，五楼比三楼好', '短评打分': 5}
{'短评内容': '不错方便', '短评打分': 5}
{'短评内容': '和图片差很多，以后不会再住了，今天选择太失败了。', '短评打分': 1}
