{'descr': '我无早餐', 'star': 4}
{'descr': '还行，设施太差', 'star': 3}
{'descr': '一般吧，很一般就是对得起这房价了，就那样吧，不好多说什么啊，总的来说就是一般，一般吧，很一般就是对得起这房价了，就那样吧，不好多说什么啊，总的来说就是一般，', 'star': 3}
{'descr': '很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。', 'star': 5}
{'descr': '算是奇葩，和连锁酒店没法比，态度还更牛！会议室要什么没什么。', 'star': 1}
{'descr': '设施可以，服务不错', 'star': 5}
{'descr': '房间没的设施实在太差，不想说了', 'star': 3}
{'descr': '选择住在这是位置离车站近，价格便宜。不过过程真的很曲折，到店居然说无房，不承认订单，最后还是携程解决的。卫生等条件一般般', 'star': 4}
{'descr': '还不错，挺干净舒适的，临近火车站也没有吵闹声，隔音很好，价格也不错，合计', 'star': 5}
{'descr': '很好服务态度好房间也好', 'star': 5}
{'descr': '临街，很容易看到，但也有点吵。前台搞错我的入住时间，好在能及时解决，不影响住宿。房间挺干净的，空调也可以，提供了电蚊香，一夜好眠。', 'star': 5}
{'descr': '条件还不错，周边的环境很便利，卫生情况也还好，可算物有所值。', 'star': 5}
{'descr': '还可以，卫生不错', 'star': 3}
{'descr': '位置好找，干净，就是发票是招待所的，不是宾馆的章，其他都还好！！！', 'star': 5}
{'descr': '火车站不远，位置很好，环境一般，这个价位也值得入住。', 'star': 5}
{'descr': '很好，物美价廉。有院内停车场，适合驾车旅游歇脚。', 'star': 5}
{'descr': '很干净，设备设施也很新，就是刚刚装修好，还有些味道需要清楚。', 'star': 5}
{'descr': '挺干净的，暖风很给力，性价比，值得入住。', 'star': 5}
{'descr': '先说优点：能住人，床铺是洗干净的，屋里没异味，上网速度快。\n再说问题：房间卫生清理很差，毛巾架上居然还有装修时留下的灰土，窗台上也是尘土，地板没拖过很久了，穿着拖鞋进浴室，浴室地板上全是黑泥。有饮水机，可惜灌的是自来水，还不如开水壶烧的，饮水机水桶口上全是污泥，没办法外买农夫山泉矿泉水喝。房间隔音太差，服务人员的对讲机声音随时可以听到很大声的信息。\n其实这种旅店在锦州算是好的了，部队的安全性好，比', 'star': 5}
{'descr': '经济实用，方便，周到。', 'star': 3}
{'descr': '离火车站很近，地理位置不错，有去笔架山的车，离客运站也近。是军队的宾馆，治安挺好，住的也踏实。一进房间，看床单像军队一样整齐，白；上网还挺快。主要是性价比不错，100块能住这样的条件的宾馆已经很少了。一楼的小超市方便，老板和老板娘人很好。', 'star': 5}
{'descr': '就是个小旅馆，不值！！！！！！！！！！！！！！！', 'star': 1}
{'descr': '交通便利屋子并不冷但是床单有些脏房间冷清提供送餐服务很不错', 'star': 5}
{'descr': '性价比还是不错的.很干净,地理位置很方便.', 'star': 5}
{'descr': '不像一个宾馆，倒像一个招待所，不好，态度还好了', 'star': 1}
{'descr': '非常好的酒店，离火车站很近 ，经济实惠，又很干净。下次还会选这家。', 'star': 5}
{'descr': '住进来了，挺好，不过我住这层没看见服务员，还得自己找房间。', 'star': 3}
