{'短评内容': '没有入住，服务态度很好。', '短评打分': 5}
{'短评内容': '服务态度很好，停水了，酒店另外的跟我们安排热水。', '短评打分': 5}
{'短评内容': '到武汉出差基本上就选它了，离我要去的地方近', '短评打分': 5}
{'短评内容': '住了挺好的环境好，服务好以后就他了', '短评打分': 5}
{'短评内容': '酒店设施都不错，就是附近好像在建设，不是很好找', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '很不错，房间很大', '短评打分': 5}
{'短评内容': '服务好！环境好！', '短评打分': 5}
{'短评内容': '我们是近70岁的上海老人，这次从越南，老挝，版纳，昆明一路旅行下来，顺便想去武汉看看，每次出去旅游，最怕就是能否找到价格亲民，房间干净，服务好的旅馆，我们从昆明飞到武汉，坐地铁到武昌火车站，当天雾霾严重，周边市容环境较差，我们先选择如家旅馆，由于旅馆大堂环境差，前台服务冷漠，所以选择了在千家街小巷里的绵江之星，一到店里，就感觉这是我们要选择的旅馆，价格亲民，前台服务佳，对旅客热情，尤其是前台服务员', '短评打分': 5}
{'短评内容': '酒店不错，武昌火车站A出口左边那条巷子进来就到酒店，设施不错，住的也舒服', '短评打分': 5}
{'短评内容': '酒店挺不错，挺干净，设施也好，距离地铁站很近', '短评打分': 5}
{'短评内容': '靠近火车站，交通比较方便，就是附近现在在施工。', '短评打分': 5}
{'短评内容': '交通方便，卫生，安全，服务周到。', '短评打分': 5}
{'短评内容': '条件不错！热情洋溢！', '短评打分': 5}
{'短评内容': '好。。。。', '短评打分': 5}
{'短评内容': '床很舒服，卫生也好，离武昌火车站很近！', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '酒店比较通透京东订房价格实惠', '短评打分': 5}
{'短评内容': '还可以挺好的', '短评打分': 5}
{'短评内容': '酒店离武昌火车站很近，在经济型酒店中性价比高，房间简单舒适卫生，18元的早餐很棒，服务也很好。如果到武汉还会住，推荐', '短评打分': 5}
{'短评内容': '不错！！！', '短评打分': 5}
{'短评内容': '酒店不错价格实惠比较安静老婆喜欢', '短评打分': 5}
{'短评内容': '地理位置优越，离火车站很近。是商业圈，旁边周围都是吃的，消费的东西。房间内干净整洁哦，房间比较大有窗户。下次来武昌还是住这家酒店，酒店。', '短评打分': 5}
{'短评内容': '挺不错的，离车站近！', '短评打分': 5}
{'短评内容': '还不错，挺好的', '短评打分': 5}
{'短评内容': '加盟店和直营店还是有区别的', '短评打分': 4}
{'短评内容': '环境、服务、价格都很好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很好，很满意', '短评打分': 5}
{'短评内容': '还不错哦，加油', '短评打分': 5}
{'短评内容': '很不错的酒店～ 离火车站非常近～ ', '短评打分': 5}
{'短评内容': '地點方便,火車站就在附近, 而且房間也蠻清潔的, 房間觀景是沒有的啦, 但價錢不貴, 各方面倒也不錯,值得下次再來', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '周边为待拆迁居民区，各种小饭馆，离武昌火车站比较近', '短评打分': 4}
{'短评内容': '环境好', '短评打分': 5}
{'短评内容': '出差都住这里，不错', '短评打分': 4}
