{'descr': '还行，还不错。', 'star': 4}
{'descr': '挺方便的，服务等都还是不错的', 'star': 5}
{'descr': '酒店不错', 'star': 3}
{'descr': '地理位置很好，交通也方便，与其它地方的莫泰不同，这家新，值得一住', 'star': 5}
{'descr': '地理位置很好，交通也方便，与其它地方的莫泰不同，这家新，值得一住', 'star': 5}
{'descr': '价格返利51不知道什么时候给！还不错！客户朋友住的。', 'star': 5}
{'descr': '酒店还不错.比较安静.周围交通方便.就是没早餐吃.不方便.', 'star': 5}
{'descr': '服务态度好，干净舒适，空调也好，早餐很丰富。', 'star': 5}
{'descr': '做汽车离开还可以，就是蚊子多了点，还没有预授权，我我事情办好了，却不能退，前台服务还是不错', 'star': 5}
{'descr': '酒店出行方便，交通便利，服务人员热情周到', 'star': 5}
{'descr': '还可以，蛮干净的，就是感觉门面小了点。。。', 'star': 5}
{'descr': '我网上订的是大床房的，但是到那儿应该给我的是特价大床房，房子里面有柱子（和特价大床房描述的一样），没按照我网上订的房间给房的！而且窗户坏的，打开的手一直拉着，一放手窗户就关上了的。很不满意。。。优点就是房间还算干净，定时打扫的。。。', 'star': 1}
{'descr': '订的商务大床房，房间干净温馨，落地窗很大，采光很好！', 'star': 3}
{'descr': ' 挺干净，就是小了点', 'star': 3}
{'descr': '各方面都不错 环境和服务很好 是我这次出差到目前住过最好的 唯一不好就是蚊子太多 ', 'star': 3}
{'descr': '不错，实惠。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '还不错，价格实惠。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '离西站很近 临街但不是很吵 房间很干净 下次去扬州还会选择这家店', 'star': 3}
{'descr': '感觉很不错，大床房还算舒适，服务很好，客房清扫员非常热情。下次还会选择', 'star': 3}
{'descr': '蛮好的，房间向阳，网速很快，床什么的都很整洁。', 'star': 5}
{'descr': '酒店很干净 也有无线信号 就是两次住的房间都不是很大', 'star': 5}
{'descr': '酒店很干净.前台服务很好..周围交通方便.酒店没有早餐供应.', 'star': 5}
{'descr': '简洁、干净、舒适、服务好，停车也很方便。', 'star': 5}
{'descr': '房间蛮小的，感觉有些挤，但是还算温馨，性价比还行', 'star': 5}
{'descr': '很好的快捷酒店，交通便利，吃饭也很方便。下次还会入住。', 'star': 5}
{'descr': '还不错...被套是田园风格的小碎花，很温馨', 'star': 5}
{'descr': '房间大 有面镜子是意外之喜 就是洗手间下水道好像堵了 比较安静比较方便 离汽车站相当近 早上起来出门去汽车站还有好吃的早餐买', 'star': 5}
{'descr': '房间与卫生间太小，秀气性不好！！！周围环境一般，不过离超市不太远，没找到那种小吃广场！！', 'star': 1}
{'descr': '一直比较喜欢莫泰，虽然这次房间位于马路那侧，对于睡觉轻的人来说有些吵，但旅途劳累后，我是一觉到天亮。价格也算实惠吧，在扬州汽车西站旁边，出行还是很方便的。总之，推荐了。', 'star': 5}
{'descr': '房间小，其它还行', 'star': 3}
{'descr': '莫泰不错啊。有免费电话打。房间也很精致。只是附近吃饭不怎么方便。有间莫泰小厨但是东西不怎么样啊。最难过的是没早餐。', 'star': 5}
{'descr': '此酒店位置很好，房间也很干净，下次还会选择入住。', 'star': 3}
{'descr': '干净整洁、但热水有点慢，环境很好，地理位置优越！', 'star': 5}
{'descr': '干净整洁，服务员大都不错。洗澡水热的慢一点，但洗澡水还是蛮大的。就是空调好像不是很给力。总的来说是不错的！', 'star': 5}
{'descr': '环境OK', 'star': 3}
{'descr': '很精致 不错！ 可以用wifi，去南京路、外滩也很方便。', 'star': 5}
{'descr': '为么每次都空调不给力啊，半夜又美丽冻人了。晕死，其它还好。下次还是换地方了。', 'star': 1}
{'descr': '大厅也太小了点，房间还行，就是有点小，交通不是很便利。', 'star': 1}
{'descr': '位置还可以，交通也方便，就是没早餐！是外包的，隔壁面馆面还不错！', 'star': 5}
{'descr': '位置不错，空调不行，半夜冻醒人没商量.非要说点什么的话，那就是还行', 'star': 5}
{'descr': '位置还好，可是热水不热，不敢洗澡；空调也不热，屋里较冷。不太满意！', 'star': 1}
{'descr': '环境不错', 'star': 3}
{'descr': '环境舒适 很不错的', 'star': 3}
{'descr': '比较干净，舒适，就是电视机小了一些，是一个电脑显示屏', 'star': 5}
{'descr': '酒店不错舒适，下次还去，就是有点地方油漆脱落了', 'star': 5}
{'descr': '就是168有的风格和环境，价位在那里。\n只是这个墙的隔音太差，个别的风花雪月的情节，想不听都难。\n', 'star': 5}
{'descr': '换不错，性价比还可以。值得推荐入住。前台态度挺好的', 'star': 5}
{'descr': '都还不错。打扫卫生的阿姨人很好。浴室地漏不通，她叫人过来弄好的。空调也不错。冬天住的，很强劲。', 'star': 5}
{'descr': '价格便宜 地理位置还行。。楼下有个便利店，168设施齐全。色调也不错', 'star': 5}
{'descr': '很干净,服务态度很不错。给人感觉很好 下次还会入住', 'star': 5}
{'descr': '挺精致的房间，设备齐全，环境也好，电视很给力，床铺也不错', 'star': 5}
{'descr': '挺好的，离西站近，价格适中，以后还会考虑的', 'star': 5}
{'descr': '很好哇，下次就固定住这家了，哈哈哈。。。强烈推荐', 'star': 5}
{'descr': '干净，卫生，隔音效果一般，交通方便，很好', 'star': 5}
{'descr': '还不错~~~~~~~~~~~~~~~~~~~~~', 'star': 5}
{'descr': '坏境很好，房间大，住的舒服。很满意。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '环境不错，房间内布置也不错，就是热水器的水太冷了，几乎是冷水澡，洗了好长时间才变热。', 'star': 3}
{'descr': '非常干净，卫生间非常大，但房间有点小，里面还有柱子等，但总体来说按照该价位，蛮实惠的。', 'star': 5}
{'descr': '隔音不好,其他都行,离车站近,方便啊!下次如果路过,还会考虑住这里!', 'star': 5}
{'descr': '貌似是莫泰的新店，但装修不算新，地点有点点难找，据说GPS上没这个点，和同事分别住的都是商务大床房，房内还是比较整洁的，基本的都差不多，但就是隔音不尽如人意，可能本身价格还算优惠，带早餐（但东西比较简单，吃饱是没问题）……总之，一般，今后再来可能还会考虑……', 'star': 5}
{'descr': '網路有點不好連線，早餐待加強，只是休息一晚尚可!', 'star': 5}
{'descr': '网络连接不是很顺，早餐有待加強，豆漿稀的可以，看似橙汁的东西喝了一口，味道怪怪的根本不是橙汁。其他环境算乾淨!', 'star': 5}
{'descr': '蛮干净 感觉比市中心的莫泰要好 但是厕所总有一股味道 希望可以得到解决', 'star': 5}
{'descr': '不错房间很好，落地窗设计我很喜欢。', 'star': 3}
{'descr': 'OK.落地窗很喜欢、就是房间隔音不是很好。', 'star': 5}
{'descr': '还不错，性价比比较高，离西站比较近，比较方便呀', 'star': 5}
{'descr': '不错，服务也还好   可以考虑的 。。。。。。。。。。。。。。', 'star': 5}
{'descr': '除了有点小   隔音不是很好   其他还是不错的  ', 'star': 5}
{'descr': '环境不错…距离西站很近。出门也很方便', 'star': 3}
{'descr': '非常的好，房间特别干净，设计很有感觉，交通很方便，最好的是淋浴头很大很舒服', 'star': 5}
{'descr': '还好   价格还是比较便宜的  就是有点偏了\n', 'star': 5}
{'descr': '房间还不错！设备也都挺好的！不错！', 'star': 3}
{'descr': '麻雀虽小 五脏俱全 很整洁 很经济', 'star': 3}
{'descr': '不错，。性价比挺高地，可以入住，呵呵。。。。。', 'star': 5}
{'descr': '邗江中路的莫泰，环境很好，卫生干净，印象真的很好，而且设施齐全。', 'star': 3}
{'descr': '还不错，第三次住了。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '房间不错，被子也很舒服。', 'star': 3}
{'descr': '很好', 'star': 3}
{'descr': '跟其他的MOTEL差不多，就是感觉房间小了点', 'star': 5}
{'descr': '价格到位，服务热情，配套也不错，就是靠马路的一边有点吵', 'star': 5}
{'descr': '还算干净，，就是位置有点偏，还有就是空间 太小了', 'star': 5}
{'descr': '8错', 'star': 3}
