{'短评内容': '性价比不错，装修有点破旧！', '短评打分': 5}
{'短评内容': '酒店环境不错，设施太老，报修挺及时，服务态度不错，很淳朴，是县城中心位置，很方便，夏季出游的好住处。', '短评打分': 4}
{'短评内容': '酒店还可以，地理位置不错，比较便利，硬件设施一般，性价比可以，房间不大，但是很暖和，酒店外围面积很大，夏季应该是一个避暑旅游胜地，推荐。', '短评打分': 5}
{'短评内容': '酒店地理位置不错，设施老化，交通便利，服务态度不错。', '短评打分': 4}
{'短评内容': '酒店位置不错，城区中心，去哪都方便。应该是老酒店了，设备实施有些老化，但卫生还不错，服务员态度很有亲和力，可以推荐！', '短评打分': 5}
{'短评内容': '房间卫生很干净，周边环境好，方便出行。服务好，温泉也非常不错，早餐种类多，味道好。是一次愉快的住宿！', '短评打分': 5}
{'短评内容': '这是骗人的，酒店压根不知道京东这个', '短评打分': 5}
{'短评内容': '老酒店了，价格跟设施真有点不搭配，性价比太低！', '短评打分': 3}
{'短评内容': '冬天里感觉春天般的温暖！', '短评打分': 5}
{'短评内容': '冬天里感觉春天般的温暖！', '短评打分': 5}
{'短评内容': '冬天里感觉春天温暖。', '短评打分': 5}
{'短评内容': '总体服务很满意，价格有些贵，设施太差了，太老旧，不符合星级标准，以后不会再去住了，太失望了，不会去了，太差', '短评打分': 4}
{'短评内容': '环境优美，交通方便 ，安静舒适。毛巾需要改善', '短评打分': 5}
{'短评内容': '发现很多旅行网和团购网打的广告：某某酒店四星级五星级超便宜，其实猫腻就在此，这样的酒店一般主楼符合星级，实际卖你的就是低配的附属楼，哈哈，上了两次当就明白了，以后还是选择品牌快捷酒店靠谱。', '短评打分': 3}
{'短评内容': '酒店挺大，但没有服务，入住时楼道灯都没开，房间服务床没人收拾，浴室下水堵了，早上洗澡水不热，下次如果去延庆住快捷酒店。', '短评打分': 3}
{'短评内容': '感觉还不如速八和7天', '短评打分': 3}
{'短评内容': '怎一个脏字了得，还有就是服务超级差！所有B座客房，在屋内都很难打开门！服了！总之不会再来了，别人也别来！花钱找罪受。。。一会儿温泉要是再不怎么样。。。就特么白瞎了！', '短评打分': 1}
{'短评内容': '住过去的最差的＂四星＂酒店！单从规模来看，确实能达到四星。房间顶多就2星了！房间非常小，又旧又破！椅子直接卡在床和墙之间，怎么座人？弱智布置！性价比非常低！', '短评打分': 1}
{'短评内容': '不错的酒店。推荐入住。就是楼宇之间缺少照明与指示牌。', '短评打分': 5}
{'短评内容': '设备旧不值', '短评打分': 3}
{'短评内容': '提供服务很不错！oK', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '条件一般', '短评打分': 3}
{'短评内容': '我住在b204房间，圣世苑温泉大酒店的卫生保洁员礼貌待客，认真的工作态度让我印象深刻，但是房间的门锁不太好。b座一楼大厅的樟木雕刻味道清新提神。', '短评打分': 5}
{'短评内容': '整洁，虽然比之四星同级比较老旧。温泉比较不值，不推荐。', '短评打分': 5}
{'短评内容': '酒店一般,性价比不好,设备老化失修.\r\n', '短评打分': 3}
{'短评内容': '酒店环境一般 洗澡水很舒服 价位和酒店条件不相附 望提高服务质量', '短评打分': 3}
{'短评内容': '北京圣世苑温泉大酒店(延庆-县城)，五星的价格，三星的配套设施及服务。房间不干净，还挺冷。温泉宫象县城的澡堂，价格还挺高。', '短评打分': 3}
{'短评内容': '不太满意，设施很旧，应该不会再去了，但大概延庆也就如此了', '短评打分': 1}
{'短评内容': '酒店是挂牌四星，但设施实在太一般了。而且比较让人生气的地方是网上预订时写明是免费宽带，但入住时给安排的房间根本没有宽带设施，经咨询说是只有B座有，但是因为已经客满没法给我们安排。既然没有这样的设施，就不应该这样介绍。还有就是令人生气的是，我们预订时的价格是2天均价每天415元，入住时总台说价格不对，春节期间都是每间450元，鉴于我们好几家出行老的老小的小，大过节的懒得为百十元钱生气，也就算了。但我', '短评打分': 1}
{'短评内容': '网上订一定是较差的标间，在离门最远的C座。', '短评打分': 3}
{'短评内容': '\n酒店条件总体不错', '短评打分': 5}
{'短评内容': '酒店距离919长途汽车站较近，房间和卫生间的卫生条件不错，打扫的很干净，位置不错，购物方便，附近还有个广场，房间隔音效果也不错', '短评打分': 5}
{'短评内容': '价格高，感觉很一般的酒店，酒店是四星级的，但感觉真没有达到四星酒店的标准，下次不会住了。', '短评打分': 1}
{'短评内容': '都挺好，就是价格偏高点。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '感觉不错，值得推荐一下，但房间有点旧，电视也比较差，很多频道都没有，淋浴也不太好，但总体来说，度个周末，放松一下，还是不错的。', '短评打分': 5}
{'短评内容': '酒店分好几个座，住的后面的老楼装修还行，入住时因为是夏天，感觉很潮湿，总体感觉一般', '短评打分': 5}
{'短评内容': '把很大一部分成本花在大理石上，忽略了其他设施和服务。', '短评打分': 1}
{'短评内容': '住标准间，380元，设备陈旧，尤其是洗手间狭小，电视很老，好像是20年前的。', '短评打分': 5}
{'短评内容': '是家不错的休闲度假的酒店，玉石的装修很富丽堂皇，酒店周遍也有旅游景区便利', '短评打分': 5}
{'短评内容': '人非常多，很多订单，说明口碑比较好，春节期间还有好多临时来的。&lt;br /&gt;\n房间比想象的好，比较干净，也比较大。各个楼尽管标准有些差别，总体都还不错。&lt;br /&gt;\n&lt;br /&gt;\n就是住了一晚发现风机盘管坏了，只能换了一间。&lt;br /&gt;\n&lt;br /&gt;\n又发现各个楼的电视节目不一样。有的已经上了VOD，有的就没有。&lt;br /&gt;\n&', '短评打分': 3}
