{'短评内容': '方便好找', '短评打分': 4}
{'短评内容': '房间挺干净的，深夜入住，前台服务很不错，位置也好找，停车方便，离温泉区不远。', '短评打分': 5}
{'短评内容': '挺好找的', '短评打分': 5}
{'短评内容': '周围环境还好，就是房间实在太小了，', '短评打分': 4}
{'短评内容': '太差了。空调机器就装在头上，要是那个吵呀。。。。太离谱了，完全没法睡。。。。。这个汉庭真是差。不是一般的差，，，，连个一次性的剃须刀都没有，太稀烂了', '短评打分': 1}
{'短评内容': '住起来方便舒服。', '短评打分': 5}
{'短评内容': '商务出差住在这里，还好，挺方便的，主要是因为出差……旁边吃喝都有，离火车站也比较进，出门的士比较好拦，到哪里都很方便！环境还可以吧，总体还不错！', '短评打分': 5}
{'短评内容': '酒店还可以，干净卫生', '短评打分': 4}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '相当不错，价格便宜，地址方便，值得推荐', '短评打分': 4}
{'短评内容': '卫生挺好的，周边环境也方便，吃的，交通都可以。', '短评打分': 5}
{'短评内容': '那时候算很不错了，毕竟全国连锁', '短评打分': 5}
{'短评内容': '离火车站近，很方便，有安全感。楼下有些吵', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '交通很方便，服务周到！', '短评打分': 4}
{'短评内容': '很不错的酒店', '短评打分': 5}
