{'短评内容': '房间挺干净的，床很大，也舒服，服务很好，是出差人的必选。', '短评打分': 3}
{'短评内容': '活动期间，价格挺便宜的，如果在遇到这种价格还会考虑', '短评打分': 5}
{'短评内容': '酒店比较干净，价格相当带劲，只有99元，超乎想象，超值超实惠！呵呵，好像给汉庭做广告一样，呵呵！不过确实挺划算', '短评打分': 5}
{'短评内容': '很满意 很干净 很值这个价钱', '短评打分': 3}
{'短评内容': '位置离火车站很近，前台服务很不错，房间干净，套房的小房间可惜没电视也没空调。总体来说值得入住。', '短评打分': 5}
{'短评内容': '地址很好找  很醒目  服务也很周到   唯一美中不足的是隔壁就是KTV   晚上睡觉的时候收到很大的影响', '短评打分': 5}
{'短评内容': '，不错，很满意', '短评打分': 3}
{'短评内容': '我很满意，不管是环境，还是服务，缺点就是服务台旁边的售货机东西有点贵，餐厅有点小，不过早餐还是很丰富，可惜没有地方特色的煎饼，小遗憾！', '短评打分': 5}
{'短评内容': '卫生、设施都很不错，离火车站近，早餐还可以，服务更贴心。以后首选！去感受一下', '短评打分': 3}
{'短评内容': '宾馆挺真的很干净，主要是服务质量很好！…设施也不错对的起这个价钱！！', '短评打分': 3}
{'短评内容': '价格实惠，卫生也可以。总体不错。是个好选择。\n\n', '短评打分': 5}
