{'短评内容': '环境卫生都比较差', '短评打分': 2}
{'短评内容': '这真的是我住过最差的宾馆了，房间里灰尘一大堆。电器应该很久没用了，全部是罢工的。空调开始没法使用，后来叫保安过来开启，但声音大的没法睡，只好又给关掉。', '短评打分': 2}
{'短评内容': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '在市区价格算便宜的了，家庭出游，还可以了。', '短评打分': 5}
{'短评内容': '酒店很好，原来应该是绍兴宾馆改的过来，随便住住还可以。', '短评打分': 5}
{'短评内容': '房间比较旧 前台服务好', '短评打分': 4}
{'短评内容': '环境还可以', '短评打分': 5}
{'短评内容': '很一般，有点差.', '短评打分': 3}
{'短评内容': '总体不错，很喜欢，交通便利。房间很大，同比三人房，这家大多了便利店', '短评打分': 5}
{'短评内容': '房间还好，设备有点陈旧，前台人员热情，总体不错。', '短评打分': 3}
{'短评内容': '还行吧！去了以后就知道了。', '短评打分': 3}
{'短评内容': '一股霉味，设施陈旧，预定混乱。退押金还给的是假钱！', '短评打分': 1}
{'短评内容': '一股霉味，设施陈旧。退押金还给的是假钱！', '短评打分': 1}
{'短评内容': '房间，卫生非常非常差，根本没有提供瓶装水却想收钱。', '短评打分': 3}
