{'短评内容': '价廉物美，停车方便，下次还住。', '短评打分': 5}
{'短评内容': '下次再来 还会选择这里', '短评打分': 5}
{'短评内容': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的', '短评打分': 5}
{'短评内容': '有停车场，环境还可以了。早餐不行。', '短评打分': 5}
{'短评内容': '非常不错的房间，性价比高，早餐一般', '短评打分': 4}
{'短评内容': '很多人写评论看着真无语，实话在这个什么都离不开WiFi的年代，评论里居然都不写WiFi网速快不快，大晚上光看电视和女票谈人生不看个片吗，实话这家店网速OK。唯一的缺点空调不受控制，秋天睡到半夜刚开始开的制热太热了，后来改制冷模式16摄氏度均衡一下室温，结果开了半小时制冷吹出来的居然是热风，确认没开错模式，这一晚上给我热的呀，还有一点就是凌晨三点隐隐约约听见隔壁打呼噜的声音，当然还不是很影响睡觉，就', '短评打分': 5}
{'短评内容': '除了空调暂时不能用，别的都很好，很棒。666', '短评打分': 5}
{'短评内容': '睡的还算舒服', '短评打分': 3}
{'短评内容': '住的还是比较舒服', '短评打分': 3}
{'短评内容': '洒店环境可以，交通放便，周边食店较多选择。', '短评打分': 4}
{'短评内容': '太陈旧了，总台多收毛巾费。', '短评打分': 2}
{'短评内容': '太陈旧了', '短评打分': 3}
{'短评内容': '安静 说最近在装修 下周搞好 整体还可以', '短评打分': 5}
{'短评内容': '环境可以，价格公道，交通方便。', '短评打分': 5}
{'短评内容': '一般般，虽然不怎么样，不过对的起这个价位，按照价格来说已经不错了', '短评打分': 2}
{'短评内容': '看得出来过去可能是不错的酒店，但现在太旧了，包括大堂在内有一股霉味甚至感觉不到有服务人员的存在，刚进去还以为已经停业了', '短评打分': 1}
{'短评内容': '第二次入住。感觉依然不错。。。。。。。。', '短评打分': 5}
{'短评内容': '舒适干净.服务态度好。。房间环境好。。整体效果满意度高', '短评打分': 5}
{'短评内容': '比较安静，交通也比较便利，前台服务也比较，退房比较快！！！', '短评打分': 5}
{'短评内容': '酒店还不错', '短评打分': 3}
{'短评内容': '网络不好，经常掉线，另外，早餐太垃圾了，晚去一点都没吃的东西了！！！！！！\n不过，唯一方便的是就是比较靠近超市，周边还有几个吃饭的地方！！！', '短评打分': 1}
{'短评内容': '还不错~就是门口那个广很闹啊~太吵了有点影响休息~整体还是不错的·，，，，。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '位置还不错，吃饭比较方便！！！ 房间也比较大！！！', '短评打分': 5}
