{'短评内容': '还不错，房间很大。', '短评打分': 4}
{'短评内容': '房间大，就是大堂不好找', '短评打分': 4}
{'短评内容': '没什么感觉，一般', '短评打分': 3}
{'短评内容': '好不错，推荐', '短评打分': 5}
{'短评内容': '前台服务感觉：像欠了她钱一样。态度不好说话生硬。洗澡水不大，不能洗时间长，后面就是冷水了。房间卫生一般，硬件都一样，这栋楼里有很多家这样的服务酒店。', '短评打分': 3}
{'短评内容': '挺不错的一个酒店，一个多去入住就是手机信号不好', '短评打分': 5}
{'短评内容': '第一次选择酒店公寓，选择正确，一家人坐最合适，住33层，可望见珠江和海心沙，房间有三只床，2只150，1只180，去海心沙 公园只需过一条地下通道再接一条天桥就到。酒店旁边拐弯路边有一些酒吧，鬼佬不少，是喝啤酒的好地方。', '短评打分': 5}
{'短评内容': '装修比较新，环境卫生，交通方便.........', '短评打分': 5}
{'短评内容': '环境不错，服务很到位。靠近地铁。', '短评打分': 3}
{'短评内容': '在珠江新城能住上这样的酒店算不错了，很新很安静，但绝对不是诸君所想象的公寓价格。地方还不是很好找。', '短评打分': 5}
{'短评内容': '在广州珠江新城找到这样的地方算不错了，很新很安静。但绝对不是诸位想象的公寓价钱。周边普通吃饭喝茶的地方基本没有。', '短评打分': 5}
{'短评内容': '酒店水温不稳定，手机信号也不稳定…其它不错！订的时候以为可以看到广州塔海心沙的夜景…原来还有点距离…有些小失望！', '短评打分': 3}
{'短评内容': '环境很好 室内很干净但外面有施工有点遗憾', '短评打分': 3}
{'短评内容': '环境不错 服务也很好，入住时有人在楼下迎接', '短评打分': 3}
{'短评内容': '房間很大,很好,距離地鐵只需行5至10分鐘,\n床單都乾淨,服務人員都很好,\n周邊環境雖然有地盤工程進行,但不嘈雜,\n行去海參沙(即近ifc)都好方便,約10至15分鐘就行到過去,\n非常適合一家大細入住,\n但是......\n廁所浴缸有頭髮同少少污漬,我地自行清理好,\n白毛巾有點污漬,\n沖涼水壓不足,實在太弱了,\n床褥太硬,\n沒有無線網絡提供,\n因為只是開業了約數個月,基本上,上述的問題我是可以理解,', '短评打分': 5}
