{'短评内容': '房间有异味，房间很大，可以看到烈士公园和博物馆', '短评打分': 5}
{'短评内容': '酒店还行、出差旅行低价酒店中算是很好的咯。', '短评打分': 5}
{'短评内容': '服务好周到', '短评打分': 5}
{'短评内容': '还不错，交通便利', '短评打分': 5}
{'短评内容': '交通方便，在市中心', '短评打分': 5}
{'短评内容': '环境好，地址好。', '短评打分': 5}
{'短评内容': '非常不错的入住体验，环境可以，服务很棒。', '短评打分': 5}
{'短评内容': 'OK好快棒棒哦', '短评打分': 5}
{'短评内容': '离市中心很近，前台服务特别好，卫生很干净，值得推荐', '短评打分': 5}
{'短评内容': '下地铁后，不太好找，酒店设施不齐全', '短评打分': 4}
{'短评内容': '订这个房间主要是离地铁口比较近，走对路的话两三分钟就可以到，然后进来服务也很热情，房间的设施挺不错，网络可以，电视是点播的，卫生也挺干净！', '短评打分': 5}
{'短评内容': '\ue022选择这家店是因为离地铁口比较方便，走路差不多两三分钟就可以，然后进来服务很热情，房间的设施也不错，电视是网络的，可以点播，卫生也挺干净！五星好评！', '短评打分': 5}
{'短评内容': '首先说有点，离地铁站近，出行方便。房价便宜，划算。除了没牙膏其他都有。缺点 房型不好 窗户锁坏了 旁边有个垃圾处理站和公共厕所 看着不舒服', '短评打分': 4}
{'短评内容': '周边环境还好，也比较好找，但是店比较旧了', '短评打分': 4}
{'短评内容': '不错，环境很好，前台的服务很周到，携程客服更是热心周到。', '短评打分': 5}
{'短评内容': '酒店环境一般，设备比较旧', '短评打分': 2}
{'短评内容': '交通方便  环境还行', '短评打分': 5}
{'短评内容': '交通比较方便，门口有地铁，4号口出！', '短评打分': 4}
