{'短评内容': '代人预订', '短评打分': 5}
{'短评内容': '床很大，房间宽敞', '短评打分': 4}
{'短评内容': '床很大，房间宽敞', '短评打分': 4}
{'短评内容': '位置不错，边上就是九洲城', '短评打分': 4}
{'短评内容': '早歺一般，品种较少', '短评打分': 4}
{'短评内容': '很奇芭的事情!我们4个女，订了2间房，进入时放在玻璃上层食物及避孕套无动过，走时告知我们拆封了，原来进入时已这样，经投诉才免收，大家要小心!第一个标准的哦，第二图就要交钱了，入房间时要看清楚!!!旁边有点吵，每晚11点就开机械!', '短评打分': 4}
{'短评内容': '环境不错，就是房内设施偏旧', '短评打分': 4}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '酒店还行。但携程单方面取消订单，还说noshow扣积分。也是醉了。', '短评打分': 4}
{'短评内容': '酒店还行。但携程单方面取消订单，还说noshow扣积分。也是醉了。', '短评打分': 4}
{'短评内容': '市中心，周围商业多，步行', '短评打分': 3}
{'短评内容': '还不错。房间大，不过浴室有点旧', '短评打分': 3}
{'短评内容': '房间很大很宽敞，整洁干净', '短评打分': 3}
{'短评内容': '位置好，老酒店了，有点旧，但房间很大，性价比还好。', '短评打分': 4}
{'短评内容': '差，房间旧的，不推荐', '短评打分': 3}
{'短评内容': '地理位置挺好，周围吃饭也比较方便。距离免税商场不太远', '短评打分': 5}
{'短评内容': '房间大，陈旧', '短评打分': 3}
{'短评内容': '房间好大，无异味，热水水量大，洗澡特舒服，但价格偏高了一点', '短评打分': 5}
{'短评内容': '酒店离关闸有点小远。由于是元旦假期，在拱北基本打不到出租车，最后不得不转了两趟公交车才到达酒店附近的免税商场。我们住的是带独立桑拿的房间，很宽敞的浴室，但没有浴缸。桑拿房比较小，勉强坐得下两个人，桑拿开关在控制室里，要用时得打电话叫服务员开，每次持续大概2小时。床和枕头都比较硬。除此之外，酒店的服务态度不错，房间很整洁，周围环境很安静。如果只在珠海游玩不去澳门的话比较值得推荐。', '短评打分': 5}
{'短评内容': '房间不错，足够大，卫生条件也不错，位置在吉大，就是距关闸稍远。如果去澳门，还是尽量住关闸附近为好。', '短评打分': 5}
{'短评内容': '房间很大，属于老式装修，还算干净，电视是老式的，出门一分钟就到吉大免税商店，打车到拱北口岸需要17元左右，有点远，如果想在珠海逛免税店，看看海的可以住在这里，如果想直接去澳门的话，有些远~', '短评打分': 5}
{'短评内容': '?????????????????????????????????????????????????????????????', '短评打分': 5}
{'短评内容': '?????????????????????????????????????????????????????????????????', '短评打分': 5}
{'短评内容': '房間夠大，衛生ok，但服務員曾承諾過能安排兩間房在對面或旁邊，按金都預繳了，但最後竟然說排房時忘記了！！兩間房在頭一尾,很遠啊！', '短评打分': 5}
{'短评内容': '地理位置不错，离渔女、浴场啥的都很近。房间也确实很大，设施很齐全，就是电视太老旧了。晚上关上灯拉上窗帘房间里黑咕隆咚的。', '短评打分': 5}
{'短评内容': '价格比价实惠，位置相对来说也比较便利，但是房间太简单了，比较大', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '好哈哈哈哈哈哈哈哈哈飞哈哈哈哈飞哈哈哈哈飞', '短评打分': 5}
{'短评内容': '房间挺大蛮干净。交通饮食都很方便。距离百货很近。购物便捷。', '短评打分': 5}
{'短评内容': '房间挺大，也干净，洗手间也可以，就是床太硬，床单等床上用品非常一般，睡着不舒服。这点大打折扣。', '短评打分': 5}
{'短评内容': '房间很大又干净，交通方便很容易找', '短评打分': 3}
{'短评内容': '位置不错，性价比高。超出期望。\n距离九洲城近，步行可达。', '短评打分': 5}
{'短评内容': ' 干净方便', '短评打分': 3}
{'短评内容': '酒店房間比較大舒適清潔交通方便。唯一早餐比較簡單沒有什麼好食', '短评打分': 5}
{'短评内容': '很好很好很好很好很好很好很好很好很好很好很好很好', '短评打分': 5}
{'短评内容': '酒店房間比較大舒適清潔交通方便。唯一早餐比較簡單沒有什麼好食！', '短评打分': 5}
{'短评内容': '超赞的酒店，房间大大的好中意，就系早餐有些太将就了，某乜食咖，希望加多滴野食喽', '短评打分': 5}
{'短评内容': '环境还好，而且离海滨公园很近，只是早餐有点单调', '短评打分': 5}
{'短评内容': '总体来说不错，环境挺赶紧的，服务态度也挺好的，值得推荐', '短评打分': 5}
{'短评内容': '因为要到附件办事，所以选择该酒店。该酒店性价比还不错，就是早餐品牌太单调了。', '短评打分': 5}
{'短评内容': '很一般 主要价格也摆在这 虽然是恒富阳光同一集团 但和恒富阳光会所就相差太远  不过价格上也相差一半 所以也没什么可值得挑剔', '短评打分': 1}
{'短评内容': '下次來還會住這個酒店,地方寬敞,獨立桑拿,超正,價格也合理,周邊環境很方便,衣食住行樣樣齊,下次一定會再入住.', '短评打分': 5}
{'短评内容': '房间挺大的，设施挺好，热水质量也不错，用着挺舒适，停车也挺方便。', '短评打分': 5}
{'短评内容': '酒店挺挺干净卫生，设施还好，如果能提供电脑就更好了，服务上挺周到的。', '短评打分': 3}
{'短评内容': '地毯挺软和，踩着挺舒服，服务态度挺热情的，位置挺好，离海边挺近，离机场也不远。', '短评打分': 5}
{'短评内容': '卫生很好，每天都及时打扫，服务态度也挺不错，周边出行也还算方便。', '短评打分': 3}
{'短评内容': '房间还好，设施挺齐全，住的还算舒适，离机场挺近。', '短评打分': 3}
{'短评内容': '房间挺宽敞挺舒适，停车场设计也挺好，管理也挺严，停车挺放心的，价格也挺合理的。', '短评打分': 5}
{'短评内容': '房间布置还算合理，卫生打扫的挺好，隔音效果也不错，住的挺舒适。', '短评打分': 5}
{'短评内容': '我觉得这家酒店比连锁形式好多了，设施家具挺不错，早餐也挺丰盛。', '短评打分': 5}
{'短评内容': '这家酒店挺安静也挺干净的，在这睡眠质量挺好的。', '短评打分': 5}
{'短评内容': '酒店离机场挺近的，赶飞机还是挺方便的。', '短评打分': 3}
