{'短评内容': '环境挺好，服务周到，下次再光顾！！', '短评打分': 5}
{'短评内容': '挺好的，房间挺大。', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '交通便利，干净卫生，服务态度好，每天有免费早餐', '短评打分': 5}
{'短评内容': '前台服务很好 值得推荐', '短评打分': 5}
{'短评内容': '不好。', '短评打分': 1}
{'短评内容': '棋牌室超赞', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '酒店周边环境太差了，室内也很潮湿', '短评打分': 3}
{'短评内容': '朋友没有来上海 白定了 浪费了118圆', '短评打分': 4}
{'短评内容': '交通还算方便，但是572路要等很久才有一班，去市区最近的地铁站就是浦三路了，在浦东活动还是不错的。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '新房间不错，主要是服务人员态度好，离总公司近，以后出差还会住这的，当然，要是有早饭就更好了', '短评打分': 3}
{'短评内容': '住了好久了忘了评论了 没记错 当时去的那天马桶是坏的', '短评打分': 3}
