{'descr': '房间干净整洁，周边也比较便利。', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '蛮好的 住了几次了', 'star': 5}
{'descr': '好好好好好好好好好好好好好好好', 'star': 5}
{'descr': '就那样吧，住进去是国庆的时候，都知道会暴涨，所以提前预定了，住的时候说查不到，怎么弄都说没有，都跟前台吵起来了，最后弄了很久找携程客服才协调好了，根本就是国庆想留点房间坐等涨价不想承认我们这些提前预定的，而且在当时根本就不止我一个遇到这个情况，别的来的人也是这样，钱都付了，竟然说没有我这个人，不知道的人还以为我无理取闹，这酒店真的很黑，而且上午住，下午酒店就把酒店名换了，换成了叫“宿适酒店”，我说', 'star': 3}
{'descr': '出差入住！干净', 'star': 4}
{'descr': '干净整洁，附近的吃饭方便，交通便利', 'star': 5}
{'descr': '中低价位的选择', 'star': 3}
{'descr': '酒店设施马马虎虎将就一下是还可以，服务员态度是一级棒', 'star': 4}
{'descr': '周围吃饭很方便', 'star': 4}
{'descr': '出差很方便', 'star': 3}
{'descr': '酒店很舒适，入住的两晚旁边餐馆噪音很大。', 'star': 5}
{'descr': '不错地方很方便', 'star': 4}
{'descr': '空调风声如台风，电视机跟电脑一样小，遥控板不灵光，吸顶灯有个洞，隔音效果差。停车位差。', 'star': 2}
{'descr': '酒店的设施和价格在徐家汇地区来说性价比很高。作为连锁品牌酒店，服务标准化管理，客房也很干净。加之周边餐饮和交通都很方便，无论商务还是出游都是很不错的选择', 'star': 4}
{'descr': '环境优雅，交通方便，经济实惠。适合旅游，商务住宿。', 'star': 5}
{'descr': '位置比较好，干净便宜。挺好的！', 'star': 5}
{'descr': '楼下就有很多小吃，吃饭挺方便，距离地铁口有些远', 'star': 4}
{'descr': '蛮好的', 'star': 5}
{'descr': '离医院近，超方便！\n定的是双人房，给的是单人房，很不爽啊！\n总结是位置优越，环境一般，服务有待改进', 'star': 5}
{'descr': '房间设置不合理，两个房间的窗对着。设施太陈旧了', 'star': 1}
{'descr': '交通方便，环境整洁，服务人员服务周到热情。', 'star': 5}
{'descr': '出差，离公司很近，走路5分钟就到，周围交通非常方便，餐厅，小食店都很多，糕点店，便利店一家挨着一家，房间还行', 'star': 5}
{'descr': '酒店位置很好，交通和餐饮都很方便，前台和服务员热情周到，下次会再来住！', 'star': 3}
{'descr': '同事去参加展会，帮忙同事订的。回来反应还不错，以后再参加会考虑继续订这家。', 'star': 5}
{'descr': '这是我自工作以来住到过的最差的店。隔音不好，周围环境差，嘈杂。', 'star': 1}
{'descr': '环境还好，就是隔音效果太差', 'star': 3}
{'descr': '设施还可以，就是说好保留到22点的，我们到的时候居然说没有了，后来协商才住进去', 'star': 5}
{'descr': '空调不是给力，其他都还可以,,,不过这个酒店貌似是其他酒店倒闭了，直接转手过来的\n！！', 'star': 5}
{'descr': '酒店前台很热情，房间很温馨，只是浴室喷头不太好，时热时冷的，总的来说，还是不错的', 'star': 5}
{'descr': '特价房没有窗户，隔音非常差，前台的钟表报时声音很吵，还推说没有特价房源了，服务态度一般。', 'star': 1}
{'descr': '房间挺干净的，小有一点味道，开窗通风后就好了，其他都还好', 'star': 5}
{'descr': '设施有点破，热水出水不稳，热的时候有点烫，冷的时候很凉。床有点小。不过这个价位还是蛮不错的。', 'star': 5}
{'descr': '大床房的空间不是太大，但也够用了，环境和服务还是一如既往的好，下次还会来', 'star': 5}
{'descr': '很舒适及安静，但服务员很笨，我房间的宽带有问题，老是说问我装了360未，未装便有问题，她眼中只有360软件可以用，应该去\n那里工作', 'star': 5}
{'descr': '交通方便，就是房间小，有点味道，不过打扫还算干净', 'star': 5}
{'descr': '设施OK，噪音有点大，整体还不错。交通业还可以。', 'star': 5}
{'descr': '服务不错，房间也很整洁。美中不足是离路太近，夜里车来车往隔音不好。', 'star': 5}
{'descr': '酒店前台服务热情周到，房间整洁干净，酒店位置好，吃饭购物很方便，下次再来住！', 'star': 3}
{'descr': '酒店服务态度很好，卫生良好，周围吃饭的地方多', 'star': 5}
{'descr': '酒店不错，住的很开行酒店不错，住的很开行酒店不错，住的很开行', 'star': 5}
{'descr': '有点吵', 'star': 3}
{'descr': '感觉很方便——交通和购物，尤其是价格也合适，适于商旅选择。下次还来住！', 'star': 5}
{'descr': '酒店满新的~~房间有点小~~正好碰上装修，有点吵~~其他都还可以~', 'star': 5}
{'descr': '入住如家好多次了，感觉一直挺好的，干净整洁，设施也很到位，新华路交大店第一次入住，感觉非常不错，下次一定还会选择那里', 'star': 5}
{'descr': '隔音差，环境不好，态度不好，哎，，真心不会再定了', 'star': 1}
{'descr': '环境还好，有些吵，隔音效果不好，热水供应有问题，洗澡洗一半没热水了。', 'star': 3}
{'descr': '配套设施太过于简单，隔音效果不理想，性价比不高。', 'star': 1}
{'descr': '还不错，挺好的。就是没有对外面窗户。感觉还不错就是了', 'star': 5}
{'descr': '总体中上吧   高级标间在2楼  有窗 靠马路 比较吵  空调外机声音比较大\n毛巾比较旧  颜色发黑 看起来不干净\n马桶盖子掀不上来  还得扶着 比较烦人\n优点就不说了 也没什么特色 以上就是说说缺点', 'star': 1}
{'descr': '环境一般！服务还行！', 'star': 3}
{'descr': '位置极好，周边餐馆，购物商店很多，很方便，酒店整洁一新，前台服务人员热情周到，会再来住！', 'star': 5}
{'descr': '没有充电器借用，连充电器都没有！在深圳的如家也是一样，没有借用，只有卖的。25一个，买不买随你。', 'star': 1}
{'descr': '还行吧，这个价位的，也算可以了', 'star': 3}
{'descr': '不错，离我办事的地方挺近的。闹中取静。老板娘人也不错', 'star': 5}
{'descr': '酒店前台服务热情，周到，房间整洁一新，设施齐备，可惜没有浴帽，另外靠街一边较吵，其他还是不错，下次会再来住。', 'star': 5}
{'descr': '服务态度极差，再也不会去这家了，而且很吵，热水时有时无', 'star': 1}
{'descr': '.经济适用房但是没有一次性拖鞋很讨厌，还有就是浴巾毛巾很不干净感觉，建议去的带好这些', 'star': 3}
{'descr': '房间比较小，但卫生还不错，工作人员服务态度好，不过为什么双层玻璃的隔音效果比较差呀', 'star': 5}
{'descr': '因为没特价房了，升级成商务大床房，不错啊，哈哈', 'star': 5}
{'descr': '服务态度好干净', 'star': 3}
{'descr': '同事去住的。说交通和酒店硬件还不错。但住时赶上旁边正装修，比较吵！', 'star': 5}
{'descr': '很不错，酒店很新很干净，出门就是车站，很方便，价格又便宜', 'star': 5}
{'descr': '很好!很干净，下次，下下次还来！经济实惠！', 'star': 5}
{'descr': '非常满意', 'star': 3}
{'descr': '周边很热闹，吃饭的地方挺多的，价格便宜！', 'star': 5}
{'descr': '店面非常干净，位置也很好找，临着地铁站很方便，酒店的服务人员特别亲切，和风细雨，让人很舒服', 'star': 5}
{'descr': '环境整洁，舒适！店主热情，服务一流！交通方便，便于旅游！', 'star': 5}
{'descr': '很好，很干净。', 'star': 3}
{'descr': '还行吧，就是空间有点小。马桶有点堵，需要自己弄，有点小麻烦', 'star': 5}
{'descr': '内容', 'star': 3}
