{'短评内容': '非常感谢京东商城给予的优质的服务，从仓储管理、物流配送等各方面都是做的非常好的。送货及时，配送员也非常的热情，有时候不方便收件的时候，也安排时间另行配送。同时京东商城在售后管理上也非常好的，以解客户忧患，排除万难。给予我们非常好的购物体验。\nThank you very much for the excellent service provided by Jingdong mall, and it is very good to do in warehouse management, logistics, distribution and so on. Delivery in a timely manner, distribution staff is also very enthusiastic, and sometimes inconvenient to receive the time, but also arranged for time to be delivered. At the same time in the mall management Jingdong customer service is also very good, to solve customer suffering, overcome all difficulties. Give us a very good shopping experience. ！', '短评打分': 5}
{'短评内容': '位置有点偏，去的时候外面有人在装修，白天的时候比较吵', '短评打分': 4}
{'短评内容': '非常不错，前台态度很好，临走还问有没有哪些服务不满意的地方，整体来说，该酒店位置很好，性价比很高，挺适合在桂林出差旅游的', '短评打分': 5}
{'短评内容': '物美价廉比超市便宜，配送给力', '短评打分': 5}
{'短评内容': '方便舒适快捷。酒店对面有蛋糕店轻食店，在靖江王城附近。离步行街也不远，两江四湖上船点也近。客房服务不错。隔音有待加强。', '短评打分': 5}
{'短评内容': '离漓江近，就是床板硬，枕头硬，服务协调性差。住了一晚换到7天去了！', '短评打分': 5}
{'短评内容': '离市区近，房间也不算干净，前台服务员态度不是很好，老板人感觉不错', '短评打分': 5}
{'短评内容': '哎哟，不错哦！！！！！！！', '短评打分': 5}
{'短评内容': '一般般吧', '短评打分': 4}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '给了近电梯的房间，太小了，刚进去还有点味道', '短评打分': 5}
{'短评内容': '超赞，值得推荐 地理很好 交通方便 ', '短评打分': 5}
{'短评内容': '带父母来桂林旅游，环境不错 酒店很安静 超赞！！值得推荐，酒店步行5分钟就可以到 伏波山公园AAAA级景区哦！地理位置好 走路可以去东西巷步行街，正阳步行街 。酒店距离桂林北站6.5公里。更多惊喜等着您来发现！！', '短评打分': 5}
{'短评内容': '整体还可以，采光不足', '短评打分': 5}
{'短评内容': '绝佳位置', '短评打分': 5}
{'短评内容': '绝佳位置', '短评打分': 5}
{'短评内容': '不错，性价比还是挺高的。', '短评打分': 4}
{'短评内容': '酒店干净，靠江边，服务好，便宜，没什么可挑的了，对面的麦香坊，吃饭很不错，桂林两天吃了两次。', '短评打分': 4}
{'短评内容': '位置极好，卫生和设备都很人性化，尤其是在空调下方装有能晾衣服的支架，使冬季出行衣物有了烘干的可能，并且不会损坏空调。交通、出行、吃饭均很方便。信价比很高。', '短评打分': 5}
{'短评内容': '位置非常好，交通方便，信价比高。', '短评打分': 5}
{'短评内容': '房间太小。', '短评打分': 5}
{'短评内容': '位置在漓江边附近对面就是伏波山公园。酒店硬件设施很一般，洗手间特别差连门都是透明的，而且不封闭。不过服务还行。', '短评打分': 4}
{'短评内容': '还可以还可以', '短评打分': 4}
{'短评内容': '酒店位置较好，方便游玩；停车方便；安全措施很好。', '短评打分': 5}
{'短评内容': '房间还可以，干净卫生，非常安静，下次还入住', '短评打分': 5}
{'短评内容': '环境还可以，就是厕所有股味道。', '短评打分': 3}
{'短评内容': '环境优美，交通便利，服务周到，值得推荐！', '短评打分': 5}
{'短评内容': '地点非常方便，离伏波山景区非常近，到叠彩山也只有一站公共汽车', '短评打分': 5}
{'短评内容': '交通方便，房间也干净。只是下午到了房间还未准备好，于是先去市区逛，到了傍晚回到旅店还是没有准备好，这点比较失望。', '短评打分': 3}
{'短评内容': '马路对面就是伏波山公园，脚下就是漓江，旅游交通便利。', '短评打分': 5}
{'短评内容': '门口就是车站，前台服务很好，退房速度极快，卫生和格调比如家要好很多。', '短评打分': 5}
{'短评内容': '条件不错。', '短评打分': 3}
{'短评内容': '漓江边上的哦，离市区比较近，离独秀峰也很近，呵呵，不错', '短评打分': 5}
{'短评内容': '离独秀峰和市区的距离都挺近的，管理比较规范', '短评打分': 5}
{'短评内容': '汉庭酒店伏波山店滨江路靠近漓江边上，环境不错，比较安静，房间布置也很舒服，比较满意。', '短评打分': 3}
{'短评内容': '酒店不错哦。住的含开心酒店不错哦。住的含开心', '短评打分': 5}
{'短评内容': '很舒适，房间够大，够温馨！环境很好，临江，但是在巷子里面，不容易发现，当然也似的酒店很安静！！', '短评打分': 5}
{'短评内容': '一般，最不好的是洗澡水温度好低呀！我订了五间房，大过年被朋友投诉，苦命啊!', '短评打分': 3}
{'短评内容': '酒店设施比一般的国内快捷酒店好却干净。\n特别是服务员，非常热情，让人舒心。表扬 ！', '短评打分': 5}
{'短评内容': '房间太小了进门就是床.转身都困难,算胶囊客房吧!\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '性价比不高，房间比较小，没啥特点，跟同档次比没啥优势', '短评打分': 1}
{'短评内容': '总台服务员不了解退房时间，要求12点前退房\n', '短评打分': 5}
{'短评内容': '隔音不太好', '短评打分': 3}
{'短评内容': '餐厅太拥挤', '短评打分': 3}
{'短评内容': '地理位置很好，安静，工作人员态度好。\n房间干净。\n出门左转没多远就是王城。\n漓江边上。\n去哪里都不远。\n强烈推荐！！！', '短评打分': 5}
{'短评内容': '大床房的床果然很大，房间很干净，总台美女很温柔，就是地方有点偏。', '短评打分': 3}
{'短评内容': '环境非常舒服，前台态度也很好。感觉是刚装修的，不过没闻到刚装修完的味道', '短评打分': 5}
{'短评内容': '很不错，就在漓江边上，是在市区玩耍的好住处。', '短评打分': 3}
{'短评内容': '很干净的酒店，离江边很近，早餐也不错！楼下马路对面还有家小饭店，可以去那吃晚餐！', '短评打分': 5}
{'短评内容': '环境不错，很干净！楼下马路对面还有家小饭店不错，正好可以在那吃晚餐！', '短评打分': 5}
{'短评内容': '酒店是不错滴，就是吃饭有点不方便。有车族推荐入住~~~~~', '短评打分': 5}
{'短评内容': '酒店位置很好，离江边和靖江王城很近，也很干净，不错！', '短评打分': 5}
{'短评内容': '位置很不错,离伏波山,叠彩山,七星公园和象山都不远,步行就可以到,挺方便,看两江四湖也很方便.', '短评打分': 5}
{'短评内容': '好山好水好地方,地段好、卫生好、服务好,一个字、好!', '短评打分': 3}
{'短评内容': '好：酒店很新，服务很好，很方便去伏波山，七星公园，象山公园，及漓江边。\n不好：没有，就是不在我的Garmin GPS上。', '短评打分': 5}
{'短评内容': '蛮好的！', '短评打分': 3}
{'短评内容': '地段好,就在伏波山公园附近。酒店新、干净整洁服务好,推荐一个!', '短评打分': 3}
{'短评内容': '除了不好找以外其他都OK，典型的汉庭风格。', '短评打分': 5}
{'短评内容': '非常安静，方便去伏波山，王府，而且早上7点之前去都是免票的。酒店位置不错，步行到漓江几十米，到王府10分钟足以。如果有机会去，还可以选择这个酒店。', '短评打分': 5}
{'短评内容': '距离景点很近，交通方便，非常干净，前台服务好，还可以免费租自行车，大厅的电脑可以免费使用。餐厅的服务也可以还卫生，最重要的是饭菜价格还可以。', '短评打分': 5}
{'短评内容': '位置非常不错，离滨江路很近，去象鼻山和伏波山都很方便，也很安静，就是酒店旁边吃饭的地方比较少，得打车或公交到其他地方去。', '短评打分': 5}
{'短评内容': '蛮不错的酒店，服务还行。就是所住的房型房间和外过道之间没有门，影响空调效果。', '短评打分': 5}
{'短评内容': '酒店设施好，很舒适，前台服务也很好，酒店的位置也不错', '短评打分': 5}
{'短评内容': '房间虽然不大，但是非常舒适。房间里空气清新，细节上做得很好，尤其是荞麦皮和填充棉的双层枕头睡着非常舒服~下次来桂林的话还会选这里住的。另外说一句，路口那家特产店两块五一个的罗汉果绝赞，我们每天买一个泡水~另外出路口往右拐走几步就到的王城醋血鸭也很好吃啊很好吃~~~', '短评打分': 5}
{'短评内容': '酒店已经入住,距离漓江很近,价格要是再便宜一点就好了.', '短评打分': 5}
{'短评内容': '很干净整洁方便.要是有挂衣服的架子就更好了!', '短评打分': 3}
{'短评内容': '服务员非常热情，卫生做得非常好，就是卫生间的下水有点问题。', '短评打分': 5}
{'短评内容': '第一次住汉庭，感觉不错。\n房间整洁，出行方便，服务优良。\n会给朋友推荐！', '短评打分': 5}
{'短评内容': '可能是因为周末百元房就是小一点的、、、比七天的房间要小。位置还是很好的。', '短评打分': 5}
{'短评内容': '位置很好，走出来就是伏波山公园，就在漓江边上，距离市中心商业区走路也就十来分钟', '短评打分': 5}
{'短评内容': '干净、舒适，酒店地点不错，酒店有停车场，背靠独秀峰，早上在天台可看到。', '短评打分': 5}
{'短评内容': ' 酒店非常不错!满意!', '短评打分': 3}
{'短评内容': '在伏波山公园附近,出行、旅游方便。干净、舒适,值得推荐!', '短评打分': 3}
{'短评内容': '酒店很干净离市区也很近', '短评打分': 3}
{'短评内容': '酒店很干净，位置也不错，很值得推荐！', '短评打分': 3}
{'短评内容': '不错 就是有点偏  其他的都还好....', '短评打分': 1}
{'短评内容': '很干净 早餐很好而且也不贵 就是房间小了点 能打个九十分 ', '短评打分': 3}
{'短评内容': '＋房间还不错，就在漓江江边，离火车站也不是很远，酒店周围景色不错，就是小吃一类的少了。', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '酒店环境很好，晚上比较安静，离七星公园、象鼻山都不远，也比较新、干净、卫生，酒店服务态度也很好，这是这次在桂林换的第三家酒店，很满意，下次来还住这里！', '短评打分': 1}
{'短评内容': '地理位置好,闹中取静。就在漓江边伏波景区旁,酒店新服务好,还有自行车免费出租方便出游,是度假的首选。', '短评打分': 3}
{'短评内容': '己入住', '短评打分': 3}
{'短评内容': '离漓江很近，屋里比较新，比较干净。\n不过房间太小。周围环境不好', '短评打分': 5}
{'短评内容': '很干净,出来就是漓江，就是隔音不是很好，晚上停的到隔壁房间的说话', '短评打分': 5}
{'短评内容': '位置方便，门口就是滨江路和漓江，左走是伏波山公园，右走是象鼻山公园，周边环境优美', '短评打分': 5}
{'短评内容': '干净，安静', '短评打分': 3}
{'短评内容': '离滨江路很近，房间内的卫生间挺大的，服务态度也很热情。', '短评打分': 5}
{'短评内容': '我住的是高级大床房，很干净，也很安静，不像有些网友说的隔音不好，而且热水出水快，够热，也不像有的汉庭分店哪样水不够热。挺好的，推荐。', '短评打分': 5}
{'短评内容': '酒店很干净，前台服务很好，值得推荐。', '短评打分': 3}
{'短评内容': '酒店房间装修卫生还是挺不错的，地理位置也很好，价格的话也还是蛮合适的，服务态度也不错。', '短评打分': 5}
{'短评内容': '地理位置不错，距离丽江和靖江王府都很近。房间设施基本齐全，一楼可以上网。', '短评打分': 5}
{'短评内容': '周日百元房，一如既往地好，希望周六也推出百元房就好了', '短评打分': 5}
{'短评内容': '房间很不错，服务也挺好就是那个价格不是很便宜。位置倒是挺好的。', '短评打分': 5}
{'短评内容': '酒店有点吵,隔音吧 是 很 好，价格一 点贵了，但想去 漓江玩的 还是 很 方便', '短评打分': 5}
{'短评内容': '房间装修不错，打扫非常干净，位置还不错。房价在当地略偏高。', '短评打分': 5}
{'短评内容': '因为是一间新的酒店，所以整体来说是可以的，位置还是容易找。房价在节日是算比较高的！', '短评打分': 5}
{'短评内容': '是新店，卫生很好，就是有点偏，在滨江路边，方便到江边逛逛，离伏波山很近，几分钟就走到了，就是周围比较冷清，找个吃饭的地方也不容易，服务很好', '短评打分': 5}
{'短评内容': '环境不错，干净卫生，地理位置也好，离步行街仅五分钟路程，但房间较小，总体评价不错，给个八点五分。', '短评打分': 5}
{'短评内容': '＋房间很新，干净，有停车场，紧临漓江，不错。不过不给我们换我们希望的家庭房。', '短评打分': 5}
