{'短评内容': '好，不错，停车也可以', '短评打分': 5}
{'短评内容': '通风环境好 卫生干净 住的很满意', '短评打分': 5}
{'短评内容': '前台服务态度好 房间很干净，价格实惠', '短评打分': 5}
{'短评内容': '不怎地', '短评打分': 1}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '还好吧……', '短评打分': 5}
{'短评内容': '哈哈，不知道怎么说', '短评打分': 5}
{'短评内容': '不错！很舒服！便宜', '短评打分': 5}
{'短评内容': '不错哦', '短评打分': 5}
{'短评内容': '一步步', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '出差入住，挺好的。房间很大，还有沙发。这个价位非常满意', '短评打分': 5}
{'短评内容': '还不错。', '短评打分': 4}
{'短评内容': '周围环境也不错，可以住', '短评打分': 5}
{'短评内容': '格局很奇怪，不喜欢，电视机太小', '短评打分': 4}
{'短评内容': '房间设计怪怪的。。。还有好脏啊。。。地毯什么的。。。好像洗手池管道也漏水。。。位置不好外卖都不送的。。。。', '短评打分': 1}
{'短评内容': '酒店位置可以，房间大小也不错，但卫生服务需要改善，不够热情。', '短评打分': 5}
{'短评内容': '看了萧山区地图订的,但很巧的是客户预定的晚餐地点正好在酒店对面。', '短评打分': 5}
{'短评内容': '帮公司客户订的，客户说这家酒店还是挺不错的。', '短评打分': 5}
{'短评内容': '宾馆在萧山区主干道，交通便利，周围商业设施也比较齐全，非常满意。', '短评打分': 5}
{'短评内容': '温馨舒适，干净整洁。帮老板定的，老板评价说不错。', '短评打分': 5}
{'短评内容': '总体感觉不错，性价比很高！下次还会选择入住！！！', '短评打分': 5}
{'短评内容': ',昨天已经入住房间号339,环境可以,电视小点', '短评打分': 3}
{'短评内容': '这家酒店太差了!比苏州的同价位酒店质量不止差一个档次!', '短评打分': 3}
{'短评内容': '前台服务员素质有点差，房间就是有点小，不过还是比较温馨的。', '短评打分': 5}
{'短评内容': '在萧山开发区市心路\n交通方便，性价比还可以', '短评打分': 5}
{'短评内容': '＋干净清爽 必备东西还是比较齐全的 就是浴室和厕所间少个门 水流了一地 没有电脑 无线网信号几乎没用 这个价格也还知足了', '短评打分': 3}
{'短评内容': ' 性价比挺高的', '短评打分': 3}
{'短评内容': '感觉一般吧，没凯豪和3B舒服', '短评打分': 3}
