{'短评内容': '非常不错的温泉酒店，明年都要去几次。', '短评打分': 5}
{'短评内容': '环境不错，就是房间差了点，和外面100块的酒店差不多，主要是去泡温泉的！！', '短评打分': 5}
{'短评内容': '环境不错，酒店沿着河边有很长步道，风景优美', '短评打分': 4}
{'短评内容': '强烈不推荐所谓的“滨江房”，隔音效果极差，外面过道的任何响动都能听到，隔壁空调外机的声音也响了一夜。', '短评打分': 3}
{'短评内容': '除了房间有点小，其他的还可以。\n不过房间里面可以泡温泉，还是赞一个', '短评打分': 4}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '不错 地理位置还行，周围交通比较便利然后就是吃的也蛮多的这点比较好。很方便。不知道照片去哪儿了总之还是不错的性价比比较高还便宜主要周围很方便前台太度爷还不错????去哪儿都很方便的', '短评打分': 5}
{'短评内容': '不错 房间自带小温泉池，随时可放水，很方便。', '短评打分': 5}
{'短评内容': '室内汤池稍微小了点，跟浴缸差不多，温泉水还不错，酒店位置很好找，订了酒店就保证有车位停车，就是早餐差了点，没什么东西吃，就跟农家乐差不多，两个大人带一个3岁的小朋友还要多给10块钱，太不大气了', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '很好不错', '短评打分': 4}
{'短评内容': '在东泉应该是最好一家吧。', '短评打分': 4}
{'短评内容': '很好温泉酒店，性价比高。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '还可以。只是房间小点，冬天洗澡门不能关，有些冷。', '短评打分': 5}
{'短评内容': '服务好，房间干净卫生，温泉也很舒服?～自助早餐丰富', '短评打分': 5}
{'短评内容': '酒店在东泉算是最好的了，温泉也很好，阳台很大泡池也很大，就是房间太小床太小，一家三口睡还是不行，儿子很喜欢这里，舍不得走。另外，卫生间有异味比较遗憾。', '短评打分': 4}
{'短评内容': '房间干净整洁，窗外望去青山葱郁，碧泉秀水，很舒服，早餐也很丰富。推荐。', '短评打分': 5}
{'短评内容': '环境很不错，地方也好找', '短评打分': 3}
{'短评内容': '沿河而建，环境不错，服务到位。楼上的房间特好。唯一缺点房间窗帘太薄，天亮不能做到自然醒！！！', '短评打分': 5}
{'短评内容': '走了东泉很多酒店，最后选择这间，房间干净，用品干净，温泉到晩上12点，值得推荐。', '短评打分': 3}
{'短评内容': '环境不错，是我喜欢的风格。温泉设施设备较新，维护的也好。每个房间里都有小泡池，很方便。但这次订的普通温泉单间房间小，没有窗户，在负一楼，这点不太爽。建议可以订滨江温泉标间，应该性价比更高一些。总体来说OK~', '短评打分': 5}
