{'短评内容': '非常棒的入住，', '短评打分': 5}
{'短评内容': '酒店地理位置很方便，周边配套设施齐全，酒店干净温馨，每次出行都会选择酒店式公寓，有家的感觉，强烈推荐，好评。', '短评打分': 5}
{'短评内容': '房间大很好用', '短评打分': 5}
{'短评内容': '干净整洁舒适', '短评打分': 5}
{'短评内容': '非常好的酒店', '短评打分': 5}
{'短评内容': '好好好好好好好好好', '短评打分': 5}
{'短评内容': '不错比较满意', '短评打分': 5}
{'短评内容': '非常好，家庭出游，多人出游成都的不二选择！', '短评打分': 5}
{'短评内容': '好！！那你！！！！！！nnnnnnn.m.m..m...！！！！！！！！！！！！！！！！！！！！！！你！', '短评打分': 5}
{'短评内容': '各种好，位置好房间好泳池也非常好，早餐不赖非常推荐！！！！！你！！！！！！你！！！！！你！！！！！！！！', '短评打分': 5}
{'短评内容': '酒店非常棒，地理位置很好去周边都很方便，下次再去成都依旧会订这家酒店', '短评打分': 5}
{'短评内容': '很一般的行程，没有太多的特殊。', '短评打分': 4}
{'短评内容': '很一般的行程，没有太多的特殊。', '短评打分': 4}
{'短评内容': '实话没有明宇豪雅好', '短评打分': 3}
{'短评内容': '还不错，一家人去成都最好的选择。', '短评打分': 5}
{'短评内容': '大晚上的 空调坏了 冻感冒了 经理来了还不错给换个套房房 一室一厅的 非常满意', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '还不错！！！！', '短评打分': 4}
{'短评内容': '非常好！且自动免费升级到21层', '短评打分': 5}
{'短评内容': '酒店很不错，设施比较新。', '短评打分': 5}
{'短评内容': '很不错的酒店。位置也不错，服务效率有点慢', '短评打分': 5}
{'短评内容': '很不错的酒店。位置也不错，服务效率有点慢', '短评打分': 5}
{'短评内容': '很不错的酒店。位置也不错，服务效率有点慢', '短评打分': 5}
{'短评内容': '很不错的酒店式公寓。就是前台办理手续速度比较慢。还有就是客房服务很慢。', '短评打分': 5}
{'短评内容': '很好，下次还会再来', '短评打分': 3}
{'短评内容': '酒店很好 服务态度好棒!下次去成都还会去那住!', '短评打分': 3}
{'短评内容': '相对的价格有点高！总体服务很好！酒店的电动窗帘可以有些更改，如果不是只有全开或全关两个选项会更好！~', '短评打分': 5}
{'短评内容': '依旧非常满意！`````````````````', '短评打分': 5}
{'短评内容': '非常人性化的酒店，就像自己家一般舒服，酒店设施很好很新，住起来超级舒服。美中不足的是床很大但是不够软，个人习惯了软床，睡起来有点不舒服。酒店下面是单行道，高峰期打车比较困难，不过是成都难打车的共性。再就是早餐西式较多，中式较少。\n  在成都来说，这家酒店性价比极高，可以打90分，下次来还是要住这家酒店。', '短评打分': 5}
{'短评内容': '很舒服 很温馨 性价比很高 下次还会入住', '短评打分': 5}
{'短评内容': '很不错！房间环境很好哦，楼下就是商场很方便，市中心很好', '短评打分': 5}
{'短评内容': '地段不错', '短评打分': 3}
{'短评内容': '整体来说酒店设施和服务都算是一流的，特别是门童服务超级热情到位，让人感觉舒服，但是早餐不太可人，没什么吃的。', '短评打分': 5}
{'短评内容': '酒店总体感觉不错。我订的是豪华一居室因要求的无烟房没有了所以免费升级住的经典一居室。房间带有厨房配有冰箱、烤箱、电瓷炉和歺具非常方便，特别适合带有小朋友的家庭。客厅和卧室是分开的，卧室的床很舒服。卫生间配的洗漱用品很好，尤其是洗发水和护发素被女儿赞了又赞居然说比卡诗好用，走时把剩下的都带走了。早歺供应到十点，特别适合起床较晚的同志们，早歺很丰富，水果品种很多也好。酒店位置很好购物方便，楼下便是商场', '短评打分': 5}
{'短评内容': '無論設計還是服務都一流的酒店。唯一不好之處就是打車非常的不方便。', '短评打分': 5}
{'短评内容': '位置很好，楼下大牌云集逛街方便，套房很舒适。', '短评打分': 5}
{'短评内容': '其他设施都不错，但是套房里没有全身镜，女人很不方便，希望下次入住时有改正\n', '短评打分': 5}
{'短评内容': '帮香港同事定的，他很满意，比上海仁恒辉盛阁国际公寓要好，下次继续住这里', '短评打分': 5}
{'短评内容': '酒店装修很细致，有家的感觉', '短评打分': 3}
{'短评内容': '房间装饰很不错，位置也比较方便', '短评打分': 3}
{'短评内容': '不错，价格也合适。 不错，价格也合适。 不错，价格也合适。', '短评打分': 5}
{'短评内容': '据说是超五星的，还不错，地下就是购物广场。', '短评打分': 5}
{'短评内容': '是帮客户订的这家酒店，因为是新开的，客户说房间很干净，设施也很齐全，服务都很不错的', '短评打分': 5}
{'短评内容': '酒店的迎宾超级牛，连帮客户叫出租车都懒得做，直接回答我们，我也是出去叫，你们自己叫吧。从来没有住过这样的星级酒店。', '短评打分': 1}
{'短评内容': '地理位置好，\n服務ok，床舒服。\n但是我當天入住的房間，一到中午就會聞到別人家煮飯的味道，可能與排煙管道的設計有關。希望酒店工程部能夠加以解決。', '短评打分': 5}
{'短评内容': '房间很宽敞，有厨房，衣帽间，还有DVD机，像在家的感觉', '短评打分': 3}
{'短评内容': '这是我成都之行的惊喜！一开始订了成都会馆，被告知没房了，又订香格里拉，一小时后又告诉我没房了。直到上飞机，五星级的就这一家了，勉强订了。进了大堂不觉得怎样，到了房间真的不比任何五星级差！所有用品一应俱全，洗漱用品也比较高档，淋浴水很大，总之很好。唯有一点，洗脸池离镜子太近，洗脸时会碰头。呵呵', '短评打分': 5}
{'短评内容': ' 很新，很好。早餐比其他服务公寓的要好。游泳池超棒！物有所值，强烈推荐！', '短评打分': 3}
{'短评内容': '该酒店不错', '短评打分': 3}
{'短评内容': '位置很好,酒店的客房服务不到位,难道是因为是酒店公寓吗?牙刷拖鞋没有更换,纸巾和茶包也没有补给,早餐的品种比较少,而且没有变化,三天下来基本上都是一样的,希望品质要对的起它的价格', '短评打分': 5}
{'短评内容': '帮同事订的酒店。反响很不错，现在是特价值了。下次有机会去成都的话还会再入住的。\n为什么非要50个字以上，文笔差写不了那么多了。', '短评打分': 5}
{'短评内容': '装修味太难闻,早餐简单,这个价不如住酒店', '短评打分': 5}
{'短评内容': '和朋友一起住的2居，硬件很好，整体厨房一应俱全，电器比我家都全，服务也可以。很适合商务客人，缺少娱乐设施（呵呵，不过在成都也不会缺少娱乐）。游泳池的天花板做的星空很梦幻，桑拿及热水泡池都很棒，能有效的放松，顶1个。', '短评打分': 5}
{'短评内容': '酒店还不错,但是位置离商业区有点点远,逛街不是非常方便,如果作为商务客人还可以,旅游客人可能不是很方便.', '短评打分': 1}
{'短评内容': '设施很新，房间不大，环境不错，值得拥有。\n', '短评打分': 5}
{'短评内容': '环境好，床很软，住了几次，感觉非常好！以后会经常选这里', '短评打分': 5}
{'短评内容': '酒店很新，服务很好，房间的设备也很现代化，住的很舒服。', '短评打分': 5}
{'短评内容': '装修很不错，就是服务还要加强', '短评打分': 3}
{'短评内容': '非常好！酒店装修豪华，住的非常舒服！服务态度都非常好！', '短评打分': 5}
