{'短评内容': '不错 房间有些旧了 环境很好', '短评打分': 5}
{'短评内容': '很不错 石化就是有钱', '短评打分': 5}
{'短评内容': '酒店环境确实不错，如果是夏天来一定很美，从酒店后门可以爬山，山顶可以看到十三陵水库，早餐种类也还算比较全吧，唯一就是房间比较紧凑，设施略显陈旧了！家庭休闲度假值得一住！', '短评打分': 5}
{'短评内容': '还不错，来过几次了，早点种类比较丰富，酒店环境不错，就是房间比较紧凑！', '短评打分': 5}
{'短评内容': '出差入住，适合会议及休闲度假，环境非常好，酒店干净，服务也很好，前台办理完手续后不慎将钱包遗失，刚进房间即收到前台询问是否遗失的电话，很遗憾忘记问那位前台女孩姓名，为这么好的员工点赞！酒店后花园可以爬山一览十三陵水库，非常不错！', '短评打分': 5}
{'短评内容': '环境非常好……距离离昌平城区很近', '短评打分': 5}
{'短评内容': '早餐特别好，推荐', '短评打分': 5}
{'短评内容': '京东下单很方便，也很快。价格实惠！', '短评打分': 5}
{'短评内容': '好就一个字！！', '短评打分': 5}
{'短评内容': '很高，很实用。很高，很实用。很高，很实用。经常去，服务很好。', '短评打分': 5}
{'短评内容': '紧邻十三陵水库，爬上酒店后山就是，环境不错，值得推荐', '短评打分': 5}
{'短评内容': '亲子旅行', '短评打分': 5}
{'短评内容': '北京中国石化会议中心', '短评打分': 5}
{'短评内容': '游泳池还不错，门口的菜馆也不错', '短评打分': 5}
{'短评内容': '游泳池还不错，门口的菜馆也不错', '短评打分': 5}
{'短评内容': '  总体来说不错 ，院子很大，有小山可以爬 ，还可以泡温泉，可以懒懒地住两天 ，什么都不想 ，门口的土菜馆也 很好。', '短评打分': 5}
{'短评内容': '已多次入住，自主早餐换了地点，品种变少了，有点失望。', '短评打分': 5}
{'短评内容': '多次入住了', '短评打分': 5}
{'短评内容': '酒店环境和设施都很好，只是位置太太偏了，出行实在不方便', '短评打分': 4}
{'短评内容': '水库边的好酒店', '短评打分': 5}
{'短评内容': '700多的房间，包括温泉票和游泳，早餐，划算。房间大，卫生什么的都可以。早餐38，品种算丰富。唯一不足，酒店餐厅晚上7点半打烊，过了点只能去昌平区里吃饭。', '短评打分': 4}
{'短评内容': '整体环境不错，近十三陵水库，出门即可爬山，时候周末度假静心', '短评打分': 5}
{'短评内容': '酒店很大，紧挨着山，性价比比较高，不过游泳要单收费', '短评打分': 4}
{'短评内容': '酒店的位置很好，离莽山森林公园很近，自驾车比较合适。酒店院内北门可以直接登顶北山，十三陵水库风景一览无余，非常漂亮。酒店早餐，虽然品种不是特别多，但质量味道都非常好。酒店外观相当气派，院内绿化较好，空气不错适合休闲度假，房间内设施一般，空间不大。', '短评打分': 5}
{'短评内容': '位置偏远，度假村类型', '短评打分': 3}
