{'短评内容': '好。      。', '短评打分': 5}
{'短评内容': '中规中距的汉庭店，你懂的。交通方便，但门口正修地铁。', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '位置很好，地铁口，出行很方便～', '短评打分': 5}
{'短评内容': '恩 还可以吧 环境可以 特别喜欢那个洗漱台 反正挺好的', '短评打分': 5}
{'短评内容': '66666666666666666666666666666', '短评打分': 5}
{'短评内容': '不错的选择很好', '短评打分': 5}
{'短评内容': '很好。。。。。。', '短评打分': 5}
{'短评内容': '很好。。。。。。', '短评打分': 5}
{'短评内容': '很好。。。。。', '短评打分': 5}
{'短评内容': '666666', '短评打分': 5}
{'短评内容': '很好 不错 什么都不需要 简单不繁琐 房间很干净，喜欢京东的价值观，服务至上', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很多房间的窗户不能关上，也不维修，冬季外面冷、临近街面很吵。这样酒店应该停业维修！建议大家慎重选择！', '短评打分': 2}
{'短评内容': '一般，有点吵。', '短评打分': 4}
{'短评内容': '一般，有点吵。', '短评打分': 4}
{'短评内容': '相当差，停车场没停车位，预定还不能取消，滚嘛，最后一次', '短评打分': 1}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '房间设施真心太陈旧  尤其是卫生间  期待新装', '短评打分': 3}
{'短评内容': '房间不大...不是很理想...', '短评打分': 3}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '服务态度不错，除了房间有点小外其他都还好', '短评打分': 5}
{'短评内容': '酒店不错，下次还会住这里酒店不错，下次还会住这里酒店不错，下次还会住这里酒店不错，下次还会住这里酒店不错，下次还会住这里', '短评打分': 5}
{'短评内容': '不错的酒店，服务好，就是旁边在修地铁，所以不太方便', '短评打分': 5}
{'短评内容': '厕所太小了，房间很干净，算是闹市区吧，沿街有点吵，总体感觉还行吧', '短评打分': 5}
{'短评内容': '还不错，房间挺大的，就是厕所有点小了，上厕所坐着都能碰到洗脸台了，交通很方便，就是在修路，房间沿街，有点小吵。', '短评打分': 5}
{'短评内容': '正在修路，不容易找到，停车场也暂时没有了', '短评打分': 5}
{'短评内容': '挺好的，卫生不错的哈，挺安全哈。进出都是刷卡的下次还去', '短评打分': 5}
{'短评内容': '房间太小！电视也看不了！', '短评打分': 3}
{'短评内容': '两天前有免费午餐，这次就没有了。理由是上次把早餐费打到房间费里了，我怎么不知道呢。', '短评打分': 1}
{'短评内容': '地理位置好。离我办事的地方近。\n早餐不错。        \n叫早会有时差的，呵呵', '短评打分': 5}
{'短评内容': '酒店位于成华区，离武侯区较远，设施还不错，家庭房的大床挺大的，房间小一点，卫生条件较好！一楼大厅较小，有免费的热饮和电脑上网，但电脑只有二台。', '短评打分': 5}
{'短评内容': '去的时候已经13点左右了，居然说房间还没有打扫，不是没房间；等待40分钟左右，无语至极，正常情况下酒店会将更好的房间提供给客户以弥补过失', '短评打分': 1}
{'短评内容': '很划算很干净，性价比算OK啦。哈哈，带老妈出去玩时住的。', '短评打分': 5}
{'短评内容': '这家宾馆不错，交通很方便，离商业街也近。卫生不错，服务态度也不错，就是早餐的花样少了点儿，汉庭的通病', '短评打分': 5}
{'短评内容': '节日房的房间有点小，但是基本够了。热水不烫，但是洗澡够了。前台的服务员态度有一个很好，有一个有点不好。地段挺好的，下次还会住。', '短评打分': 5}
{'短评内容': '环境一般,服务良好!', '短评打分': 3}
{'短评内容': '酒店位置不错，楼下有超市和便利店。房间稍显小了一点。', '短评打分': 5}
{'短评内容': '入住的周日特价房，性价比相当高，只要100元的大床房', '短评打分': 5}
{'短评内容': '酒店在一环路，服务员态度不错，酒店也干净', '短评打分': 5}
{'短评内容': '酒店挺不错，环境也很好，下次还会选择这里', '短评打分': 5}
{'短评内容': '酒店软硬件挺好的，服务非常不错！下次还会选择汉庭，', '短评打分': 5}
{'短评内容': '没有性服务电话的打扰，这个女士应该推荐老公去住  方便省钱 快捷', '短评打分': 5}
{'短评内容': '地点还可以，房间普通，不会特别推荐，也不会特别不推荐。但是比较郁闷的是汉庭全都规定上网必须刷卡然后限时1个小时，太不方便了。后来去乐山住的是如家，结果人家的是不限时间上网的，对于我这种自助行必须经常查下一站资料的人来说，实在是太方便了。因此，如果你是没有带电脑出门必须在外上网的话，还是不太推荐汉庭。\n补充一点，房间有烟味，但是这似乎是全中国酒店都会出现的通病，所以就算了。', '短评打分': 1}
{'短评内容': '洗手间有股味道，浴室和洗手间设计不合理，装修粗糙，汉庭做大了，质量就下来了。服务倒还是忙热心的，就是硬件设施太不尽如人意了，住了一晚就转了。', '短评打分': 1}
{'短评内容': '还可以  讲究         为止也行', '短评打分': 5}
{'短评内容': '打也实在是太难了，退房后在门口等车等了一个多小时 都没空车，后来跑到对面坐公交大吧', '短评打分': 1}
{'短评内容': '连锁酒店，服务还可以，环境很安静，出行方便，距离车站不远。大厅较小，吃早饭地方很小，如果是不含早饭的预定在那吃酒不合算，不便宜，去晚了几乎没剩什么吃的，不过服务员也会提醒你这些的。', '短评打分': 5}
{'短评内容': '之前已经住过很多次了,干净卫生舒适就不说了,很满意,要说的是在大厅有免费电脑可以上网还有好喝的五谷茶,很贴心', '短评打分': 3}
{'短评内容': '酒店位置不是特别好，在城东，不很繁华。但是还算方便，马路对面有酒店、火锅城、火车票代售点，下面就是超市，公交车站。    9分\n酒店大堂服务规范、可寄存行李、接受咨询。10分\n电梯需要有电子房卡才可使用，感觉很安全。10分\n房间面积不大，没有太大房间摆放东西       8分\n房间有股味道    每天需要开窗30分钟      8分\n卫生间空间应该算大打算内没有很好利用显得有点银挤，卫生还可以\n毛', '短评打分': 5}
{'短评内容': '在一环路边上，交通很方便。周围有玉双路美食圈，有各种美食。', '短评打分': 5}
