{'短评内容': '登巴好玩，就是现在没什么人', '短评打分': 5}
{'短评内容': '脏乱差！环境很乱，一股臭味，我们住在一楼，打麻将的、打台球的、走廊上用电吹风的很吵。订的女生6人间只有我们两个人住，有独立卫生间，才入住还没有用卫生间就发现有漏水，屋里估计很久都没打扫卫生了，桌子上一层灰。在携程预付了两晚，想退掉一晚也不行，下次肯定不会再来了。', '短评打分': 2}
{'短评内容': '酒店周边就是永陵，离宽窄巷子不远，可以洗澡，大多数都是年轻人住，很有氛围，干净，前台小姐姐们都很热情', '短评打分': 5}
{'短评内容': '房间设施有点旧，但价格便宜', '短评打分': 3}
{'短评内容': '哈哈，很不错的', '短评打分': 5}
{'短评内容': '环境不错，人多，特别有意思。', '短评打分': 5}
{'短评内容': '可以，还不错', '短评打分': 5}
{'短评内容': '很舒服，喜欢他们家的猫猫狗狗！', '短评打分': 5}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '公共区域环境还不错，氛围也挺好。住的八人间，有异味。卫生有待改善。价格还是挺便宜的，各种生活设施也很便利，总体不错。能改善房间卫生空气情况的话非常值得体验。有不少藏族同胞住这里。还有，这还是连锁的旅舍。哈哈', '短评打分': 4}
{'短评内容': '环境各方面都挺好，很满意，以后会留意登巴', '短评打分': 5}
