{'短评内容': '方便快捷，相对价格很实惠！房间干净整洁，距离火车站很近。', '短评打分': 5}
{'短评内容': '还可以，比较安静', '短评打分': 4}
{'短评内容': '比较安静，设施很一般', '短评打分': 4}
{'短评内容': '条件一般，唯一优点离火车站近', '短评打分': 4}
{'短评内容': '距离火车站很近，步行十分钟就可以到，早上不必为了早起或者晚上晚到而困惑，很是方便，周边吃饭的地方有些小店，距离有个景点好像很近', '短评打分': 5}
{'短评内容': '距离火车站近在咫尺，不用为了赶火车或者晚到而困惑，附近吃饭也还算方便、肯定不能跟市区比，内部环境干净整洁', '短评打分': 5}
{'短评内容': '还不错，比较老的宾馆', '短评打分': 4}
{'短评内容': '价格实惠，还不错。', '短评打分': 5}
{'短评内容': '离车站很近  很方便', '短评打分': 5}
{'短评内容': '就在高铁边上非常方便，酒店设施很好，隔音效果也不错，这次订的价格也很便宜还提供早餐，早餐很丰盛，好满意的预定', '短评打分': 5}
{'短评内容': '非常好，床大而且非常舒服，下回还住这。', '短评打分': 5}
{'短评内容': '一般，设施比较旧', '短评打分': 4}
{'短评内容': '还行吧', '短评打分': 5}
{'短评内容': '很干净。但房间有点小', '短评打分': 3}
{'短评内容': '性价比尚可，但房间有些老了，边上党校陪训倒是不错的入住', '短评打分': 1}
{'短评内容': '总体来说还可以，隔音效果太差，隔壁睡的那个人的打呼噜声音都听的清清楚楚，整晚光听他打呼了！', '短评打分': 3}
{'短评内容': '已经入住', '短评打分': 3}
{'短评内容': '环境不错，自驾游交通方便，停车位很多，硬件和服务有待提高。', '短评打分': 1}
{'短评内容': '客房设备需要更新，床小用具陈旧，望改善。', '短评打分': 1}
{'短评内容': '该酒店地理位置不错，原为宁波市委党校招待所，可能是这个原因给人感觉服务台的服务生的态度不是太好，我们入住的那天，当入住手续全部办好已经下午5点多了，客人上楼以后才被告知说前面在维修水管，刚开通，水都是浑浊的。到底楼餐厅去订餐，结果被告知因没有提前预定，菜没有的，不提前预定就没有，一行20余人只好再到外面去找饭店。另外房间的价格比如家、莫泰、锦江之星等贵，但是房间的包括床在内的各项用品与之不相称，希', '短评打分': 1}
{'短评内容': '1\\停车位比较多\n2\\酒店后面有条小河,河中时常有小船经过,就当是一风景,呵~~\n3\\地段有点偏', '短评打分': 5}
{'短评内容': '还不错,房间比较大,比较干净,早餐一般!', '短评打分': 3}
{'短评内容': '性价比不错，卫生也很好，周围环境是没的说。', '短评打分': 5}
{'短评内容': '酒店很干净，也非常安静，性价比很高，早餐也很丰富。值得推荐。', '短评打分': 5}
{'短评内容': '酒店硬件设施条件不错的，房间很宽敞，设备齐全，距离高速，火车站，汽车站坐车5分钟左右就到了', '短评打分': 5}
{'短评内容': '房间还算过得去，去年也来住过，到了才知道。停车位很多，停车方便，', '短评打分': 5}
{'短评内容': '名符其实的旅馆，性价比较高！喜欢！', '短评打分': 3}
{'短评内容': '价格适中，服务态度尚可，就是打车有点不便！', '短评打分': 5}
{'短评内容': '性价比太低', '短评打分': 1}
{'短评内容': '酒店地理位置比较偏,很不好找,其他方面也都比较一般,不是很值得推荐.', '短评打分': 5}
{'短评内容': '酒店的整体不错的，服务卫生以及设施都很好的，酒店的位置以及交通都很方便的，价格还可以的酒店', '短评打分': 5}
{'短评内容': '设施条件不错，  是市委党校办的酒店，干部开会什么的基本住这儿，环境也很好', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '宾馆是市 委 党 校所办，离高速出口及火车站、上海方向长途汽车站约5分钟车程。环境，党 校本身就是园林式校园，在宾馆内俯瞰，即为盆景公园，步行约5分钟。周边有些小景点董孝子庙、全祖望墓园等。停车场够大，夏季更有露天游泳池，当然不是免费的。\r\n\r\n因为订的房间是给亲戚住的，所以特意查看了房间，卫生、服务、设备都很好，相当于3星级酒店。性价比高。', '短评打分': 5}
{'短评内容': '总体很不错', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;设施，环境，服务都还可以，只不过卫生间浴缸下水很慢，希望下次有所改善&amp;lt;/P&amp;gt;', '短评打分': 5}
