{'短评内容': '出差住的，挺好', '短评打分': 5}
{'短评内容': '副楼有点旧，', '短评打分': 4}
{'短评内容': '帮朋友预订的', '短评打分': 3}
{'短评内容': '帮朋友预订的', '短评打分': 3}
{'短评内容': '帮朋友预订的', '短评打分': 3}
{'短评内容': '帮朋友预订的', '短评打分': 3}
{'短评内容': '帮朋友预订，商务还可以就是周边交通不是很方便。', '短评打分': 3}
{'短评内容': '过的去', '短评打分': 4}
{'短评内容': '老店一个，环境还可以，人烟稀少，很有古老味道，早餐营养，实惠。一句话，小马过河，自己亲馋。。', '短评打分': 3}
{'短评内容': '酒店有点旧了，空调也是不可调，周边环境有点差', '短评打分': 3}
{'短评内容': '比较简陋，但是性价比不错。停车方便，楼下吃饭地方也还方便', '短评打分': 4}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '可以可以可以可以', '短评打分': 4}
{'短评内容': '干净舒适，还不错，价格也可以接受', '短评打分': 3}
{'短评内容': '不太理想，毛巾有异味，水龙头的水有些发黄，厕所的灯关不了，两个插头坏的，吹风机也用不了，连瓶矿泉水都不送，隔音效果很差，隔壁电视声音传过来特别大，早餐种类也少的可怜', '短评打分': 3}
