{'descr': '不错的宾馆，干净方便', 'star': 5}
{'descr': '不错的酒店，服务也很贴心', 'star': 5}
{'descr': '九点临街，晚上有点吵，其他还好', 'star': 5}
{'descr': '还不错，交通位置很方便，房间也很干净', 'star': 5}
{'descr': '实惠干净服务好', 'star': 5}
{'descr': '房间很有调调，整洁，小而精致。', 'star': 5}
{'descr': '也就这样吧，住一晚感冒了，对安排的房间不满意', 'star': 5}
{'descr': '房间小，哪里都小，床小，不爽', 'star': 5}
{'descr': '干净卫生宽敞给我们三家人最深的印象，服务超好，极力推荐', 'star': 5}
{'descr': '很新的宾馆，服务很热情，周边环境热闹，强烈推荐！', 'star': 5}
{'descr': '非常满意，很好的酒店，我觉得在那种地方确实值得推荐。', 'star': 5}
{'descr': '干净清爽，在玉山应该算是不错的酒店了。。。', 'star': 5}
{'descr': '不错。发生了小插曲，停在门口的汽车后备箱锁被撬但没撬开，但锁坏了，酒店很真诚的处理了这件事，非常满意。', 'star': 5}
{'descr': '房间真的好小。不过，算是玉山算好的酒店了吧。新造的所以看上去比较好。交通很方便。楼下的夜宵好多，晚上在江边散步好舒服的', 'star': 5}
{'descr': '服务不错，设施也还不错。在一个陌生的地方，感觉锦江还是挺安全的。', 'star': 5}
{'descr': '酒店不错，交通便利，前台亲切热情。19号入住的，由于火车晚点没能下午6点前到达，五点半打电话给前台说明情况前台说留房到晚上8点。后来7点钟便到达酒店办理入住手续，我住的是169元的双标间，在6楼的禁烟楼层环境卫生简洁感觉还不错，不过晚上睡觉正如网友说的隔音差了点，因为我们的房间一面临街，半夜凌晨了还有嘈杂的车辆声~~房间的床和枕头睡起来不是很舒服，有点奇怪的是双标的床按理来说是应该一样大小的，可是', 'star': 5}
{'descr': '非常不错,比其他快捷酒店都舒适，晚饭也不错', 'star': 5}
{'descr': '非常满意，很好的酒店，我觉得在那种地方确实值得推荐。不用过多评价，如果有机会再去，仍然是我的第一选择。', 'star': 5}
{'descr': '中规中矩  不错的 可以啦\n地点也还可以 离车站不远', 'star': 5}
{'descr': '干净卫生，就是房间稍微小一点，下次来还会考虑住这里，不错', 'star': 5}
{'descr': '很不错的酒店，房间有点小，但是很干净，服务态度也不错，比附近很多酒店都好~', 'star': 5}
{'descr': '酒店比较问馨，如能增加休闲服务更好', 'star': 3}
{'descr': '这是一家很典型的锦江之星酒店，在玉山应该算是中上等的，房间不大，但很干净，装修风格和其他地方的锦江之星相同，靠近大桥边，傍晚可以在桥上散散步。若是从玉山长途汽车站到店，可以打三轮车，不是很远，价格在5元到10元间。', 'star': 5}
{'descr': '房间比较大，高速下来一直走就到，方便。不过没有包含早餐。', 'star': 5}
{'descr': '挺好的，干净宽敞经济。尤其推荐大家去对面的老街美食城吃饭，那真是新鲜，量大，味道佳，价格低的好地方。', 'star': 5}
{'descr': '热情服务干净', 'star': 3}
{'descr': '这个酒店入住简捷，服务不错', 'star': 3}
{'descr': '还可以吧。最起码没有其他人为的干扰。有不间断电源。总体还是可以的。就是房间小了一点点', 'star': 5}
{'descr': '房间紧凑，没有多余的地，价格还公道。房间没有窗户的，', 'star': 5}
{'descr': '设施较新，房间干净，服务好；但是隔音太差，两晚都没睡好。', 'star': 1}
{'descr': '这家和别家比还是有差距 房间隔音不好 卫生也较别的锦江水准有差距的说\n还要继续加强管理啊\n早餐倒是不错\n很值得推荐一下', 'star': 5}
{'descr': '不错的酒店  隔音稍微差点  已经很不错的  当然不能和南京，金华的高级酒店比，性价比不错  ', 'star': 5}
{'descr': '干净，临河，环境不错。房间比较小，如果不差钱可以住更好点的酒店，玉山最近貌似新开了不少酒店。清洁服务员很热情，总台服务员态度一般，当你气场强大一点的时候总台服务员的服务意识会更好一些。附近吃饭的地方很多，旁边菜九九的饭馆很不错，实惠味道也不错。建议大家不要去无明码菜单的饭馆，不然被宰无商量。', 'star': 5}
{'descr': '酒店硬件条件在当地很有性价比，但两天都发现热水出了问题，不能不说是个遗憾。', 'star': 5}
{'descr': '整个县城就这家连锁快捷酒店，环境和其他城市一样，挺不错的', 'star': 5}
{'descr': '酒店的干净就不说了，这是必须的。重点是服务，不管是服务员还是他们的店长郑总永远是面带微笑，热情服务。特别要表扬他们的店长郑总，因为我是去旅游的，一些不属于住宿的问题他们店长也很热情的帮我想办法解决，真的让我感觉到了温馨，而这是很多大酒店现在很缺乏的一种态度。', 'star': 5}
{'descr': '很干净，价格实惠。', 'star': 3}
