{'descr': '一般，房间小。', 'star': 3}
{'descr': '还行，值得购买', 'star': 5}
{'descr': '好', 'star': 4}
{'descr': '浴室挺好的，挺方便', 'star': 5}
{'descr': '位置很方便，经济实惠，很不错的一次出行选择，下次出差还选择这里', 'star': 5}
{'descr': '房间小，空调有怪声其他还行', 'star': 5}
{'descr': '挺好的宾馆，不错不错，', 'star': 5}
{'descr': '不错，挺好的嘛，舒服，环境也还好', 'star': 5}
{'descr': '非常舒适，感觉非常好，下次还会去的！！！', 'star': 5}
{'descr': '环境很好的，值得一住。', 'star': 5}
{'descr': '不怎么样，又老又贵', 'star': 1}
{'descr': '住的还可以', 'star': 5}
{'descr': '房间挺小的，但是床挺大的。适合一个人住或者情侣住。晚上有点吵闹。该有的设施都有。总之还不错，离逛街的地方都也挺近的。', 'star': 4}
{'descr': '前台服务态度很好的，比心~', 'star': 5}
{'descr': '酒店还好，就是空调太差，制热效果很差', 'star': 4}
{'descr': '已经住过很多次了，位置很好，可以说是闹钟取静，虽然出了地铁站要走上15MIN左右，但是周围吃喝玩乐一应俱全。（无意间发现了对面的一家粥店很赞！）房间的装修比某天，某庭好一些，还算温馨，是经济型酒店里性价比高的一家酒店。', 'star': 4}
{'descr': '酒店旧了点 周边环境不太好', 'star': 3}
{'descr': '每次去南京都是住格林豪泰，就在最热闹的王府大街路上，地理位置OK', 'star': 4}
{'descr': '就是有点小 价格在周边还算不错 还有酒店没餐厅 早饭都没得吃', 'star': 5}
{'descr': '安静 地势好 交通方便 房间较小 前台服务速度太慢', 'star': 5}
{'descr': '安静  地势好  交通方便  房间较小  空间压抑', 'star': 5}
{'descr': '还不错，来过几次，就是不隔音，退房速度慢，希望改进', 'star': 5}
{'descr': '交通不便 房间小 洗手间不舒服 没有电梯', 'star': 1}
{'descr': '还不错，来过几次，就是不隔音，退房速度慢，希望改进', 'star': 5}
{'descr': '服务很好哦！住的大床房A，挺紧凑的，而且电视好棒的！', 'star': 5}
{'descr': '床真的有点小。。。厕所的地漏堵了。。水都冒出来了', 'star': 3}
{'descr': '还不错，交通方便，环境适中，服务还行，以后还会去', 'star': 5}
{'descr': '还可以，交通单行线', 'star': 3}
{'descr': '房间床还挺大。。就是房间大小比以前住的同样的小了很多。。', 'star': 3}
{'descr': '＋很差！房子不隔音，路边车子大吵，浴室能养鱼地上全是水', 'star': 3}
{'descr': '环境好可以，但停车较麻烦；服务态度不错，较干净。', 'star': 5}
{'descr': '该酒店性价比不高，车位也少的可怜，门口的路还是单行线，出行很不方便', 'star': 1}
{'descr': '大床A，一般，很商务的感觉，我对洗澡很重视，一定要有24小时热水，因为不满意前面一家才换到这里。这家洗澡水量不大，入当天晚上8点多水还很小，在我发脾气以后终于正常可以洗澡了，电视操作很麻烦，一不小心就没信号了，没看到什么。其他也没什么亮点。主要看在距离我的目标比较近的份上。', 'star': 5}
{'descr': '外观一般，房间太小，入住没有安全感', 'star': 3}
{'descr': '还算安静，房间较小，设施还全。夜宵很方便，王府大街都是吃的', 'star': 5}
{'descr': '还不错·有点小贵···设施比较全····', 'star': 5}
{'descr': '位置很好，进入酒店的道路是单行道，请朋友们注意。另外酒店房间的隔音很差，还有那停车场，老天啊，在那么宏伟的停车场停车和开车，真的需要比较好的技术！', 'star': 1}
{'descr': '虽然酒店对于图片的上传问题不是太真实，不过位置还是可以的。在明朝宫附近。', 'star': 5}
{'descr': '房间太小，采光不行。门口停车位太少，设施没有想象的好。', 'star': 1}
{'descr': '环境还好', 'star': 3}
{'descr': '位置可以王府大街，靠近新街口，就是临街很吵。', 'star': 5}
{'descr': '环境不错，环境不错，环境不错，环境不错，环境不错，', 'star': 5}
{'descr': '订的大床房，其他都比较满意都挺满意，只是刚进去感觉房间确实小了点。处在闹市中，而能保持相对安静。酒店对面貌似是寺庙，远远看到有人大早在练剑，还有很多人在那里买早饭。住个几天挺好！', 'star': 5}
{'descr': '酒店位置较方便，按照提供的位置可以找到。只是隔音还真是个问题，半夜3点被隔壁的嬉笑及XXOO声 吵醒，听了一场直播', 'star': 5}
{'descr': '在网上看到好评率高才选择入住该酒店的，一进酒店给人的感觉装修很压抑，总台服务员直到我们站在他们面前，也无视我们，直到要我们要求办理入住，进入客房，房间很小，床单很皱，有点怀疑是否有人睡过，枕套发黄，卫生间前客人拆开过的牙刷未更换，卫生纸和洗漱用品潮湿，电茶壶脏并且有积水，我们住的是靠马路边的房间，隔音效果非常差，导致一个晚上没有休息好，总体感觉非常的糟糕，下次不会再入住！', 'star': 1}
{'descr': '房间太小，价格不实在。', 'star': 3}
{'descr': '干净，不错\n很整洁，新开的酒店，希望保持', 'star': 5}
{'descr': '环境还可以，卫生还算蛮干净的，值得推荐哦', 'star': 5}
{'descr': '交通方便，房间床比较大，比较舒服。下次还会订，关键是离单位近', 'star': 5}
{'descr': '还不错', 'star': 3}
{'descr': '还算干净整洁，马路对过吃早餐的地方不错品类丰富', 'star': 3}
{'descr': '房间超小，被子床单毛毛糙糙的，好像是用了N久似的，隔音效果不敢恭维，不小心敢在七夕出门办事，隔壁房。。。。真的有点吵，不过短住还是可以的，常住的话我坚决不愿意', 'star': 5}
{'descr': '不错 虽然有点小 离新街口近 也挺干净的', 'star': 5}
{'descr': '位置离商业区要走一段路稍有点远，有无线网也比较干净，性价比还不错', 'star': 5}
{'descr': '不错,地方比较热闹,,出行方便,房间略小.', 'star': 5}
{'descr': '市中心的酒店，散步购物方便，吃饭地方也多，不错。', 'star': 5}
{'descr': '离新街口很近，酒店服务也很不错，如果可以提供一次性的剃须刀就好了。', 'star': 5}
{'descr': '这个酒店好就好在地理位置好。。。周围很多吃的。。。。但是价格有待更优惠。。。', 'star': 5}
{'descr': '服务还好就是房间超小，这样的价格，这样的大小，基本没有性价比', 'star': 1}
{'descr': '酒店相当新，房间内电视、电脑等设施都很好，虽然房间不是很大，对商务短暂停留已经绰绰有余，距新街口地铁出口走10多分钟，算是理想的距离。整体性价比很不错。就是入住时因为前台正在带新人，没有以客人为优先；应该先把带新人的事搁下，而非叫我等等会更好。整体评价算满意。', 'star': 5}
{'descr': '好', 'star': 3}
{'descr': '酒店很不错，就是隔音差了一点，整体还是物超所值的！', 'star': 3}
{'descr': '酒店很干净，有无线网络，我定的是大床B，可房间格局还是那么小！酒店是在马路边，晚上安静下来，来来往往的车子好吵，没睡好', 'star': 5}
{'descr': '感觉还可以，就是房间有点小！环境不错！', 'star': 3}
{'descr': '挺好', 'star': 3}
{'descr': '酒店环境很好，周围有很多吃东西的地方，但是交通不是很方便，隔音效果也不好', 'star': 5}
{'descr': '挺舒适满意的，给好评', 'star': 3}
{'descr': '有些服务员态度不是很好~不过房间还可以~~服务跟不上~~', 'star': 1}
{'descr': '第二次住这家酒店，服务还是很好，入住那天前台服务员也很有意思，交通也很便利，离新街口很近，给个好评', 'star': 5}
{'descr': '酒店位置可以，由于较新，所以还算是比较干净卫生，属于南京中心地段，原以为有较大的停车场，其实就是酒店门口为数不多的几个位置，进出还得叫保安过来开锁。酒店隔音不大好，没有香皂，房间太小，尤其是和锦江，如家比起来，空间略小。不能刷卡，不给开发票，不知道什么时候可以，请大家提前确认，酒店旁边有卖早点的，包子味道不错，总体来说，满分10分的话，可以打个7.5分。', 'star': 5}
{'descr': '酒店位置可以，属于南京中心地段，原以为有较大的停车场，其实就是酒店门口为数不多的几个位置，进出还得叫保安过来开锁。酒店隔音不大好，没有香皂，房间太小，尤其是和锦江，如家比起来，空间略小。不能刷卡，不给开发票，不知道什么时候可以，请大家提前确认，酒店旁边有卖早点的，包子味道不错，总体来说，满分10分的话，可以打个7.5分。', 'star': 5}
{'descr': '这家格林豪泰在南京是新开的，周围有好吃的东东，交通比较方便，但是各种工作貌似都在摸索中，周五早上到酒店比较早，服务还可以。就是房间靠着街道有点吵，而且房间洗手间的下水处不通，后来又换了房间，总的来说还好吧~', 'star': 5}
{'descr': '酒店是新开的 卫生很干净 很好 推荐。。。。。\n', 'star': 5}
{'descr': '总体还不错，比较干净，就是空间局促了点', 'star': 3}
{'descr': '装修卫生还可以，就是酒店没有提供早餐，服务态度感觉还好不过接触的不是太多，价格的话还是比较合理，位置的话还是不错离市区也是蛮近的。', 'star': 5}
{'descr': '总体说还不错的，房间蛮大的，设施也都很齐全。\n位置也还可以。\n', 'star': 5}
{'descr': '房间装修卫生还行还是比较新的，服务也还比较好，位置的话还是比较好找出行也没什么太大影响，价格也是比较合适。', 'star': 5}
{'descr': '酒店确认有点慢，其他都还可以，新开的酒店比较干净，下次还会再来住的。', 'star': 5}
{'descr': '挺干净挺舒服的 就是房间在在最角落 感觉有点小 其他都不错', 'star': 5}
{'descr': '还是不错的，新开的店，环境和周边都不错，度过了一个不错的圣诞节，鼓励下', 'star': 5}
