{'短评内容': '酒店还行，', '短评打分': 5}
{'短评内容': '不错，值得入住', '短评打分': 4}
{'短评内容': '清洁卫生、设备设施好！服务也好！', '短评打分': 5}
{'短评内容': '舒适、整洁、服务态度好。', '短评打分': 5}
{'短评内容': '大型停车场好，枕头舒服。干净卫生', '短评打分': 5}
{'短评内容': '设施旧', '短评打分': 3}
{'短评内容': '一般一般', '短评打分': 4}
{'短评内容': '酒店位置较好，附近生活比较方便。酒店设施、卫生、服务都挺好。', '短评打分': 4}
{'短评内容': '挺不错的环境', '短评打分': 5}
{'短评内容': '宾至如归的感觉，感觉就象是到了自己的家一样的温馨。服务员服务很周到。环境也不错，干净清爽，值得回头。', '短评打分': 5}
{'短评内容': '宾至如归的感觉，感觉就象是到了自己的家一样的温馨。服务员服务很周到。环境也不错，干净清爽，值得回头。', '短评打分': 5}
{'短评内容': '挺不错的，对我来说出差很方便', '短评打分': 5}
{'短评内容': '很好很干净', '短评打分': 5}
{'短评内容': '三星', '短评打分': 3}
{'短评内容': '正常的政府招待宾馆', '短评打分': 3}
{'短评内容': '不怎么样。', '短评打分': 1}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '离公司近，方便', '短评打分': 4}
