{'短评内容': '无早餐', '短评打分': 4}
{'短评内容': '环境很好好', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '有停车场', '短评打分': 5}
{'短评内容': '可以。', '短评打分': 4}
{'短评内容': '环境非常好，下次还住这里', '短评打分': 5}
{'短评内容': '房间的空间还是比较大的还有浴缸的空间比较充足了床也比较大然后还你还算是不错的嗯短期非常好非常短的早餐的话比之前有好的改善了希望他越来越好', '短评打分': 4}
{'短评内容': '就变得价位现在不贵比之前便宜很多早餐也比以前好看多了然后服务总体还算是不错的嗯经常在这边住我出差老朋友了都会介绍过来嗯感觉还是挺好的现在感觉这个脚还是比较实惠的', '短评打分': 4}
{'短评内容': '挺好的快捷酒店', '短评打分': 5}
{'短评内容': '还好，方便，快捷', '短评打分': 4}
{'短评内容': '房间不大，不过离海近，附近吃的也比较方便', '短评打分': 4}
{'短评内容': '不错不错', '短评打分': 5}
{'短评内容': '还挺不错的', '短评打分': 5}
{'短评内容': '还不错，地理位置不错，吃饭购物都方便！', '短评打分': 4}
{'短评内容': '服务不好', '短评打分': 1}
{'短评内容': '还不错，可以入住，早餐不怎么给力，要是能加强就好了。', '短评打分': 5}
{'短评内容': '房间安排可以，前台服务员态度比较热情，下次出差我还会住这个酒店。', '短评打分': 3}
{'短评内容': '干净，早餐送的还不错吧。', '短评打分': 3}
{'短评内容': '之前加州商務酒店換個招牌,性價比實在不好,建議住速八或七天等連鎖酒店', '短评打分': 1}
{'短评内容': '房间很大，也很干净，设施齐全，性价比相当的高，就是早餐稍显简单，其他各方面都可以，同等价位强力推荐。', '短评打分': 5}
{'短评内容': '环境不错，价格适宜', '短评打分': 3}
{'短评内容': '房间大，设备全，栅高略低，性价比不错！', '短评打分': 3}
{'短评内容': '这家酒店是历次出行最满意的一家，具体这么说吧：\n1.价位。\n去酒店是为了到烟台考试的，和爸爸妈妈订了一间商务标准间。160的价位，很合适了。\n2.环境。\n为了考试，早定了房间，得知情况后服务人员将房间被安排在六楼楼头，非常安静，阳光充足，在十字路口，外面的景致一览无余。烟台的风景很漂亮。\n3.设施。\n都是非常新的设配，也非常干净，网速很快。娘亲大人说被子有洗衣粉的味道，看来有好好清洁过。\n4.交通', '短评打分': 5}
{'短评内容': '很不错哈~~~~~~~~~~~~~~环境很好', '短评打分': 5}
{'短评内容': '不错，很好的酒店，环境、装修、服务、早点都不错', '短评打分': 5}
{'短评内容': '房间挺好的  在那附近算是很好的酒店 豪套住着舒服也不贵', '短评打分': 5}
{'短评内容': '酒店环境还可以，价格也相对比较合理，烟台开发区这个价位的酒店算不错了', '短评打分': 5}
{'短评内容': '环境非常不错~！！地理位置优越，服务非常好', '短评打分': 5}
{'短评内容': '酒店很不错 组的很舒服 宽带也很快 就是没有0莲蓬头架子 要手上拿着洗呵呵', '短评打分': 5}
{'短评内容': '酒店的位置不错，周围商场也很多，性价比不错。', '短评打分': 5}
{'短评内容': '酒店里没有暖气，冬天入住只能开空调，不是很舒服。\n另外，商务中心的东西太差了。', '短评打分': 1}
{'短评内容': '服务周到，位置安静，性价比好！', '短评打分': 3}
{'短评内容': '早餐太简陋了，简陋得比招待所还糟糕。以后再也不住了。', '短评打分': 1}
{'短评内容': '不错的经济酒店，价格也实惠，房间舒适干净，也很漂亮，下次还来', '短评打分': 5}
{'短评内容': '很好很干净，环境好，态度好，早餐也很好，下次还来这里住', '短评打分': 5}
{'短评内容': '快捷型酒店，设施一般，服务还可以，但我住的房间没有淋浴，只有浴缸，说是给调换但没调成，很是郁闷。', '短评打分': 5}
{'短评内容': '第二次入住该酒店，感觉还是比较舒服，唯一遗憾的就是旁片吃饭的地方较少', '短评打分': 5}
{'短评内容': '优点：房间很精致，卫生间很大。\n缺点：服务态度有待提高，房间较小，推荐豪华商务间。临街，窗帘太薄，严重透光。', '短评打分': 5}
{'短评内容': ' 非常好的酒店！不远就是我见过最美丽的海滩，推荐私家车入住 确实很值！', '短评打分': 3}
{'短评内容': '不错的小酒店！推荐入住..........', '短评打分': 5}
{'短评内容': '酒店还不错，环境好，离景区很方便。', '短评打分': 3}
{'短评内容': '不错的小酒店，环境卫生都挺好的。。。。下次还会入住', '短评打分': 5}
{'短评内容': '酒店价位尚可，地点也不错，门前有停车位，较方便。但有些细节不够，需加强。现在的商务酒店，硬件都差不多，关键在于细节的服务，建议学习一下锦江之星和如家的管理。', '短评打分': 1}
{'短评内容': '步行到海岸大概需要25min，\n房间隔音效果有点不好，值得推荐的酒店。\n想看海的可以住在这，不过到机场打车需要90元左右。\n距离开发区的汽车站还算近，', '短评打分': 5}
{'短评内容': '很不理想的一个酒店！从酒店门面，房间大小，设施，以及配套服务等，不能称得上是个酒店，说个招待所能恰如其分点！餐饮就别提了，呵呵', '短评打分': 1}
{'短评内容': '酒店不错', '短评打分': 3}
{'短评内容': '万泰时尚是一家很好的酒店.服务态庋好.房间干净.空间也很宽敞.免费的早歺更丰畗.品种多样花.非常值得一住.唯一不足是房间都朝西.以后还会去住宿.', '短评打分': 5}
{'短评内容': '干净整洁的一家酒店，床非常舒服，下次来烟台还住这里', '短评打分': 5}
{'短评内容': '离金沙滩很近，房间设施齐全。 早餐尚可。  在前台和房间里发现蟑螂，有洁癖的人可能无法接受。', '短评打分': 5}
{'短评内容': '酒店虽然不在市区，但是位置不错，距离海边不远，开车五分钟左右就到了，房间也比较宽敞，整洁，并且酒店有提供早餐，虽然简单但很方便。', '短评打分': 5}
{'短评内容': '是幫朋友訂的，朋友住後反應很不錯，空間很大，價格也適中', '短评打分': 5}
{'短评内容': '酒店太差 设施陈旧 房间狭小 根本就不想网上登出的那样 190的房子写的4到12层36平米 结果给了我间3层的也就18平 我问还说我们的数据也是大概 说给我往上调一间 我上去看了 7层 一样小一样旧 没有信用 服务也不好 太差了 我不会再去 朋友们也不建议去 不值这个价钱', '短评打分': 1}
{'短评内容': '性价比还是很不错的  对的起这房钱    我住的商务大床房  很适合单人来烟台的朋友入住', '短评打分': 5}
{'短评内容': '今天从豪华商务大床房换到了商务大床房，房子虽然小了点，但洗浴喷头好多了，方便多了。', '短评打分': 5}
{'短评内容': '每次来烟台都住这里，很不错，服务很不错，环境也好！', '短评打分': 5}
