{'短评内容': '淡季酒店没有餐饮很失望，其它都不错，老板热情。', '短评打分': 4}
{'短评内容': '老板很热情，这次过来由于淡季，老板没有餐饮，很失望！老板推荐的餐厅没有自己的好。', '短评打分': 4}
{'短评内容': '位置很好，老板人也不错。', '短评打分': 5}
{'短评内容': '酒店的环境卫生都不错老板也很热', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '总体还不错，位置离海边近', '短评打分': 4}
{'短评内容': '多次入住了。真的很不错，离南沙沙滩又很近', '短评打分': 5}
{'短评内容': '老板人很好', '短评打分': 5}
{'短评内容': '离南沙景点超近～老板很nice～', '短评打分': 5}
{'短评内容': '真的离南沙很近很近，玩好后几分钟就可以到，老板也很热情，早上看我急着离开帮我把车倒车来，车技很厉害。', '短评打分': 5}
{'短评内容': '老板热心帮买的印象普陀门票很实惠，谢谢！', '短评打分': 5}
{'短评内容': '老板人很好，不错，帮忙定票，又让我们省了一笔钱。', '短评打分': 5}
{'短评内容': '房间干净整洁，老板人超好，门口可以停车，理南沙浴场景点就50米的样子很方便！以后继续这家', '短评打分': 5}
{'短评内容': '老板很客气，介绍好的景点和吃饭实惠、谢谢以后还继续这家', '短评打分': 5}
{'短评内容': '挺好。 老板人很好，很热情。', '短评打分': 5}
