{'短评内容': '还不错，住了很多次了，性价比高', '短评打分': 5}
{'短评内容': '还不错，就是住靠街道外面比较吵', '短评打分': 5}
{'短评内容': '鉴于价格，房间超级小，大床，不过浴室没有门，湿气有点重，没窗户，如果是看价格，的确算是很实惠，其他都有，可以参考', '短评打分': 4}
{'短评内容': '总的来说都挺好，就是隔音效果不大好，而且厕所有个门就完美了', '短评打分': 4}
{'短评内容': '差，简直不满意。环境也差，态度也不行', '短评打分': 1}
{'短评内容': '很可以', '短评打分': 4}
{'短评内容': '这个价格合适', '短评打分': 4}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '酒店环境很好，住着舒服', '短评打分': 5}
{'短评内容': '舒服', '短评打分': 5}
{'短评内容': '房子很小', '短评打分': 4}
{'短评内容': '不错的选择，出行购物休闲都很方便', '短评打分': 5}
{'短评内容': '还是太差', '短评打分': 1}
{'短评内容': '还行吧，就是房间有点小。一分价钱一分货。', '短评打分': 5}
{'短评内容': '没有窗所以总是有点异味，电视节目台偏少，隔音效果一般，不过服务还是不错的', '短评打分': 3}
