{'短评内容': '商务出差，还行', '短评打分': 5}
{'短评内容': '不知道，帮别人定的', '短评打分': 5}
{'短评内容': '房间比较大，设施太旧了', '短评打分': 3}
{'短评内容': '条件一般，还停电', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '环境不错  设施也不错  赞！', '短评打分': 5}
{'短评内容': '家人出外选择的，房间内环境不错，比较好的是包了早餐，虽然比较简单，但馒头貌似是手工制作的，对于广东孩子来说很新鲜', '短评打分': 5}
{'短评内容': '还行吧！', '短评打分': 3}
{'短评内容': '酒店很不错，价格便宜，经济，方便实惠。', '短评打分': 4}
{'短评内容': '整体满意，紧邻一个家属院可免费停车。临近酒店时导航提示调头，也没错，因为酒店在左手侧，到前方路口调头，别调头过早。', '短评打分': 4}
{'短评内容': '还行吧', '短评打分': 3}
{'短评内容': '还行吧', '短评打分': 3}
{'短评内容': '脏，差', '短评打分': 1}
{'短评内容': '脏，差', '短评打分': 1}
{'短评内容': '酒店靠路边挺方便的但隔音做得一般，房间有点旧而且不知道是不是晒不到太阳一进去有股霉味，空调开半小时后勉强能接受，早餐比较简单，就只有粥/咸菜/包子之类的，感觉还比不上那种连锁酒店，有点失望。', '短评打分': 3}
