{'短评内容': '房间很大有点害怕，有点旧，其他的还可以', '短评打分': 4}
{'短评内容': '再次入住的，习惯了这酒店设施', '短评打分': 5}
{'短评内容': '多次入住了，环境不错卫生干净，服务态度很好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '挺好的，下次还来', '短评打分': 5}
{'短评内容': '老城区，没落感', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间太旧，有股味道。', '短评打分': 4}
{'短评内容': '老酒店，设施较陈旧。', '短评打分': 3}
{'短评内容': '來小欖出差還是首選這一家酒店 已經住過好幾次了 性價比高 環境清潔 位置適中 服務態度很好 推薦 推薦', '短评打分': 5}
{'短评内容': '設備較殘舊，其他都還好', '短评打分': 4}
{'短评内容': '一般，房間夠大，就裝修舊了點', '短评打分': 5}
{'短评内容': '可以的，环境不错，位置比较好。', '短评打分': 4}
{'短评内容': '老酒店，不知道多久没有装修了', '短评打分': 5}
{'短评内容': '性价比好', '短评打分': 4}
{'短评内容': '环境还不错。就是旧一点。', '短评打分': 3}
{'短评内容': '酒店噪音大，装修旧，和4星标准都不占边，不好', '短评打分': 3}
{'短评内容': '酒店的位置很好，在中心，周边是闹市，因为是老酒店，所以设施陈旧了点。但住起来还是挺方便地。', '短评打分': 5}
{'短评内容': '环境还可以，比较安静，就是热水器不怎么样。', '短评打分': 5}
{'短评内容': '酒店价格很便宜 这次出差订房时一位价格搞错了四星标房才170,五楼的中餐厅价格便宜 味道又好 特别是那个广西的女服务员 ,这小妹子人不错.只是离轻轨站有点远. 下次还会入住', '短评打分': 5}
{'短评内容': '很好。很安静', '短评打分': 3}
{'短评内容': '酒店房间装修有点旧，离车站有点远，但性价比还是不错', '短评打分': 5}
{'短评内容': '酒店属于花园形式，绿化做得很好，房间不大但是挺干净卫生，住的还算舒适。', '短评打分': 3}
{'短评内容': '这家酒店主要是性价比挺不错，位置有点偏，交通不是很便利。', '短评打分': 3}
{'短评内容': '挺干净挺舒适的，价格也挺实惠的。', '短评打分': 5}
{'短评内容': '室内装修的挺不错，卫生打扫也不错，让人看着挺清爽挺舒适的。', '短评打分': 3}
{'短评内容': '房间挺好，干净卫生，就是周边楼下有个歌厅很吵，晚上休息的不是很好。', '短评打分': 3}
{'短评内容': '住宿条件还好，服务还算周到，价格挺合理。', '短评打分': 5}
{'短评内容': '卫生和服务方面都还不错，就是隔音方面有待于提高。', '短评打分': 3}
