{'短评内容': '交通方便，设施有点旧，价格便宜。', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 4}
{'短评内容': '长时间未翻新装修了 房间有异味', '短评打分': 3}
{'短评内容': '不满意', '短评打分': 1}
{'短评内容': '原来订的是三人间，到了以后发现床铺是临时加的那种钢丝床，又换了两个标准间。', '短评打分': 4}
{'短评内容': '价格便宜', '短评打分': 4}
{'短评内容': '感觉不错', '短评打分': 5}
{'短评内容': '门前在修路，其他还凑合吧', '短评打分': 4}
{'短评内容': '价格便宜，性价比还好', '短评打分': 4}
{'短评内容': '除了便宜，其他太平平', '短评打分': 3}
{'短评内容': '简直是太差了，从没住过这么差的酒店，虽然价格便宜。房间简陋可以理解，但脏让人实在无法忍受，电视按不起来，叫了三次也没人过来，我真的很怀疑这家酒店会有回头客！', '短评打分': 1}
{'短评内容': '我住过有史以来最无敌的酒店，谁见过地板长毛的？满屋霉味的桑拿库房，那欢迎大家来住。', '短评打分': 3}
{'短评内容': '半个月内第二次入住，图的就是交通方便！还不错~', '短评打分': 5}
{'短评内容': '总体来说还是很不错的，但是细节部分还是有待改善。譬如，热水不够热，卫生有死角等。光纤网速下载十分给力，但是网页打开速度实在不敢恭维，可娱乐不可办公啊……交通还算便利，到会展中心很方便，周边市场、超市、餐厅很多，生活上没有问题！出差还是值得推荐的。', '短评打分': 5}
{'短评内容': '还行，什么样价位有什么的房子，。。。。。。。', '短评打分': 5}
{'短评内容': '酒店条件一般，走廊光线过暗。', '短评打分': 3}
{'短评内容': '还可以吧！房间挺大的。不过就是浴室喷头固定的，洗澡不大方便！没有提供免费的矿泉水', '短评打分': 5}
{'短评内容': '说实话，如果想吃烧烤或者家常菜，这个酒店位置那是相当不错，周边简直就是小吃一条街，交通也很便利。门口停车位不多，至于酒店内部设施就不敢恭维了，廊灯不亮，床简直就是个弹簧床，很硬。酒店设施陈旧，卫生一般。', '短评打分': 1}
{'短评内容': '还不错的酒店，服务很好，周到，房间很温馨，采光好，洁净，价格很合适，属经济型的酒店。', '短评打分': 5}
{'短评内容': '晚上10点之前比较吵，而且相对比较脏，性价比较低！', '短评打分': 1}
{'短评内容': '酒店很脏，房间内卫生很差', '短评打分': 3}
{'短评内容': '续住第二天没有搞卫生', '短评打分': 3}
{'短评内容': '一般吧 房间还算干净 就是服务人员有点差 隔音效果不是很好', '短评打分': 5}
