{'短评内容': '厦门佰翔的品质还是值得信赖的。', '短评打分': 5}
{'短评内容': '房间宽敞，布局合理，装修精致美观，浴缸超大，各个细节都做得很好。客家风格与主题和有特色，相当不错的体验。', '短评打分': 5}
{'短评内容': '房间布局很好，整体空间很宽敞，酒店前台服务很好，度假顾问很热心！', '短评打分': 5}
{'短评内容': '酒店很好，前台桂花小妹很热情', '短评打分': 5}
{'短评内容': '酒店完美地诠释了客家文化特色，装修设计风格独特，酒店地理位置优越。冠豸山近在咫尺。前台、度假顾问、书吧管理员、餐厅服务员等都非常有礼，让你有宾至如归的感觉。酒店有山地自行车免费骑，阅读书吧，酒店的中餐味道地道，早餐非常丰富，拍了许多酒店的各类照片，可惜无法上传。', '短评打分': 5}
{'短评内容': '早餐很丰盛，很适合带孩子', '短评打分': 5}
{'短评内容': '出乎意料的好!设施不错服务很好，食品出品也很不错，关键是价钱还不贵，除了远就没什么缺点了，有机会的话下次还要去住几天', '短评打分': 5}
{'短评内容': '环境还不错', '短评打分': 5}
{'短评内容': '酒店本身就是风景区，占地庞大，空气清新，森林密布，随处可见小松鼠，而且还有一座私家后山，爬完差不多一小时，早餐中餐不错，干净清爽，价格略贵，酒店服务一流，员工整体素质很高，细节之处很到位。', '短评打分': 5}
{'短评内容': '不错不错', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '服务非常满意，下次还来旅游。', '短评打分': 5}
{'短评内容': '酒店设备完善，优质服务，文化氛围浓郁，饭菜味道好且有地方特色。是不可多得的休假好场所！', '短评打分': 5}
{'短评内容': '朋友，家人都非常适合旅游度假的好去处，很好很满意', '短评打分': 5}
{'短评内容': '环境很好，餐饮不错，服务很好，房间很大，很安静。', '短评打分': 5}
{'短评内容': '挺好的酒店', '短评打分': 5}
{'短评内容': '酒店挺好的', '短评打分': 5}
{'短评内容': '价格太贵无洗濑用具', '短评打分': 5}
{'短评内容': '地理位置优越，空气清新，可免费骑行，特别推荐早餐品种丰富，是一家性价比很高值得推荐的度假酒店，下次来还住这里??', '短评打分': 5}
{'短评内容': '很有特色的土楼式风格的外观，赞。', '短评打分': 5}
{'短评内容': '在连城冠豸山脚下，酒店户外即可享受美景，空气清新，自然风景就在身旁。房间床品舒适，餐饮用心，特别是早餐很多惊喜。', '短评打分': 5}
{'短评内容': '非常棒的一家酒店，值得推荐，儿子超喜欢', '短评打分': 5}
{'短评内容': '安静。设备陈旧。', '短评打分': 3}
{'短评内容': '条件还可以，方便', '短评打分': 3}
{'短评内容': '靠冠豸山玩很方便，要是能和景区搞点门票优惠就更好了', '短评打分': 5}
{'短评内容': '周边环境还可以，装修还未完善，商务房性价比不高 冬天取暖设施不好。 ', '短评打分': 1}
{'短评内容': '酒店就在冠豸山下，登山很方便，服务态度和卫生挺好；感觉早餐服务不正规，但是也有豆浆、稀饭、包子、馒头、油条、油饼、鸡蛋；服务水平不够专业，我们在山上迷路后打电话回酒店问旅游服务和警点电话，均不知。', '短评打分': 5}
{'短评内容': '酒店环境很好，距冠豸山近，到冠豸山游玩是较好的选择。', '短评打分': 5}
{'短评内容': '酒店就在景区里,很幽静,环境很好,只是内部很旧了，没宽带，早晨过于简单', '短评打分': 3}
{'短评内容': '环境很好，符合度假村的名字。', '短评打分': 3}
{'短评内容': '环境还可以，房间设备老一点，', '短评打分': 5}
{'短评内容': '设施比较新，其他的话没有什么特别的了。', '短评打分': 5}
{'短评内容': '自然环境是没话说的，在国家风景区里，是个森林公园。但是酒店的设施好像是n年前装修的，好旧。', '短评打分': 1}
