{'短评内容': '一般，没有饮用水', '短评打分': 3}
{'短评内容': '早餐有粥，面线糊，绿豆汤等等，挺丰盛的。现在过去直接做电瓶车很方便，风景优美，是度假的好去处。美中不足是洗漱用品不够好，肥皂感觉都没啥泡泡，没有擦手巾，希望能够改进。', '短评打分': 5}
{'短评内容': '可以加床。车不能直接开过去', '短评打分': 4}
{'短评内容': '环境不错，', '短评打分': 5}
{'短评内容': '综合不错 毕竟是比较原始的小岛 就是住的客人素质太差 露天卡拉OK唱到11点都没玩 吵死了', '短评打分': 4}
{'短评内容': '去的时候人很少，工作日+金钻会议限制民宿，整个渔村的环境很幽静，住的别墅一层，除了空调声很大，环境很安静，睡的很好；傍晚吹着海风，夜晚看星星，很惬意，很适合一家人或情侣度假！', '短评打分': 5}
{'短评内容': '环境很好，小嶝第一选择，聚会亲子组织活动都很适合，上面的餐厅伙食也味道也不错，下去，还会到这里玩，真的', '短评打分': 5}
{'短评内容': '环境优美！服务不错！餐厅价廉物美！', '短评打分': 5}
{'短评内容': '我只能说这个奇葩酒店谁订谁傻B。在携程订了这么多酒店，我决定把第一个点评送给这个奇葩地方。小嶝岛本来也没有几个酒店，这里是价格比较高的，看携程的点评说这里环境不错就选了这里。可是没有想到，这里房价比其它的都高，可是得到的却是垃圾房间和垃圾服务。所谓的度假村就是一个大号的农家乐，外面就是施工工地，里面有个小池塘就说是海景酒店。不知道所谓的环境不错指的啥。我们是晚上到的，定的是它所谓的望金楼。前台给了', '短评打分': 1}
{'短评内容': '总体还是不错的，就是价格相对民居贵好多', '短评打分': 5}
{'短评内容': '农村标准的度假村。 估计在小嶝岛上最好的旅馆了。 还没有建立卫生概念的旅馆，有待改善，有待改善。 ', '短评打分': 3}
{'短评内容': '在那里宁静，海边，没有沙滩，没有特别感觉', '短评打分': 4}
{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '千万不要住他们的木船房，不但小，而且还没有一点隐私，每个人都到房间门口拍照什么的，还半夜坐在房间门口荡秋千，赶都赶不走，酒店服务员态度还行，卫生也还可以，死海没啥意思，小孩屁股给死海的水咸的疼痛啊，所以奉劝各位不要带孩子泡死海', '短评打分': 3}
{'短评内容': '酒店环境非常好，见图', '短评打分': 5}
{'短评内容': '岛上只有一家酒店，酒店环境不错，卫生也还可以。', '短评打分': 3}
{'短评内容': '总体感觉不错，宾馆比较干净，小岛值得住一晚。很安静。\n但是我住的会所下边好像有个冷却塔罐，有噪音。\n', '短评打分': 5}
